qid	en	ja	p31_types
Q10119327	Category:Shikinaisha in Kawachi Province	Category:河内国の式内社	Wikimedia category
Q10138763	Category:Shikinaisha in Awaji Province	Category:淡路国の式内社	Wikimedia category
Q10190364	Category:Shikinaisha in Kai Province	Category:甲斐国の式内社	Wikimedia category
Q10200159	Category:Shikinaisha in Sagami Province	Category:相模国の式内社	Wikimedia category
Q10209549	Category:Shikinaisha in Iwami Province	Category:石見国の式内社	Wikimedia category
Q10248848	Category:Shikinaisha in Chikuzen Province	Category:筑前国の式内社	Wikimedia category
Q10248992	Category:Shikinaisha in Chikugo Province	Category:筑後国の式内社	Wikimedia category
Q10253555	Category:Shikinaisha in Kii Province	Category:紀伊国の式内社	Wikimedia category
Q15647814	Wikimedia administration category	ウィキメディアの管理用カテゴリ	Wikimedia category
Q18728808	Category:Shikinaisha in Mimasaka Province	Category:美作国の式内社	Wikimedia category
Q18728857	Category:Shikinaisha in Mino Province	Category:美濃国の式内社	Wikimedia category
Q18737499	Category:Shikinaisha in Hizen Province	Category:肥前国の式内社	Wikimedia category
Q18737502	Category:Shikinaisha in Higo Province	Category:肥後国の式内社	Wikimedia category
Q18737552	Category:Shikinaisha in Noto Province	Category:能登国の式内社	Wikimedia category
Q18737997	Category:Shikinaisha in Wakasa Province	Category:若狭国の式内社	Wikimedia category
Q18738392	Category:Shikinaisha in Satsuma Province	Category:薩摩国の式内社	Wikimedia category
Q18739268	Category:Shikinaisha in Sanuki Province	Category:讃岐国の式内社	Wikimedia category
Q18739312	Category:Shikinaisha in Buzen Province	Category:豊前国の式内社	Wikimedia category
Q18739370	Category:Shikinaisha in Bungo Province	Category:豊後国の式内社	Wikimedia category
Q18739554	Category:Kifune-jinja		Wikimedia category
Q18739678	Category:Shikinaisha in Etchū Province	Category:越中国の式内社	Wikimedia category
Q18739682	Category:Shikinaisha in Echizen Province	Category:越前国の式内社	Wikimedia category
Q18739707	Category:Shikinaisha in Echigo Province	Category:越後国の式内社	Wikimedia category
Q18739987	Category:Shikinaisha in Ōmi Province	Category:近江国の式内社	Wikimedia category
Q18740386	Category:Shikinaisha in Tōtōmi Province	Category:遠江国の式内社	Wikimedia category
Q18741757	Category:Shikinaisha in Nagato Province	Category:長門国の式内社	Wikimedia category
Q18742068	Category:Shikinaisha in Awa Province (Tokushima)	Category:阿波国の式内社	Wikimedia category
Q18742150	Category:Shikinaisha in Mutsu Province	Category:陸奥国の式内社	Wikimedia category
Q18742175	Category:Shikinaisha in Oki Province	Category:隠岐国の式内社	Wikimedia category
Q18742911	Category:Shikinaisha in Hida Province	Category:飛騨国の式内社	Wikimedia category
Q18743296	Category:Shikinaisha in Suruga Province	Category:駿河国の式内社	Wikimedia category
Q23038436	Category:Chinese Wikipedia		Wikimedia category
Q24861732	Category:Sumiyoshi-taisha	Category:住吉大社	Wikimedia category
Q32803935	Category:English-language animated films		Wikimedia category
Q55587924		Category:招魂社	Wikimedia category
Q56259222	Category:Iwashimizu Hachimangu	Category:石清水八幡宮	Wikimedia category
Q59541917	Wikimedia topic category	ウィキメディアの主題のカテゴリ	Wikimedia category
Q65733117	Category:French Wikipedia		Wikimedia category
Q84969419	Category:English pronunciation		Wikimedia category
Q88743768	Category:Rikkokushi		Wikimedia category
Q104236688	Category:Views of Japan from above		Wikimedia category
Q109569797	Category:English Wikipedia		Wikimedia category
Q111386419		Category:大日本帝国出身の人物	Wikimedia category
Q111541459	Category:Kitano Tenman-gū	Category:北野天満宮	Wikimedia category
Q123110205	Category:Kasuga-taisha	Category:春日大社	Wikimedia category
Q124355710	Category:Fushimi Inari-taisha	Category:伏見稲荷大社	Wikimedia category
Q124357345	Category:Hiyoshi Taisha	Category:日吉大社	Wikimedia category
Q124466120	Category:Matsunoo Taisha	Category:松尾大社	Wikimedia category
Q128243238	Category:Hirota Shrine	Category:廣田神社	Wikimedia category
Q139676795			Wikimedia category
Q15407973	Wikimedia disambiguation category	ウィキメディアの曖昧さ回避カテゴリ	Wikimedia category, Wikimedia disambiguation page, disambiguation page
Q8423370	Wikimedia France	ウィキメディア・フランス	Wikimedia chapter
Q52	Wikipedia	ウィキペディア	Wikimedia content project
Q370	Wikiversity	ウィキバーシティ	Wikimedia content project
Q369	Wikiquote	ウィキクォート	Wikimedia content project, collection of quotes
Q367	Wikibooks	ウィキブックス	Wikimedia content project, data set
Q373	Wikivoyage	ウィキボヤージュ	Wikimedia content project, guide book
Q2013	Wikidata	ウィキデータ	Wikimedia content project, knowledge base, knowledge graph, online database
Q182	English	イングリッシュ	Wikimedia disambiguation page
Q224414	Category	カテゴリ (曖昧さ回避)	Wikimedia disambiguation page
Q1377803	Inglés		Wikimedia disambiguation page
Q2198066	Werk		Wikimedia disambiguation page
Q11183785	Znak		Wikimedia disambiguation page
Q15732177	Ingles		Wikimedia disambiguation page
Q15732187	Englisch		Wikimedia disambiguation page
Q27909237	Engelsk		Wikimedia disambiguation page
Q27909397	Ängelsk		Wikimedia disambiguation page
Q40665586	Titul		Wikimedia disambiguation page
Q66480449	Wikimedia surname disambiguation page	ウィキメディアにおける姓の曖昧さ回避ページ	Wikimedia disambiguation page, disambiguation page
Q22981376	Help:Disambiguation	Help:曖昧さ回避	Wikimedia help page
Q4989342	Help:Category	ヘルプ:カテゴリ	Wikimedia help page, Wikimedia project page
Q47303831	Project:Discord	Wikipedia:Discord	Wikimedia help page, Wikimedia project page
Q118521146	Project:Disambiguation	Wikipedia:曖昧さ回避	Wikimedia help page, Wikimedia project page, Wikimedia project policies and guidelines page
Q13361017	Template:Infobox Shinto shrine	Template:神社	Wikimedia infobox template
Q4656150	Wikimedia project policies and guidelines page	ウィキメディアプロジェクト:方針とガイドライン	Wikimedia internal item, Wikimedia project page, activity policy, policy, rule
Q53409818	MediaWiki Action API	MediaWiki操作API	Wikimedia internal item, Wikimedia project page, server-side web API
Q10013748	Category:Categories	Category:カテゴリ	Wikimedia meta category, Wikimedia soft redirect category
Q1063116	Meta-Wiki	メタウィキ	Wikimedia multilingual project, Wikimedia special project, multi-languoid Wikimedia site, multi-script Wikimedia site, wiki with script conversion
Q20704140		Template:二十二社	Wikimedia navigational template
Q8083538	Template:Japan topics	Template:日本関連の項目	Wikimedia navigational template
Q14352895	Template:JapanEmpireNavbox	Template:大日本帝国	Wikimedia navigational template
Q14398409	Template:Rikkokushi	Template:六国史	Wikimedia navigational template
Q23038502			Wikimedia navigational template
Q92754822	Template:Shinto2		Wikimedia navigational template
Q9102357	Template:Gifu	Template:岐阜県の自治体	Wikimedia navigational template, Wikimedia template
Q17442446	Wikimedia internal item	ウィキメディアの内部物	Wikimedia page outside the main knowledge tree
Q22001659			Wikimedia permanent duplicate item
Q22828397			Wikimedia permanent duplicate item
Q23014481	English		Wikimedia permanent duplicate item
Q44080056			Wikimedia permanent duplicate item
Q118179251			Wikimedia permanent duplicate item
Q6585753	Portal:Japan	Portal:日本	Wikimedia portal
Q11027445	Portal:Shinto	Portal:神道	Wikimedia portal
Q11109963	Portal:English	Topic:英語	Wikimedia portal
Q16859884		Portal:日本の都道府県/岐阜県	Wikimedia portal
Q13635410	Project:Accounts		Wikimedia project page
Q42104522	Wikimedia category (disambiguation)		Wikimedia project page
Q14360537	Wikipedia:Text of the GNU Free Documentation License, version 1.2		Wikimedia project page, version, edition or translation
Q18987537	Template:List of Shikinaisha by Province	Template:式内社一覧	Wikimedia template
Q6148868	Template:Disambiguation	Template:Aimai	Wikimedia template
Q6439308	Template:Category link	Template:Cl	Wikimedia template
Q6597144	Template:En icon	Template:En icon	Wikimedia template
Q7639029	Template:Category link without namespace	Template:C	Wikimedia template
Q11753321	Wikimedia navigational template	ウィキメディアのナビゲーションテンプレート	Wikimedia template
Q14399019	Template:Shinto	Template:神道	Wikimedia template
Q22733887	Template:Religious books		Wikimedia template
Q24817459	Template:Set category	Template:クラスカテゴリ	Wikimedia template
Q30511862	Template:categorize		Wikimedia template
Q107765431	Template:2257		Wikimedia template
Q134953958		Template:尾張国春日井郡の式内社一覧	Wikimedia template
Q134954039		Template:越後国古志郡の式内社一覧	Wikimedia template
Q1411284	Category:Japan	Category:日本	Wikimedia topic category
Q137988706	Category:Isonokami Shrine	Category:石上神宮	Wikimedia topic category
Q22075476	active user	活動中の利用者	Wikimedian
Q105770631	English Wikipedia article		Wikipedia article page
Q328	English Wikipedia	英語版ウィキペディア	Wikipedia language edition
Q8447	French Wikipedia	フランス語版ウィキペディア	Wikipedia language edition
Q48183	German Wikipedia	ドイツ語版ウィキペディア	Wikipedia language edition
Q177837	Japanese Wikipedia	日本語版ウィキペディア	Wikipedia language edition
Q11920	Italian Wikipedia	イタリア語版ウィキペディア	Wikipedia language edition
Q58251	Azerbaijani Wikipedia	アゼルバイジャン語版ウィキペディア	Wikipedia language edition
Q191168	Czech Wikipedia	チェコ語版ウィキペディア	Wikipedia language edition
Q199698	Ukrainian Wikipedia	ウクライナ語版ウィキペディア	Wikipedia language edition
Q206855	Russian Wikipedia	ロシア語版ウィキペディア	Wikipedia language edition
Q207260	Basque Wikipedia	バスク語版ウィキペディア	Wikipedia language edition
Q1551807	Polish Wikipedia	ポーランド語版ウィキペディア	Wikipedia language edition
Q1975217	Armenian Wikipedia	アルメニア語版ウィキペディア	Wikipedia language edition
Q19826574	English Wikivoyage	英語版Wikivoyage	Wikivoyage language edition
Q9646	1972 Winter Olympics	1972年札幌オリンピック	Winter Olympic Games edition
Q9664	1998 Winter Olympics	1998年長野オリンピック	Winter Olympic Games edition
Q184558	absolute monarchy	絶対君主制	absolutism, form of government, monarchy
Q11028	information	情報	abstract entity
Q3622126	conceptual system	概念体系	abstract entity, artificial object, concept, system, type of system
Q151885	concept	概念	abstract entity, representation, variable-order class
Q60195	semiotics	記号学	academic discipline, academic major, field of study, interdisciplinary program
Q27968	English studies	英語学	academic discipline, academic major, modern philology, particular linguistics, philology
Q9174	religion	宗教	academic discipline, activity, belief system, culture, field of study, non-rational belief system, tradition, type of world view, world view
Q207930	languages of Africa	アフリカの言語	academic discipline, languages of a geographic region, languages of the Earth
Q114567052	Shinto studies	神道学	academic discipline, religious studies
Q7553	translation	翻訳	academic major, craft, form of creative work, human communication, occupation, service, transformation
Q19483216	organizational behavior studies	組織行動学	academic major, field of study, human behavior
Q12483	statistics	統計学	academic major, formal science, mathematics
Q7817	World Health Organization	世界保健機関	academic publisher, international organization, open-access publisher, specialized agency of the United Nations
Q374814	certification	認定	acknowledgement, credential, intangible asset, planned process
Q83745292	entrance	入ること	action, motion
Q151411	designation		activity, ambiguous Wikidata item, sign
Q110484020	writing	執筆	activity, creation, verbal communication, written communication
Q162940	diacritic	ダイアクリティカル・マーク	additional sign, allograph, character, grapheme, string, version
Q96036107	tourism slogan	観光標語	advertising slogan
Q778145	voiced palato-alveolar affricate	有声後部歯茎破擦音	affricate consonant, central consonant, oral consonant, palato-alveolar consonant, pulmonic consonant, voiced consonant
Q518603	voiceless palato-alveolar affricate	無声後部歯茎破擦音	affricate consonant, central consonant, oral consonant, postalveolar consonant, pulmonic consonant, voiceless consonant
Q438919	age limit	年齢制限	age of a person, rule
Q838116	G4 nations	G4諸国	alliance, coalition, geopolitical group
Q8229	Latin script	ラテン文字	alphabetic writing system, writing system
Q909128	voiced alveolar approximant	歯茎接近音	alveolar consonant, approximant consonant, central consonant, oral consonant, pulmonic consonant, voiced consonant
Q815439	voiced alveolar lateral approximant	歯茎側面接近音	alveolar consonant, approximant consonant, lateral consonant, oral consonant, pulmonic consonant, sonorant, voiced consonant
Q271611	voiced alveolar nasal	歯茎鼻音	alveolar consonant, central consonant, nasal consonant, occlusive consonant, pulmonic consonant, sonorant, voiced consonant
Q335644	voiceless alveolar stop	無声歯茎破裂音	alveolar consonant, central consonant, occlusive consonant, oral consonant, plosive consonant, pulmonic consonant, voiceless consonant
Q506687	voiced alveolar fricative	有声歯茎摩擦音	alveolar consonant, fricative consonant, oral consonant, pulmonic consonant, sibilant consonant, voiced consonant
Q334723	voiceless alveolar fricative	無声歯茎摩擦音	alveolar consonant, fricative consonant, oral consonant, pulmonic consonant, voiceless consonant
Q189118	cell type	細胞型	anatomical structure type, cell class, direct anatomical metaclass, second-order class
Q29520	China	中国	ancient civilization, cultural region, divided region
Q667558	revised Hepburn romanization	修正ヘボン式ローマ字表記	anglicization, orthographic transcription, romanization, romanization of Japanese, rule, transliteration
Q135658911	English Romanization of Japanese	英語式ローマ字表記	anglicization, romanization, romanization of Japanese, transcription, transliteration, umbrella term
Q43004	animism	アニミズム	animism, religion, religion type, traditional religion
Q11191	The World Factbook	ザ・ワールド・ファクトブック	annual publication, scientific journal, series of creative works
Q217438	demonym	デモニム	anthroponym
Q1071027	full name	フルネーム	anthroponym, full object name, personal data, personal name
Q8056784	YouTube API	YouTube API	application programming interface
Q33002955	knowledge graph	知識グラフ	application-specific graph, knowledge base, labeled directed graph
Q565654	voiced labio-velar approximant	有声両唇軟口蓋接近音	approximant consonant, central consonant, labio-velar consonant, oral consonant, pulmonic consonant, voiced consonant
Q835992	voiced palatal approximant	硬口蓋接近音	approximant consonant, central consonant, oral consonant, palatal consonant, pulmonic consonant, semivowel, voiced consonant
Q105769095	conventional date	定例開催日	approximation, point in time
Q315	language	言語	aptitude
Q152	fish	魚類	aquatic animal, grade, marine life, organisms known by a particular common name, paraphyletic group
Q854429	portal	ポータル	architectural element, bay, class, entrance, monument
Q1137365	entrance	入り口	architectural element, circulation element, physical location, portal
Q12511	stairs	階段	architectural element, horizontal structural element, structural support, walkway
Q105449313	physical sign	物理標識	architectural element, manufactured good
Q1497364	building complex	建築複合体	architectural ensemble, combined facility, facility, geographical feature, set of physical objects
Q697295	shrine	聖堂	architectural structure, religious building, religious site
Q41176	building	建築物	architectural structure, type of physical object, type of structure
Q2144402	renovation	リフォーム	architectural technology, improvement, industry, key event, occurrence
Q69870042	health facility design and construction		architecture
Q784695	ZIM	ZIM	archive file format, file format
Q11471462	Gifu Prefectural Archives	岐阜県歴史資料館	archives, history museum
Q8253	fiction	フィクション	art genre
Q223393	literary genre	文学作品のジャンル	art genre, type of genre
Q8242	literature	文学	art, class, group of works, literary work, type of arts
Q137864053	Japan		article
Q618779	award	賞	artificial object, cultural artifact
Q722218	label	ラベル	artificial physical object, document, economic concept, manufactured good, physical component
Q1836700	manufactured good	製造品	artificial physical object, product, tangible good
Q25271	International Space Station	国際宇宙ステーション	artificial satellite of the Earth, international space station, space laboratory
Q1189816	ethnic religion	民族宗教	aspect by ethnic group, religion, religion type
Q193294	sunrise	日の出	astronomical phenomenon, objectrise, time of day
Q159950	Russo-Japanese War	日露戦争	attempt, war
Q1607826	editor	編集者	author, corporate title, media profession, occupation
Q36578	Integrated Authority File	統合典拠ファイル	authority file
Q2553334	Web NDL Authorities	ウェブ版国立国会図書館典拠	authority file
Q56650909	Hong Kong Chinese Authority Name	香港中文名称規範数據庫	authority file, online database
Q30185	mayor	市町村長	authority, elective office, head of a city, head of government, local official, local politician, position
Q2806720	100 Landscapes of Heisei	平成百景	award, list
Q3320743	title of honor	名誉称号	award, rank, title, type of award
Q29653	close back rounded vowel	円唇後舌狭母音	back vowel, close vowel, high rounded back vowel, rounded vowel
Q862579	close-mid back rounded vowel	円唇後舌半狭母音	back vowel, close-mid vowel, high rounded back vowel, rounded vowel
Q431471	open back unrounded vowel	非円唇後舌広母音	back vowel, low unrounded vowel, open vowel, unrounded vowel
Q740714	open back rounded vowel	円唇後舌広母音	back vowel, open vowel, rounded vowel
Q379085	open-mid back rounded vowel	円唇後舌半広母音	back vowel, open-mid vowel, rounded vowel
Q115920372	CiNii Research	CiNii Research	bibliographic database
Q107507571	OpenAlex	オープンアレックス	bibliographic database, index, open data set, website
Q76630151	WorldCat Identities	WorldCat Identities	bibliographic database, website
Q63411600	Bibliography of the History of the Czech Lands		bibliography, database
Q202384	National Diet	国会	bicameral legislature
Q704408	Imperial Diet	帝国議会	bicameral legislature, diet
Q201817	voiced bilabial nasal	両唇鼻音	bilabial consonant, bilabial nasal, nasal consonant, occlusive consonant, pulmonic consonant, sonorant, voiced consonant
Q242797	voiced bilabial plosive	有声両唇破裂音	bilabial consonant, occlusive consonant, oral consonant, phoneme, plosive consonant, pulmonic consonant, voiced consonant
Q237623	voiceless bilabial plosive	無声両唇破裂音	bilabial consonant, occlusive consonant, oral consonant, plosive consonant, pulmonic consonant, voiceless consonant
Q6389422	Kenkyūsha’s New Japanese-English Dictionary	新和英大辞典	bilingual dictionary, dictionary of the Japanese language
Q10856962	anthroponym	人名	bionym, type of name
Q72318	The Emperor's Birthday	天皇誕生日	birthday, national day, official birthday
Q11920728	left	左	body-relative direction, side
Q107026784	Kotenseki	古典籍	book
Q185598	diary	日記	book form, lifelog, literary genre, literary work, notebook, personal testimonial
Q1814982	University of Chicago Press	シカゴ大学出版局	book publisher, university press
Q52269333	literary hexalogy	文学の六部作	book series, hexalogy
Q43091	orthography	正書法	branch of science, linguistic norm, linguistics, policy
Q175156	onomastics	固有名詞学	branch of science, linguistics, onomasiology
Q11508656	100 Fine Bridges of Japan	日本百名橋	bridge group, selection of 100
Q120077179	ema hall	絵馬殿	building
Q5121687	circulation element	動線	building component
Q11309938	Japan	ジャパン	business
Q11487344	Kōbundō	弘文堂	business
Q51711	Quora		business, company, enterprise, online community, question-and-answer site
Q95	Google		business, identity provider, online service, public company, technology company
Q16960686	Dictionary.com	Dictionary.com	business, online dictionary, website
Q7848226	Trustpilot	トラストパイロット	business, review site, website
Q137421410		「ローマ字のつづり方」に関する内閣告示及び内閣訓令について（決定）	cabinet decision
Q529012	Cabinet of Japan	日本国の内閣	cabinet, executive branch
Q1209728	Japanese imperial year	神武天皇即位紀元	calendar era
Q5035799	capitalization in English	英語における大文字化	capitalisation, rule
Q1233197	oblique case	斜格	case, grammatical form
Q131105	nominative case	主格	case, inflected form
Q146233	genitive case	属格	case, inflected form
Q135159299	Kokugakuin University Shrine database		catalog
Q1631107	bibliography	書誌	catalog of works, literary form, metaclass, secondary source
Q89345680	YSO-Wikidata mapping project		catalog, mapping project
Q4350771	Japan 2005 Census	平成17年国勢調査	census in Japan
Q15727301	Japan 2010 Census	平成22年国勢調査	census in Japan
Q22099166		平成12年国勢調査	census in Japan
Q23902480	Japan 2015 Census	平成27年国勢調査	census in Japan
Q111475732	Japan 2020 Census	令和2年国勢調査	census in Japan
Q114352780		平成7年国勢調査	census in Japan
Q114352821		平成2年国勢調査	census in Japan
Q39825	census	国勢調査	census, data set, field of study, field of study, recurring event, source of information
Q712488	22	22	centered heptagonal number, composite number, deficient number, even number, hexagonal pyramidal number, palindromic number, pentagonal number, positive integer, repdigit
Q333101	Bank of Japan	日本銀行	central bank, public company
Q654641	voiced dental fricative	有声歯摩擦音	central consonant, dental consonant, fricative consonant, oral consonant, pulmonic consonant, voiced consonant
Q332019	voiceless dental fricative	無声歯摩擦音	central consonant, dental consonant, fricative consonant, oral consonant, pulmonic consonant, voiceless consonant
Q463515	voiced velar nasal	軟口蓋鼻音	central consonant, nasal consonant, occlusive consonant, pulmonic consonant, velar consonant, voiced consonant
Q463543	voiceless velar stop	無声軟口蓋破裂音	central consonant, occlusive consonant, oral consonant, plosive consonant, pulmonic consonant, velar consonant, voiceless consonant
Q654660	voiced palato‐alveolar sibilant	有声後部歯茎摩擦音	central consonant, oral consonant, palato-alveolar consonant, pulmonic consonant, sibilant consonant, voiced consonant
Q334695	voiceless palato‐alveolar fricative	無声後部歯茎摩擦音	central consonant, oral consonant, palato-alveolar consonant, pulmonic consonant, sibilant consonant, voiceless consonant
Q503323	near-open central unrounded vowel	中舌狭めの広母音	central vowel, low unrounded vowel, near-open vowel, unrounded vowel
Q209316	schwa	シュワー	central vowel, mid vowel
Q9073584	increase	増加	change, occurrence
Q11356190	List of Shikinaisha in Mikawa Province	三河国の式内社一覧	chapter, list
Q11360032	List of Shikinaisha in Kazusa Province	上総国の式内社一覧	chapter, list
Q11360308	List of Shikinaisha in Kōzuke Province	上野国の式内社一覧	chapter, list
Q11361283	List of Shikinaisha in Shimōsa Province	下総国の式内社一覧	chapter, list
Q11361380	List of Shikinaisha in Shimotsuke Province	下野国の式内社一覧	chapter, list
Q11368516	List of Shikinaisha in Tango Province	丹後国の式内社一覧	chapter, list
Q11368560	List of Shikinaisha in Tanba Province	丹波国の式内社一覧	chapter, list
Q11378813	List of Shikinaisha in Iyo Province	伊予国の式内社一覧	chapter, list
Q11378973	List of Shikinaisha in Ise Province	伊勢国の式内社一覧	chapter, list
Q11380552	List of Shikinaisha in Izu Province	伊豆国の式内社一覧	chapter, list
Q11380647	List of Shikinaisha in Iga Province	伊賀国の式内社一覧	chapter, list
Q11381490	List of Shikinaisha in Hōki Province	伯耆国の式内社一覧	chapter, list
Q11381626	List of Shikinaisha in Tajima Province	但馬国の式内社一覧	chapter, list
Q11383282	List of Shikinaisha in Sado Province	佐渡国の式内社一覧	chapter, list
Q11386164	List of Shikinaisha in Shinano Province	信濃国の式内社一覧	chapter, list
Q11387310	List of Shikinaisha in Bitchū Province	備中国の式内社一覧	chapter, list
Q11387322	List of Shikinaisha in Bizen Province	備前国の式内社一覧	chapter, list
Q11387367	List of Shikinaisha in Bingo Province	備後国の式内社一覧	chapter, list
Q11395784	List of Shikinaisha in Dewa Province	出羽国の式内社一覧	chapter, list
Q11395853	List of Shikinaisha in Izumo Province	出雲国の式内社一覧	chapter, list
Q11399659	List of Shikinaisha in Kaga Province	加賀国の式内社一覧	chapter, list
Q11416958	List of Shikinaisha in Suo Province	周防国の式内社一覧	chapter, list
Q11417778	List of Shikinaisha in Izumi Province	和泉国の式内社一覧	chapter, list
Q11420254	List of Shikinaisha in Inaba Province	因幡国の式内社一覧	chapter, list
Q11423010	List of Shikinaisha in Tosa Province	土佐国の式内社一覧	chapter, list
Q11429584	List of Shikinaisha in Iki Island	壱岐国の式内社一覧	chapter, list
Q11433427	List of Shikinaisha in Yamato Province	大和国の式内社一覧	chapter, list
Q11441745	List of Shikinaisha in Ōsumi Province	大隅国の式内社一覧	chapter, list
Q11450714	List of Shikinaisha in Awa Province (Chiba)	安房国の式内社一覧	chapter, list
Q11453224	List of Shikinaisha in the Imperial Palace	宮中・京中の式内社一覧	chapter, list
Q11458212	List of Shikinaisha in Tsushima	対馬国の式内社一覧	chapter, list
Q11465292	List of Shikinaisha in Owari Province	尾張国の式内社一覧	chapter, list
Q11467693	List of Shikinaisha in Yamashiro Province	山城国の式内社一覧	chapter, list
Q11481683	List of Shikinaisha in Hitachi Province	常陸国の式内社一覧	chapter, list
Q11490919	List of Shikinaisha in Shima Province	志摩国の式内社一覧	chapter, list
Q11498550	List of Shikinaisha in Settsu Province	摂津国の式内社一覧	chapter, list
Q11498723	List of Shikinaisha in Harima Province	播磨国の式内社一覧	chapter, list
Q11505106	List of Shikinaisha in Hyūga Province	日向国の式内社一覧	chapter, list
Q11546334	List of Shikinaisha in Musashi Province	武蔵国の式内社一覧	chapter, list
Q11553385	List of Shikinaisha in Kawachi Province	河内国の式内社一覧	chapter, list
Q11559808	List of Shikinaisha in Awaji Province	淡路国の式内社一覧	chapter, list
Q11577868	List of Shikinaisha in Kai Province	甲斐国の式内社一覧	chapter, list
Q11582137	List of Shikinaisha in Sagami Province	相模国の式内社一覧	chapter, list
Q11587179	List of Shikinaisha in Iwami Province	石見国の式内社一覧	chapter, list
Q11602776	List of Shikinaisha in Chikuzen Province	筑前国の式内社一覧	chapter, list
Q11602803	List of Shikinaisha in Chikugo Province	筑後国の式内社一覧	chapter, list
Q11604948	List of Shikinaisha in Kii Province	紀伊国の式内社一覧	chapter, list
Q11608745	List of Shikinaisha in Mimasaka Province	美作国の式内社一覧	chapter, list
Q11609223	List of Shikinaisha in Mino Province	美濃国の式内社一覧	chapter, list
Q11611527	List of Shikinaisha in Hizen Province	肥前国の式内社一覧	chapter, list
Q11611572	List of Shikinaisha in Higo Province	肥後国の式内社一覧	chapter, list
Q11612019	List of Shikinaisha in Noto Province	能登国の式内社一覧	chapter, list
Q11616621	List of Shikinaisha in Wakasa Province	若狭国の式内社一覧	chapter, list
Q11622280	List of Shikinaisha in Satsuma Province	薩摩国の式内社一覧	chapter, list
Q11632546	List of Shikinaisha in Sanuki Province	讃岐国の式内社一覧	chapter, list
Q11633695	List of Shikinaisha in Bungo Province	豊後国の式内社一覧	chapter, list
Q11636380	List of Shikinaisha in Etchū Province	越中国の式内社一覧	chapter, list
Q11636413	List of Shikinaisha in Echizen Province	越前国の式内社一覧	chapter, list
Q11636502	List of Shikinaisha in Echigo Province	越後国の式内社一覧	chapter, list
Q11638477	List of Shikinaisha in Ōmi Province	近江国の式内社一覧	chapter, list
Q11642130	List of Shikinaisha in Tōtōmi Province	遠江国の式内社一覧	chapter, list
Q11654882	List of Shikinaisha in Nagato Province	長門国の式内社一覧	chapter, list
Q11657514	List of Shikinaisha in Awa Province (Tokushima)	阿波国の式内社一覧	chapter, list
Q11658590	List of Shikinaisha in Mutsu Province	陸奥国の式内社一覧	chapter, list
Q11659043	List of Shikinaisha in Oki Province	隠岐国の式内社一覧	chapter, list
Q11665887	List of Shikinaisha in Hida Province	飛騨国の式内社一覧	chapter, list
Q11668489	List of Shikinaisha in Suruga Province	駿河国の式内社一覧	chapter, list
Q17212793	List of Shikinaisha in Buzen Province	豊前国の式内社一覧	chapter, list
Q2289247	SBCS	1バイト文字セット	character encoding
Q386787	variable-width character encoding	マルチバイト文字セット	character encoding, character set, variable-length code
Q180	Wikimedia Foundation	ウィキメディア財団	charitable organization, nonprofit organization
Q1145630	Children's Day	こどもの日	children's day, public holiday, public holiday in Japan
Q11586814	Iwashimizu-sai	石清水祭	chokusai
Q773085	Aoi Matsuri	葵祭	chokusai, matsuri
Q11513681	Kasuga-sai	春日祭	chokusai, matsuri
Q13423964	names of Japan	日本の国名	choronym
Q4218095	2:1	ユニビシウム	cinema film format, conflation, width to height aspect ratio
Q34630090	exit	出口	circulation element, portal
Q16958215	iNaturalist	iNaturalist	citizen science project, mobile app, online community, online database, social network, taxonomic database, website
Q10372494	Civil Code of Japan	民法	civil code, civil law, government-sponsored bill, law of Japan, statute
Q262246	sign	記号	class, concept
Q64549097	category		class, concept
Q21146257	type	タイプ	class, concept, entity, fundamental Wikidata entity, metaclass
Q19478619	metaclass	メタクラス	class, concept, formal ontology concept, variable-order class
Q16889133	class	クラス	class, concept, fundamental Wikidata entity, metaclass, variable-order class
Q75488338	Language		class, controlled vocabulary, database
Q133250	sequence	列	class, discrete function
Q104086571	first-order class	一次クラス	class, fixed-order class, second-order class
Q3331189	version, edition or translation	バージョン、版、または翻訳	class, item, product model, publication, second-order class
Q99469810	type of fixed-size set or group	大きさが固定の集合または群のタイプ	class, metaclass
Q23958852	variable-order class	可変次数クラス	class, variable-order class
Q23959932	fixed-order class	固定次数クラス	class, variable-order class
Q320021	close front unrounded vowel	非円唇前舌狭母音	close vowel, front vowel, unrounded vowel
Q565418	Japan Coast Guard	海上保安庁	coast guard, government office, independent organ
Q137863868	Meyer’s Universum, Einundzwanzigster Band		collection volume, publication
Q21167586	gray–green orthographic projections maps		collection, locator map
Q29428439	hexad	名数6	collective entity, concrete number, type of fixed-size set or group
Q6671777	structure	構造	collective entity, philosophical concept
Q12893838	order	整列	collective entity, state
Q694604	Treaty of Mutual Cooperation and Security Between the United States and Japan	日本国とアメリカ合衆国との間の相互協力及び安全保障条約	collective security, treaty
Q6545942	light-on-dark color scheme	ダークモード	color scheme, hardware feature, software feature
Q101608434	dark-on-light color scheme	ライトモード	color scheme, software feature
Q112669601	English Wikipedia community	英語版ウィキペディアのコミュニティ	community
Q11801374	sign	記号	concept
Q651943	signifier	シニフィアン	concept in linguistics, observable entity
Q16136913	signified and signifier	シニフィアンとシニフィエ	concept in linguistics, pair of concepts
