SET,SHRINE,JAWIKI,ITEM,WIKIDATA,CLASS,SOURCE NAMED IN ARTICLE,P612 STAGED,TARGET NAME,TARGET LINK,STATUS,FIX,NOTE
Beppyo,知立神社,,Q11584639,,AUTOCHTHONOUS,日本武尊による当地での新規創祀（勧請元なし）,Q135508874,,,ok,,
Beppyo,石川護国神社,,Q11586369,,AUTOCHTHONOUS,招魂社（戊辰戦争戦死者の霊を祀って創建）,Q135508874,,,ok,,
Beppyo,石鎚神社,,Q11587273,,AUTOCHTHONOUS,神体山（石鎚山そのものが神、石鎚山総本宮）,Q135508874,,,ok,,
Beppyo,砥鹿神社,,Q3530344,,AUTOCHTHONOUS,神体山（本宮山そのものを御神体とする山岳信仰）,Q135508874,,,ok,,
Beppyo,福井県護国神社,,Q11591507,,AUTOCHTHONOUS,護国神社（県関係戦没者の招魂）,Q135508874,,,ok,,
Beppyo,福井神社,,Q11591715,,AUTOCHTHONOUS,人物神（藩主松平慶永の霊を祀って創建）,Q135508874,,,ok,,
Beppyo,福岡縣護國神社,,Q11592931,,AUTOCHTHONOUS,招魂社（戊辰戦争戦没藩士の招魂）,Q135508874,,,ok,,
Beppyo,福島縣護國神社,,Q11593728,,AUTOCHTHONOUS,招魂社（招魂場の英霊を合祀して創建）,Q135508874,,,ok,,
Beppyo,秋田県護国神社,,Q11595542,,AUTOCHTHONOUS,招魂社（戊辰戦争官軍戦没者を当地に祀る）,Q135508874,,,ok,,
Beppyo,秋葉山本宮秋葉神社,,Q500413,,AUTOCHTHONOUS,神体山（秋葉山そのものが神、全国秋葉神社の総本宮）,Q135508874,,,ok,,
Beppyo,秩父神社,,Q2963366,,AUTOCHTHONOUS,国造による祖神奉斎・武甲山の神奈備遥拝,Q135508874,,,ok,,
Beppyo,穂高神社,,Q11597109,,AUTOCHTHONOUS,安曇氏による祖神奉斎（奥穂高岳に穂高見神が降臨）,Q135508874,,,ok,,
Beppyo,竈山神社,,Q11597743,,AUTOCHTHONOUS,墓所・死没地（彦五瀬命の竈山墓の上に奉斎）,Q135508874,,,ok,,
Beppyo,竈門神社,,Q11597744,,AUTOCHTHONOUS,山中での神顕現（玉依姫命の示現）・宝満山の神体山信仰,Q135508874,,,ok,,
Beppyo,筑波山神社,,Q11602876,,AUTOCHTHONOUS,神体山（筑波山そのものが神）,Q135508874,,,ok,,
Beppyo,箱根神社,,Q705310,,AUTOCHTHONOUS,神体山（神山）への山岳信仰・駒ケ岳の磐境祭祀,Q135508874,,,ok,,
Beppyo,籠神社,,Q705126,,AUTOCHTHONOUS,元伊勢の元鎮座地（豊受大神の原座）,Q135508874,,,ok,,
Beppyo,結城神社,,Q11606619,,AUTOCHTHONOUS,墓所・死没地に祀られた人物神（結城宗広）,Q135508874,,,ok,,
Beppyo,美保神社,,Q3313076,,AUTOCHTHONOUS,土地神（美保郷に坐す御穂須須美命）,Q135508874,,,ok,,
Beppyo,群馬縣護國神社,,Q11609908,,AUTOCHTHONOUS,護国神社の招魂,Q135508874,,,ok,,
Beppyo,若松恵比須神社,,Q11616405,,AUTOCHTHONOUS,海中から現れた霊石をこの地に祀った,Q135508874,,,ok,,
Beppyo,若狭彦神社,,Q11616630,,AUTOCHTHONOUS,神の示現（下根来村白石の里に示現した二神）,Q135508874,,,ok,,
Beppyo,英彦山神宮,,Q11616915,,AUTOCHTHONOUS,神体山・祭神の降臨地,Q135508874,,,ok,,
Beppyo,茨城県護国神社,,Q11617516,,AUTOCHTHONOUS,護国神社の招魂（鎮霊社が起源）,Q135508874,,,ok,,
Beppyo,菊池神社 (菊池市),,Q94317,,AUTOCHTHONOUS,人物神を新たに祀る創建（菊池城址に創建）,Q135508874,,,ok,,
Beppyo,藤島神社,,Q11623940,,AUTOCHTHONOUS,戦死地（新田義貞の戦没地・新田塚）に祠を建てた創建,Q135508874,,,ok,,
Beppyo,西宮神社,,Q705297,,AUTOCHTHONOUS,漂着した神像＋神託による鎮座（えびす宮総本社）,Q135508874,,,ok,,
Beppyo,西寒多神社,,Q195714,,AUTOCHTHONOUS,神体山（本宮山）に祠を建てた創祀,Q135508874,,,ok,,
Beppyo,談山神社,,Q488618,,AUTOCHTHONOUS,藤原鎌足の墓の上に建てられた（改葬墓所）,Q135508874,,,ok,,
Beppyo,諏訪大社,,Q218813,,AUTOCHTHONOUS,建御名方神が逃れ着いた地・総本社（神体山／磐座信仰）,Q135508874,,,ok,,
Beppyo,護王神社,,Q11632526,,AUTOCHTHONOUS,人物神を新たに祀る創建（護王善神社に始まる）,Q135508874,,,ok,,
Beppyo,豊国神社 (京都市),,Q709822,,AUTOCHTHONOUS,墓所・廟所（秀吉の埋葬地に建てられた廟が起源）,Q135508874,,,ok,,
Beppyo,豊榮神社・野田神社,,Q11633774,,AUTOCHTHONOUS,藩祖の霊を新たに祀った神社（毛利元就・敬親の神格化）,Q135508874,,,ok,,
Beppyo,貴船神社,,Q276779,,AUTOCHTHONOUS,当地上陸・当地の水神を祭る／全国二千社の総本宮,Q135508874,,,ok,,
Beppyo,賀茂別雷神社,,Q700448,,AUTOCHTHONOUS,神山（神体山）への降臨,Q135508874,,,ok,,
Beppyo,賀茂御祖神社,,Q701620,,AUTOCHTHONOUS,御蔭山への降臨,Q135508874,,,ok,,
Beppyo,赤間神宮,,Q712617,,AUTOCHTHONOUS,死没地・陵墓（壇ノ浦で入水した安徳天皇の御影堂）,Q135508874,,,ok,,
Beppyo,近江神宮,,Q385407,,AUTOCHTHONOUS,天智天皇を縁の地（大津宮跡）に新たに祀った創建,Q135508874,,,ok,,
Beppyo,速谷神社,,Q11639721,,AUTOCHTHONOUS,当地（安芸国）建国の祖神・阿岐国造の祖を祀る総鎮守,Q135508874,,,ok,,
Beppyo,都農神社,,Q3541675,,AUTOCHTHONOUS,当地の土地神を神武天皇が鎮祭したのが起源,Q135508874,,,ok,,
Beppyo,酒列磯前神社,,Q11644289,,AUTOCHTHONOUS,海岸への神の出現（斉衡3年の神現）による創建,Q135508874,,,ok,,
Beppyo,金崎宮,,Q11647043,,AUTOCHTHONOUS,死没地（金ヶ崎城で敗死した両親王を城址に祀る）,Q135508874,,,ok,,
Beppyo,金鑚神社,,Q11647974,,AUTOCHTHONOUS,神体山（御室山を直接拝し本殿を設けない山岳祭祀）,Q135508874,,,ok,,
Beppyo,長崎縣護國神社,,Q11652880,,AUTOCHTHONOUS,招魂社（戦没者の霊をこの地で祀る）,Q135508874,,,ok,,
Beppyo,長田神社,,Q661395,,AUTOCHTHONOUS,神託（事代主神がこの地に祀れと託宣）,Q135508874,,,ok,,
Beppyo,長野縣護國神社,,Q11654831,,AUTOCHTHONOUS,招魂社（県内招魂社を統合した戦没者招魂）,Q135508874,,,ok,,
Beppyo,防府天満宮,,Q704898,,AUTOCHTHONOUS,道真ゆかりの地に創建された最初の天満宮（親社なし）,Q135508874,,,ok,,
Beppyo,阿蘇神社,,Q715639,,AUTOCHTHONOUS,総本社（子神・速瓶玉命が当地で両親を祀ったのが起源）,Q135508874,,,ok,,
Beppyo,阿賀神社,,Q11657692,,AUTOCHTHONOUS,磐座・神体山信仰（夫婦岩など巨岩を磐座として祭祀）,Q135508874,,,ok,,
Beppyo,阿部野神社,,Q11657965,,AUTOCHTHONOUS,祭神の戦死地に創建（北畠顕家の没伝承地）,Q135508874,,,ok,,
Beppyo,雄山神社,,Q11659204,,AUTOCHTHONOUS,立山を神体とする山岳神・当地での神勅による開山,Q135508874,,,ok,,
Beppyo,霊山神社,,Q11660718,,AUTOCHTHONOUS,祭神ゆかりの地（北畠氏の本拠地・陸奥国府跡）に創建,Q135508874,,,ok,,
Beppyo,霧島神宮,,Q704622,,AUTOCHTHONOUS,山岳信仰（高千穂峰そのものが信仰対象）,Q135508874,,,ok,,
Beppyo,青島神社,,Q2857985,,AUTOCHTHONOUS,島そのものが霊域（海洋信仰）／祭神が自ら宮を営んだ地,Q135508874,,,ok,,
Beppyo,靜岡縣護國神社,,Q11663686,,AUTOCHTHONOUS,護国神社の招魂,Q135508874,,,ok,,
Beppyo,須佐神社 (出雲市),,Q11664502,,AUTOCHTHONOUS,祭神が当地で自らの御魂を鎮めた地（須佐之男命の本宮）,Q135508874,,,ok,,
Beppyo,風浪宮,,Q11282543,,AUTOCHTHONOUS,当地での新規奉斎（阿曇氏が少童命を祀った創祀）,Q135508874,,,ok,,
Beppyo,飛騨一宮水無神社,,Q704865,,AUTOCHTHONOUS,神体山（位山そのものを祀る）,Q135508874,,,ok,,
Beppyo,香取神宮,,Q372380,,AUTOCHTHONOUS,全国香取神社の総本社（親社なし・フツヌシの本座）,Q135508874,,,ok,,
Beppyo,香椎宮,,Q631373,,AUTOCHTHONOUS,崩御地・行宮跡に営まれた霊廟（神託による創建）,Q135508874,,,ok,,
Beppyo,馬場都々古別神社,,Q114593121,,AUTOCHTHONOUS,地主神を建鉾山の磐座に祀った創祀,Q135508874,,,ok,,
Beppyo,駒形神社,,Q11668370,,AUTOCHTHONOUS,神体山（駒ヶ岳）の神霊,Q135508874,,,ok,,
Beppyo,高千穂神社,,Q3514126,,AUTOCHTHONOUS,当地に留まった三毛入野命が祖神を祀り、自身も当地に祀られた,Q135508874,,,ok,,
Beppyo,高津宮,,Q11671792,,AUTOCHTHONOUS,祭神自身の宮（難波高津宮）の遺跡上に創建,Q135508874,,,ok,,
Beppyo,高瀬神社,,Q3791906,,AUTOCHTHONOUS,神が自身の御魂を当地に鎮め置いた（国魂神）,Q135508874,,,ok,,
Beppyo,高知縣護國神社,,Q11672548,,AUTOCHTHONOUS,護国神社の招魂,Q135508874,,,ok,,
Beppyo,高良大社,,Q715647,,AUTOCHTHONOUS,高良玉垂命が高良山に自ら鎮座した（地主神から山を譲り受けた）,Q135508874,,,ok,,
Beppyo,高麗神社,,Q10855289,,AUTOCHTHONOUS,当地に移住した渡来氏族の祖（高麗若光）を祀る祖霊神,Q135508874,,,ok,,
Beppyo,鳥海山大物忌神社,,Q11173679,,AUTOCHTHONOUS,神体山（鳥海山そのものが大物忌神）,Q135508874,,,ok,,
Beppyo,鵜戸神宮,,Q704430,,AUTOCHTHONOUS,主祭神の降誕地（海食洞の産屋跡）に創祀,Q135508874,,,ok,,
Beppyo,鷲宮神社,,Q611108,,AUTOCHTHONOUS,神自身が当地に到来し鎮守として祀られた総本社,Q135508874,,,ok,,
Beppyo,鹽竈神社,,Q133753,,AUTOCHTHONOUS,塩土老翁神がこの地に留まった全国鹽竈神社の総本社,Q135508874,,,ok,,
Beppyo,鹿児島県護国神社,,Q11676849,,AUTOCHTHONOUS,護国神社・招魂社（靖献霊社に始まる）,Q135508874,,,ok,,
Beppyo,鹿児島神宮,,Q704695,,AUTOCHTHONOUS,祭神自身の宮殿（高千穂宮）跡を神社としたもの,Q135508874,,,ok,,
Beppyo,鹿島神宮,,Q706499,,AUTOCHTHONOUS,高天原からの直接降臨地、全国鹿島神社の総本社,Q135508874,,,ok,,
Beppyo,黄金山神社 (石巻市),,Q11677857,,AUTOCHTHONOUS,島（金華山）そのものを神とする自然崇拝、日本初の産金地,Q135508874,,,ok,,
Beppyo,龍田大社,,Q246455,,AUTOCHTHONOUS,天皇への神託（夢のお告げ）による龍田山への創建,Q135508874,,,ok,,
Beppyo,井草八幡宮,,Q11373756,,NETWORK,八幡神（源氏の八幡信仰）,Q261637,,,ok,,
Beppyo,住吉神社 (小樽市),,Q11381867,,NETWORK,住吉神（総本社は住吉大社、勧請元社名なし）,Q1114013,,,ok,,
Beppyo,冨士山下宮小室浅間神社,,Q11459659,,NETWORK,富士山・浅間大神（二合目からの勧請説は記事が否定）,Q653180,富士山本宮浅間大社,,ok,,
Beppyo,函館八幡宮,,Q11395952,,NETWORK,八幡神（勧請元社名なし）,Q261637,,,ok,,
Beppyo,千栗八幡宮,,Q11405620,,NETWORK,宇佐八幡宮（五所別宮の一）,Q715632,宇佐神宮,,ok,,
Beppyo,吉備津彦神社,,Q500763,,NETWORK,吉備津神社（本宮）,Q712824,吉備津神社,,ok,,
Beppyo,安房神社,,Q705547,,NETWORK,天太玉命神社（忌部氏祖神・阿波忌部の東遷）,Q11442508,,,ok,,
Beppyo,上川神社,,Q11358960,,NETWORK,天照大神（本社の由来記載なし。太宰府天満宮分霊は境内社）,Q455602,,,ok,,
Beppyo,師岡熊野神社,,Q11481110,,NETWORK,熊野大権現（熊野三山）,Q11568925,,,ok,,
Beppyo,平濱八幡宮,,Q11483250,,NETWORK,石清水八幡宮（平浜別宮）,Q710098,石清水八幡宮,,ok,,
Beppyo,射楯兵主神社,,Q11458547,,NETWORK,伊和神社（伊和大神＝兵主大神）／播磨の伊和族,Q65320,伊和神社,,ok,,
Beppyo,日枝神社 (富山市),,Q11509530,,NETWORK,日吉神社（日枝山麓）／山王権現信仰,Q11470054,,,ok,,
Beppyo,桜山八幡宮,,Q11537980,,NETWORK,八幡大神（応神天皇）,Q261637,,,ok,,
Beppyo,水戸東照宮,,Q11548625,,NETWORK,東照宮（東照大権現・徳川家康）,Q1190456,,,ok,,
Beppyo,氷川神社 (川越市),,Q11549607,,NETWORK,氷川神（大宮氷川神社・氷川信仰）,Q11549596,,,ok,,
Beppyo,湯島天満宮,,Q335606,,NETWORK,菅原道真（天神信仰／天満宮）※勧請元の社名なし,Q382005,,,ok,,
Beppyo,神田明神,,Q717682,,NETWORK,出雲系氏族の祖神・大己貴命,Q696362,出雲大社,,ok,,
Beppyo,福山八幡宮,,Q11592011,,NETWORK,八幡神,Q261637,,,ok,,
Beppyo,秋田諏訪宮,,Q17191063,,NETWORK,諏訪大社（建御名方富命・諏訪大祝家）,Q218813,諏訪大社,,ok,,
Beppyo,稲毛神社,,Q11596691,,NETWORK,武甕槌神（鹿島の神）,Q1502690,,,ok,,
Beppyo,笠間稲荷神社,,Q704876,,NETWORK,稲荷（宇迦之御魂命）― 勧請元不詳,Q3080728,,,ok,,
Beppyo,箭弓稲荷神社 (東松山市),,Q11603300,,NETWORK,稲荷（箭弓稲荷大明神・保食神）,Q719665,,,ok,,
Beppyo,若宮八幡社 (名古屋市中区),,Q11616255,,NETWORK,八幡（応神天皇・仁徳天皇）,Q317997,,,ok,,
Beppyo,飛幡八幡宮,,Q11665771,,NETWORK,八幡神（宇都宮氏の氏神、出身地の宇都宮から勧請）,Q261637,,,ok,,
Beppyo,鮎貝八幡宮,,Q11674156,,NETWORK,八幡神,Q261637,,,ok,,
Beppyo,亀山八幡宮 (下関市),,Q11370831,,TRANSFER,宇佐神宮,Q715632,宇佐神宮,,ok,,
Beppyo,亀山八幡宮 (佐世保市),,Q11370833,,TRANSFER,宇佐神宮,Q715632,宇佐神宮,,ok,,
Beppyo,亀山神社 (呉市清水),,Q11370879,,TRANSFER,宇佐神宮,Q715632,宇佐神宮,,ok,,
Beppyo,五社神社・諏訪神社,,Q11372582,,TRANSFER,春日大社,Q714559,春日大社,,ok,,
Beppyo,今宮戎神社,,Q11376859,,TRANSFER,八坂神社,Q692714,八坂神社,,ok,,
Beppyo,伊勢山皇大神宮,,Q11378990,,TRANSFER,伊勢神宮,Q687168,伊勢神宮,,ok,,
Beppyo,八幡朝見神社,,Q11391001,,TRANSFER,鶴岡八幡宮,Q701403,,,ok,,
Beppyo,八重垣神社,,Q3571285,,TRANSFER,須我神社,Q11664579,,,ok,,
Beppyo,大原野神社,,Q3594020,,TRANSFER,春日大社,Q714559,春日大社,,ok,,
Beppyo,大宮八幡宮 (杉並区),,Q10934922,,TRANSFER,石清水八幡宮,Q710098,石清水八幡宮,,ok,,
Beppyo,大杉神社,,Q11435950,,TRANSFER,大神神社,Q705542,大神神社,,ok,,
Beppyo,土佐神社,,Q704890,,TRANSFER,鳴無神社,Q11675401,,,ok,,
Beppyo,伊曽乃神社,,Q11379396,,TRANSFER,伊勢神宮,Q687168,伊勢神宮,,ok,,
Beppyo,北口本宮冨士浅間神社,,Q11401286,,TRANSFER,冨士御室浅間神社,Q11395081,冨士御室浅間神社,,ok,,
Beppyo,北海道神宮,,Q710826,,TRANSFER,神祇官（東京の北海道鎮座神祭）,Q2264720,,,ok,,
Beppyo,太皷谷稲成神社,,Q11444477,,TRANSFER,伏見稲荷大社,Q714828,,,ok,,
Beppyo,宇佐神宮,,Q715632,,TRANSFER,大分八幡宮,Q11432652,,,ok,,
Beppyo,吉備津神社 (福山市),,Q6404042,,TRANSFER,吉備津神社,Q712824,吉備津神社,,ok,,
Beppyo,吉田神社,,Q713177,,TRANSFER,春日大社,Q714559,春日大社,,ok,,
Beppyo,吉野神宮,,Q11414497,,TRANSFER,吉水神社,Q3572667,,,ok,,
Beppyo,一之宮貫前神社,,Q10863796,,TRANSFER,咲前神社,Q130456565,,,ok,,
Beppyo,三嶋大社,,Q650772,,TRANSFER,大山祇神社,Q703904,大山祇神社,,ok,,
Beppyo,中山神社,,Q11364246,,TRANSFER,吉備中山（吉備津彦神社／吉備津神社の地）,Q135646238,,,ok,,
Beppyo,帯廣神社,,Q11481193,,TRANSFER,札幌神社（現・北海道神宮）,Q710826,北海道神宮,,ok,,
Beppyo,平塚八幡宮,,Q11482330,,TRANSFER,宇佐神宮,Q715632,宇佐神宮,,ok,,
Beppyo,平野神社,,Q738971,,TRANSFER,田村後宮（平城京、今木神の旧鎮座地）,Q862509,,,ok,,
Beppyo,寒河江八幡宮,,Q11457413,,TRANSFER,石清水八幡宮（京都男山八幡宮）,Q710098,石清水八幡宮,,ok,,
Beppyo,尾山神社,,Q998709,,TRANSFER,卯辰八幡社（現・宇多須神社）,Q125927189,,,ok,,
Beppyo,志和稲荷神社,,Q11490845,,TRANSFER,伏見稲荷大社,Q714828,,,ok,,
Beppyo,日枝神社 (千代田区),,Q702042,,TRANSFER,仙波日枝神社（川越・無量寿寺鎮守）,Q11509531,,,ok,,
Beppyo,日牟禮八幡宮,,Q11509681,,TRANSFER,宇佐八幡（宇佐神宮）,Q715632,宇佐神宮,,ok,,
Beppyo,春日大社,,Q714559,,TRANSFER,鹿島神宮（あわせて香取神宮・枚岡神社）,Q706499,鹿島神宮,,ok,,
Beppyo,春日神社 (大分市),,Q11513662,,TRANSFER,春日大社,Q714559,春日大社,,ok,,
Beppyo,東京大神宮,,Q11524717,,TRANSFER,伊勢神宮（皇大神宮）,Q687168,伊勢神宮,,ok,,
Beppyo,柞原八幡宮,,Q195715,,TRANSFER,宇佐八幡宮（宇佐神宮）,Q715632,宇佐神宮,,ok,,
Beppyo,櫛田神社 (福岡市),,Q865839,,TRANSFER,櫛田神社 (松阪市),Q11544726,,,ok,,
Beppyo,武水別神社,,Q11546041,,TRANSFER,石清水八幡宮,Q710098,石清水八幡宮,,ok,,
Beppyo,氷川神社,,Q703633,,TRANSFER,杵築大社（出雲大社）,Q11528832,,,ok,,
Beppyo,浅間神社 (笛吹市),,Q11557476,,TRANSFER,山宮神社（摂社・元宮）,Q1071160,,,ok,,
Beppyo,深志神社,,Q11560040,,TRANSFER,北野天満宮,Q662176,北野天満宮,,ok,,
Beppyo,熊野神社 (南陽市),,Q288312,,TRANSFER,熊野三山（紀伊国熊野権現）,Q10403700,,,ok,,
Beppyo,熱田神宮,,Q482065,,TRANSFER,伊勢神宮（皇大神宮）,Q687168,伊勢神宮,,ok,,
Beppyo,琴崎八幡宮,,Q11573763,,TRANSFER,宇佐神宮（宇佐八幡）,Q715632,宇佐神宮,,ok,,
Beppyo,甲宗八幡神社,,Q11577728,,TRANSFER,宇佐八幡宮（男山遷座途次の分祀）,Q715632,宇佐神宮,,ok,,
Beppyo,白山神社 (新潟市中央区一番堀通町),,Q11579595,,TRANSFER,白山比咩神社,Q704702,白山比咩神社,,ok,,
Beppyo,白峯神宮,,Q705635,,TRANSFER,白峯陵・頓証寺殿（讃岐国）,Q929682,,,ok,,
Beppyo,盛岡八幡宮,,Q11581351,,TRANSFER,石清水八幡宮,Q710098,石清水八幡宮,,ok,,
Beppyo,石上神宮,,Q708859,,TRANSFER,宮中（宇摩志麻治命の斎場。一説に石上布都魂神社）,Q11453221,,,ok,,
Beppyo,石清水八幡宮,,Q710098,,TRANSFER,宇佐神宮,Q715632,宇佐神宮,,ok,,
Beppyo,祐徳稲荷神社,,Q251682,,TRANSFER,伏見稲荷大社,Q714828,,,ok,,
Beppyo,神明神社 (福井市),,Q11590317,,TRANSFER,伊勢神宮（内宮・皇大神宮）,Q687168,伊勢神宮,,ok,,
Beppyo,神柱宮,,Q3192663,,TRANSFER,伊勢神宮,Q687168,伊勢神宮,,ok,,
Beppyo,竹駒神社,,Q521319,,TRANSFER,伏見稲荷大社,Q714828,,,ok,,
Beppyo,筥崎宮,,Q714742,,TRANSFER,大分宮（筑前国穂波郡）,Q11432652,,,ok,,
Beppyo,若一王子神社,,Q11616187,,TRANSFER,熊野那智大社,Q710359,熊野那智大社,,ok,,
Beppyo,菅生石部神社,,Q11619342,,TRANSFER,宮中（宮中で祀られていた菅生石部神）,Q11453221,,,ok,,
Beppyo,藤崎八旛宮,,Q167146,,TRANSFER,石清水八幡宮,Q710098,石清水八幡宮,,ok,,
Beppyo,谷地八幡宮,,Q11632782,,TRANSFER,石清水八幡宮,Q710098,石清水八幡宮,,ok,,
Beppyo,金峯神社 (鶴岡市),,Q11647032,,TRANSFER,金峯神社（大和国吉野の金峯山）,Q11488964,,,ok,,
Beppyo,鎮西大社諏訪神社,,Q84028,,TRANSFER,京都の諏訪神社（異説：唐津の諏訪神社）,Q2370082,,,ok,,
Beppyo,長浜八幡宮,,Q11653283,,TRANSFER,石清水八幡宮,Q710098,石清水八幡宮,,ok,,
Beppyo,青井阿蘇神社,,Q2857960,,TRANSFER,阿蘇神社（熊本県阿蘇市）,Q715639,阿蘇神社,,ok,,
Beppyo,静岡浅間神社,,Q500368,,TRANSFER,富士山本宮浅間大社,Q653180,富士山本宮浅間大社,,ok,,
Beppyo,高橋稲荷神社,,Q11671498,,TRANSFER,伏見稲荷大社,Q714828,,,ok,,
Beppyo,鬪雞神社,,Q11656593,,TRANSFER,熊野三山（熊野本宮大社）,Q10403700,,,ok,,
Beppyo,鳥海月山両所宮,,Q11675030,,TRANSFER,鳥海山大物忌神社（飽海郡吹浦の鳥海山両所神社）,Q11173679,鳥海山大物忌神社,,ok,,
Beppyo,鷲尾愛宕神社,,Q11676235,,TRANSFER,愛宕神社（京都・愛宕山白雲寺）,Q713021,愛宕神社,,ok,,
Ise,四至神,,Q6543779,,AUTOCHTHONOUS,神域そのものの境界を守る地主的な神、社殿を持たない磐座祭祀,Q135508874,,,ok,,
Ise,国津御祖神社,,Q17214737,,AUTOCHTHONOUS,土地の産土神（国生の神の御子）を倭姫命がその地で定めた,Q135508874,,,ok,,
Ise,園相神社,,Q18337174,,AUTOCHTHONOUS,在地の国津神（園作神）が御園を献じた場所にそのまま祀られた,Q135508874,,,ok,,
Ise,土宮,,Q11423156,,AUTOCHTHONOUS,外宮鎮座地・山田原の地主神,Q135508874,,,ok,,
Ise,坂手国生神社,,Q17224770,,AUTOCHTHONOUS,在地の国津神（灌漑水神）が神田を献じた地に祀られた,Q135508874,,,ok,,
Ise,堅田神社,,Q17228121,,AUTOCHTHONOUS,二見の土地神が堅塩を奉った地にそのまま祀られた,Q135508874,,,ok,,
Ise,多岐原神社,,Q17229062,,AUTOCHTHONOUS,宮川の渡渉を助けた在地の土地神をその場で祀った,Q135508874,,,ok,,
Ise,大土御祖神社,,Q17222702,,AUTOCHTHONOUS,土地の守護神・水神（国生の神の御子）を倭姫命がその地で定めた,Q135508874,,,ok,,
Ise,大山祇神社 (伊勢市),,Q17223627,,AUTOCHTHONOUS,神路山の山裾に鎮まる山の神、旧「山神社」で山口祭の祭場,Q135508874,,,ok,,
Ise,大水神社,,Q17223392,,AUTOCHTHONOUS,在地の山の神を倭姫命がその地で定めた,Q135508874,,,ok,,
Ise,山末神社,,Q17223513,,AUTOCHTHONOUS,高倉山の山の神かつ外宮神田に水を満たす泉の神,Q135508874,,,ok,,
Ise,川原神社 (伊勢市),,Q17209206,,AUTOCHTHONOUS,宮川の守護神を倭姫命がその地で定めた,Q135508874,,,ok,,
Ise,度会国御神社,,Q11486118,,AUTOCHTHONOUS,鎮座地の国魂神・度会氏の祖神（外宮創建以前から在地）,Q135508874,,,ok,,
Ise,度会大国玉比賣神社,,Q11486120,,AUTOCHTHONOUS,度会地方の地主神,Q135508874,,,ok,,
Ise,御塩殿神社,,Q11488906,,AUTOCHTHONOUS,御塩殿の鎮守神（当地の製塩施設の守り神）,Q135508874,,,ok,,
Ise,御稲御倉,,Q17230412,,AUTOCHTHONOUS,御稲御倉そのものの守護神,Q135508874,,,ok,,
Ise,御船神社 (多気町),,Q17214615,,AUTOCHTHONOUS,外城田川の守護神・倭姫命が船を停めた地に定めた,Q135508874,,,ok,,
Ise,御酒殿神,,Q17211756,,AUTOCHTHONOUS,御酒殿そのものの神,Q135508874,,,ok,,
Ise,御食神社 (伊勢市),,Q17211721,,AUTOCHTHONOUS,鷲取老翁が倭姫命に清水を奉った功績を讃えて当地に創建,Q135508874,,,ok,,
Ise,大津神社 (伊勢市),,Q17222697,,AUTOCHTHONOUS,五十鈴川河口・神社港／大湊の在地守護神,Q135508874,,,ok,,
Ise,大間国生神社,,Q135098908,,AUTOCHTHONOUS,在地氏族・度会氏の祖神を倭姫命が当地に定めた,Q135508874,,,ok,,
Ise,奈良波良神社,,Q17227047,,AUTOCHTHONOUS,土地の産土神・国津神（石を神体とする）,Q135508874,,,ok,,
Ise,子安神社 (伊勢市),,Q17222830,,AUTOCHTHONOUS,宇治館町の産土神,Q135508874,,,ok,,
Ise,宇治山田神社,,Q17194122,,AUTOCHTHONOUS,興玉の森の丘の水神を倭姫命が定めた,Q135508874,,,ok,,
Ise,宇須乃野神社,,Q17194134,,AUTOCHTHONOUS,鎮座地の原野「宇須野」そのものの神,Q135508874,,,ok,,
Ise,小社神社,,Q17224784,,AUTOCHTHONOUS,石を神体とする水神、倭姫命が当地に定めた,Q135508874,,,ok,,
Ise,江神社,,Q18336610,,AUTOCHTHONOUS,地域の土地神・五穀豊穣の神を倭姫命が当地で祀った,Q135508874,,,ok,,
Ise,河原淵神社,,Q17209232,,AUTOCHTHONOUS,当地の淵の水の守護神,Q135508874,,,ok,,
Ise,河原神社 (伊勢市),,Q17228197,,AUTOCHTHONOUS,宮川下流の川そのものが神,Q135508874,,,ok,,
Ise,津布良神社,,Q17216185,,AUTOCHTHONOUS,地名を負う田野の水の神を倭姫命が当地に定めた,Q135508874,,,ok,,
Ise,津長神社,,Q17215982,,AUTOCHTHONOUS,津長原の水神を倭姫命が当地に定めた,Q135508874,,,ok,,
Ise,清野井庭神社,,Q17213398,,AUTOCHTHONOUS,鎮座地近隣の灌漑用水の神,Q135508874,,,ok,,
Ise,湯田神社,,Q17225818,,AUTOCHTHONOUS,湯田地域の農耕の神,Q135508874,,,ok,,
Ise,滝祭神,,Q17229063,,AUTOCHTHONOUS,五十鈴川の水源の神（神体は石、社殿なし）,Q135508874,,,ok,,
Ise,志等美神社,,Q17212285,,AUTOCHTHONOUS,土地の林野の神＝宮川堤防の守護神,Q135508874,,,ok,,
Ise,月夜見宮,,Q11516023,,AUTOCHTHONOUS,高河原の川の神・農耕神として当地で祀られていた社,Q135508874,,,ok,,
Ise,朝熊神社 (伊勢市),,Q17191186,,AUTOCHTHONOUS,当地で石と化していた大歳神を倭姫命が在地のまま祀った,Q135508874,,,ok,,
Ise,朽羅神社,,Q17229533,,AUTOCHTHONOUS,石を神体とする在地の田野の守護神を倭姫命が定めた,Q135508874,,,ok,,
Ise,棒原神社,,Q17218865,,AUTOCHTHONOUS,鎮座地の丘陵の守護神,Q135508874,,,ok,,
Ise,機殿神社,,Q11544511,,AUTOCHTHONOUS,倭姫命が当地に機屋を建てて社を興し、在地の織部の祖神を祀った,Q135508874,,,ok,,
