SET,SHRINE,ITEM,CLASS,SOURCE NAMED IN ARTICLE,P612 STAGED,STATUS,EVIDENCE (the sentence),FIX,NOTE
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大阪護國神社"",""大阪護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11441628"",""Q11441628"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大鳥大社"",""大鳥大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705151"",""Q705151"")",AUTOCHTHONOUS,日本武尊の白鳥が舞い降りた地、総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/大麻比古神社"",""大麻比古神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q723417"",""Q723417"")",AUTOCHTHONOUS,阿波忌部氏が開拓地で祖神を祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/天岩戸神社"",""天岩戸神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q2841102"",""Q2841102"")",AUTOCHTHONOUS,天岩戸の岩窟そのものが神体,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/太平山三吉神社"",""太平山三吉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11443949"",""Q11443949"")",AUTOCHTHONOUS,太平山そのものが神、総本宮,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/奈良県護国神社"",""奈良県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11445249"",""Q11445249"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/北野天満宮"",""北野天満宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q662176"",""Q662176"")",AUTOCHTHONOUS,道真の託宣により北野に社を立てる、天神総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/十日恵比須神社"",""十日恵比須神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11405077"",""Q11405077"")",AUTOCHTHONOUS,漂着した恵比須神像を拾い上げた地に鎮座,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/千葉縣護國神社"",""千葉縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11406714"",""Q11406714"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/南宮大社"",""南宮大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q704967"",""Q704967"")",AUTOCHTHONOUS,金属神の総本宮、南宮山麓,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/厳島神社"",""厳島神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q191763"",""Q191763"")",AUTOCHTHONOUS,島そのものが神、社殿造営の神託、総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/古四王神社"",""古四王神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11410984"",""Q11410984"")",AUTOCHTHONOUS,齶田浦神（土地の地主神）を当地で奉祀,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/吉備津神社"",""吉備津神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q712824"",""Q712824"")",AUTOCHTHONOUS,大吉備津彦命の住居跡・墓所、吉備の中山が神体山,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宇倍神社"",""宇倍神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q246447"",""Q246447"")",AUTOCHTHONOUS,武内宿禰終焉の地・双履石の磐境,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宇美八幡宮"",""宇美八幡宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q924940"",""Q924940"")",AUTOCHTHONOUS,応神天皇の誕生地に祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宇都宮二荒山神社"",""宇都宮二荒山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q10946254"",""Q10946254"")",AUTOCHTHONOUS,奈良別王が祖神豊城入彦命を当地で祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/安仁神社"",""安仁神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11450252"",""Q11450252"")",AUTOCHTHONOUS,五瀬命が滞在した地に祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宗像大社"",""宗像大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q704962"",""Q704962"")",AUTOCHTHONOUS,三女神が宗像の島々に天降る、沖ノ島が神体、総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宮地嶽神社"",""宮地嶽神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3317296"",""Q3317296"")",AUTOCHTHONOUS,神功皇后が宮地岳山頂に祭壇、総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宮城縣護國神社"",""宮城縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11453994"",""Q11453994"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/宮崎神宮"",""宮崎神宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q704686"",""Q704686"")",AUTOCHTHONOUS,神武天皇が東征以前に宮を営んだ地,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/富士山本宮浅間大社"",""富士山本宮浅間大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q653180"",""Q653180"")",AUTOCHTHONOUS,富士山を神体山とする、浅間神社総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/富山縣護國神社"",""富山縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11456842"",""Q11456842"")",AUTOCHTHONOUS,招魂社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/富知六所浅間神社"",""富知六所浅間神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11457276"",""Q11457276"")",AUTOCHTHONOUS,富士山山腹の地主神（富知神）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/三峯神社"",""三峯神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11355207"",""Q11355207"")",AUTOCHTHONOUS,日本武尊が当山に登り創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/三重県護国神社"",""三重県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11357857"",""Q11357857"")",AUTOCHTHONOUS,招魂社（靖国とは本社分社の関係にない）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/上杉神社"",""上杉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q10867478"",""Q10867478"")",AUTOCHTHONOUS,米沢城内の上杉謙信の霊を祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/丹生川上神社"",""丹生川上神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q246370"",""Q246370"")",AUTOCHTHONOUS,当地の神託による水神創祀,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/丹生川上神社上社"",""丹生川上神社上社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q10877366"",""Q10877366"")",AUTOCHTHONOUS,縄文以来の祭祀遺跡に発する水神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/丹生川上神社下社"",""丹生川上神社下社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q10877367"",""Q10877367"")",AUTOCHTHONOUS,在地の水神信仰・漂着鳥居を神体,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/丹生都比売神社"",""丹生都比売神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705154"",""Q705154"")",AUTOCHTHONOUS,天降りののち天野原に鎮座、丹生社総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/乃木神社_(東京都港区)"",""乃木神社 (東京都港区)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3342690"",""Q3342690"")",AUTOCHTHONOUS,乃木夫妻が自刃した邸宅の隣地,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/岐阜護國神社"",""岐阜護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q870911"",""Q870911"")",AUTOCHTHONOUS,招魂社（戦没者英霊の招魂）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,1937年（昭和12年）の支那事変勃発に伴い、1939年（昭和14年）3月10日に2市10郡209ケ村の代表者が内務省へ創立を出願し、同年6月19日に内務大臣から創立許可を受けた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/岡山県護国神社"",""岡山県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11472363"",""Q11472363"")",AUTOCHTHONOUS,招魂社（戦死者の招魂祭に起源）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,岡山藩主であった池田章政が、1869年（明治2年）4月3日に現在の後楽園公園裏竹田河原に於て、奥羽戦争戦死者である雀部八郎時宜など34柱の招魂祭を挙行した。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/岩木山神社"",""岩木山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q871375"",""Q871375"")",AUTOCHTHONOUS,山岳神（岩木山そのものが神体、山頂に創建）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,創建については諸説があるが、最も古い説では、宝亀11年（780年）、岩木山の山頂に社殿を造営したのが起源とされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/常磐神社"",""常磐神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3530470"",""Q3530470"")",AUTOCHTHONOUS,人物神の新規奉斎（徳川光圀・斉昭を当地に祀る）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治初年、徳川光圀と徳川斉昭の徳を慕う水戸藩士により偕楽園内に祠堂が建てられた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/平安神宮"",""平安神宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q385141"",""Q385141"")",AUTOCHTHONOUS,人物神の新規奉斎（桓武天皇を祀る神社として創祀）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,博覧会に先立つ3月15日には、平安遷都を行った天皇である第50代桓武天皇を祀る神社として創祀された。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/広峯神社"",""広峯神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11484399"",""Q11484399"")",AUTOCHTHONOUS,当地での神威感得・牛頭天王総本宮,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,天平5年（733年）、唐から帰った吉備真備が都へ戻る途中この地で神威を感じ、それを聖武天皇に報告したことにより、翌天平6年（734年）、白幣山に創建されたのに始まると伝えられる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/広島護国神社"",""広島護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q84008"",""Q84008"")",AUTOCHTHONOUS,招魂社（戊辰戦争戦死者を奉祀する水草神社として建立）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,1868年（明治元年） - 芸州藩主浅野長訓により、廣島大須賀二葉の里に戊辰戦争に従軍して戦死した高間省三以下78人を奉祀するため「水草神社」として建立,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/寒川神社"",""寒川神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q48744"",""Q48744"")",AUTOCHTHONOUS,相武国造の氏神として当地で創祀（土着の在地神）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,一説に古代より相模川より東部一帯に勢力を誇った相武国造がおり、相武国造の氏神として創祀されたと推定される。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/寳登山神社"",""寳登山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11452649"",""Q11452649"")",AUTOCHTHONOUS,宝登山での日本武尊の神異体験に基づく山の神の鎮祭,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,巨犬は大山祇神の神犬であった事を知り、防火守護のため火産霊神を拝し、その後山麓に社殿を建て三神を鎮祭した。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/射水神社"",""射水神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11458557"",""Q11458557"")",AUTOCHTHONOUS,二上山を神奈備とする山の神（伊彌頭国造の祖神）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,社伝によれば、当神社は二上山を神奈備とし、太古よりその麓に鎮座していた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/小国神社"",""小国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q421597"",""Q421597"")",AUTOCHTHONOUS,本宮山への神霊示現（当地での顕現）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,欽明天皇16年2月18日、現在地より6kmほど離れた本宮山に神霊が示現したので、勅命によりそこに社殿が造営されたのに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/小御門神社"",""小御門神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11460773"",""Q11460773"")",AUTOCHTHONOUS,藤原師賢の墓跡（死没地・墓所への創祀）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治15年に師賢の墓跡に社殿を造営し、同年4月29日に鎮座祭が行われた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/尾張大国霊神社"",""尾張大国霊神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11465296"",""Q11465296"")",AUTOCHTHONOUS,当地の土地の霊力そのものを神と崇めた国霊神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,祭神の尾張大国霊神は、尾張人の祖先が当地を開拓する中で、自分達を養う土地の霊力を神と崇めたものとされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/山口県護国神社"",""山口県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11467121"",""Q11467121"")",AUTOCHTHONOUS,護国神社の招魂（県内戦没者の霊を当地で招魂）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,1903年に防長靖献会が設立され、現鎮座地の南に隣接する桜畠練兵場で招魂祭が斎行されていた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/山形県護国神社"",""山形県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11468583"",""Q11468583"")",AUTOCHTHONOUS,護国神社の招魂（戊辰戦争戦死者を祀る招魂社に始まる）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治2年1月、戊辰戦争で戦死した薩摩藩士10柱を祀るために山形市八日町に社殿を造営したのに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/山梨縣護國神社"",""山梨縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11469919"",""Q11469919"")",AUTOCHTHONOUS,護国神社の招魂（招魂社として創建）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治12年、招魂社として市内太田町に建立されたことに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/廣瀬大社"",""廣瀬大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705281"",""Q705281"")",AUTOCHTHONOUS,託宣が下りた土地での初鎮座（沼が一夜で陸地化した奇瑞の地）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,崇神天皇9年、広瀬の河合の里長の廣瀬臣藤時に託宣があり、その地に大御膳神として社殿を建てて祀ったのに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/廣田神社"",""廣田神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q1466105"",""Q1466105"")",AUTOCHTHONOUS,天照大神自身の託宣が鎮座地を指定した荒魂の初鎮座,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,「荒魂を皇居の近くに置くのは良くない。広田国に置くのが良い。」そこで皇后は、山背根子の娘の葉山媛に天照大神の荒魂を祀られた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/建部大社"",""建部大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q403338"",""Q403338"")",AUTOCHTHONOUS,神勅による日本武尊の死後奉祀,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,日本武尊の死後の景行天皇46年に、妃・布多遅比売命が神勅によって日本武尊を「建部大神」として祀ったのが当社の始まりとされている。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/彌彦神社"",""彌彦神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q195684"",""Q195684"")",AUTOCHTHONOUS,祭神の墓所（神廟）・神体山,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,天香山命は神去り坐して神劒峰（弥彦山）に葬られ、御子である天五田根命が廟社を築き奉祀した事に始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/御上神社"",""御上神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11488762"",""Q11488762"")",AUTOCHTHONOUS,山頂への降臨・神体山（三上山）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,孝霊天皇6年6月18日に天之御影命が三上山の山頂に降臨し、御上祝が三上山を神体として祀ったのに始まると伝える。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/忌宮神社"",""忌宮神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11490717"",""Q11490717"")",AUTOCHTHONOUS,仲哀天皇を自らの行宮（豊浦宮）跡に奉祀した死後奉斎,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,筑紫の香椎で亡くなった仲哀天皇を、神功皇后が三韓征伐からの帰途、豊浦宮の跡に祀ったのに始まると伝える。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/志賀海神社"",""志賀海神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11491171"",""Q11491171"")",AUTOCHTHONOUS,綿津見神社・海神社の総本社／阿曇氏の氏神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,全国の綿津見神社、海神社の総本社を称する。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/愛媛縣護國神社"",""愛媛縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11493796"",""Q11493796"")",AUTOCHTHONOUS,私祭招魂社としての創建（招魂）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治32年、現在の松山東警察署の場所に私祭招魂社として創建された。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/愛宕神社"",""愛宕神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q713021"",""Q713021"")",AUTOCHTHONOUS,愛宕山（朝日峰）山上の神廟／全国愛宕神社の総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,大宝年間に、役小角と泰澄によって朝日峰に神廟が建立されたのが創建とされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/愛知縣護國神社"",""愛知縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q4696584"",""Q4696584"")",AUTOCHTHONOUS,招魂（旌忠社として戊辰戦争戦死者を当地に祀る）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,徳川慶勝が戊辰戦争で戦死した藩士ら25人の霊を名古屋市昭和区川名山に祀り、翌1869年5月に「旌忠社」として祠を建てたのに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/戸隠神社"",""戸隠神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q218828"",""Q218828"")",AUTOCHTHONOUS,地主神 九頭龍大神＋戸隠山そのものが御神体,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,伝承では、この地の地主神である九頭龍大神が、天手力雄命を迎え入れたといわれている。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/手長神社"",""手長神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11497169"",""Q11497169"")",AUTOCHTHONOUS,諏訪以前からこの地で信仰された在地神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,建御名方神が諏訪大社に祀られる以前からこの地で信仰されていた神とされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/敢國神社"",""敢國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11499487"",""Q11499487"")",AUTOCHTHONOUS,南宮山を神奈備とする原始信仰（阿閇氏の祖神）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,南宮山が円錐形を成す典型的な神奈備であることから、この南宮山に対する原始信仰に始まったと見られる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/新屋山神社"",""新屋山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q106388142"",""Q106388142"")",AUTOCHTHONOUS,富士山そのものを山の神とする信仰（奥宮は富士二合目）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,地元で「ヤマノカミサマ」と呼ばれて親しまれており、昔から山の神、産業の神として信仰されてきた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/新潟縣護國神社"",""新潟縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11503581"",""Q11503581"")",AUTOCHTHONOUS,招魂社（戦没者の墓碑の地に創建）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,戊辰戦争の官軍戦没者416柱を祀って社殿を造立し新潟招魂社として祭られた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/新田神社_(薩摩川内市)"",""新田神社 (薩摩川内市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11503757"",""Q11503757"")",AUTOCHTHONOUS,ニニギの陵墓（可愛山陵）に其の御霊を祀った創始,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,ニニギノミコトの御霊を祀ったのが新田神社の創始である。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/日光二荒山神社"",""日光二荒山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q701927"",""Q701927"")",AUTOCHTHONOUS,日光三山（男体山）を神体山とする祠,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,上人が神護景雲元年に二荒山（男体山）の神を祭る祠を建てたことに始まるとされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/日吉大社"",""日吉大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q656451"",""Q656451"")",AUTOCHTHONOUS,八王子山の磐座（金大巌）に宿る大山咋神／日吉・日枝・山王社の総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,『古事記』には、八王子山の山頂近くの磐に大山咋神が宿ると記されており、これが最も古い記録である。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/日御碕神社"",""日御碕神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q1619446"",""Q1619446"")",AUTOCHTHONOUS,素盞嗚尊が占いで自ら鎮まる地を定め、その御魂を当地で奉斎,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,柏葉を風で占うと隠ヶ丘に止まった。そこで御子・天葺根命は御魂をその地で奉斎したと伝わる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/明治神宮"",""明治神宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q287165"",""Q287165"")",AUTOCHTHONOUS,崩御した明治天皇その人を新たに神として祀る創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,祭神は明治天皇と昭憲皇太后で、明治天皇崩御後の1920年11月1日に創建された。,,
