Page,Template
Hioki Shrine (Nagoya),{{ill|UNKNOWN|lt=Ame-no-Futodama-no-Mikoto|1=UNKNOWN}}
Hioki Shrine (Nagoya),solved
Hioki Shrine (Nagoya),solved
Hioki Shrine (Nagoya),{{ill|UNKNOWN|lt=Ame-no-Futodama-no-Mikoto|1=UNKNOWN}}
Hioki Shrine (Nagoya),{{ill|UNKNOWN|lt=Homuda-wake-no-Mikoto|1=UNKNOWN}}
Hioki Shrine (Nagoya),{{ill|UNKNOWN|lt=Amaterasu Kōtaijin|1=UNKNOWN}}
Hioki Shrine (Nagoya),{{ill|UNKNOWN|lt=Hioki-be|1=UNKNOWN}}
Hioki Shrine (Nagoya),{{ill|UNKNOWN|lt=Kigen Festival|1=UNKNOWN}}
Hioki Shrine (Q11510250),solved
Hioki Shrine (Q11510250),solved
Hioki Shrine (Q11510250),{{ill|UNKNOWN|lt=former shrine rank|1=UNKNOWN}}
Hioki Shrine (Q11510250),{{ill|UNKNOWN|lt=Hioki Sukune-no-Mikoto|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Shikiuchi Shrine|1=UNKNOWN}}
Hiraoka Shrine,solved
Hiraoka Shrine,{{ill|UNKNOWN|lt=Meiji Restoration|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=lanterns|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Honjibutsu|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Amatsune no Mikoto|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Japanese name extract|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Great Pannya Sutra|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Selected Intangible Folk Cultural Properties|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Saturday and Sunday before Sports Day|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=Selected Intangible Folk Cultural Property|1=UNKNOWN}}
Hiraoka Shrine,{{ill|UNKNOWN|lt=juniper|1=UNKNOWN}}
Hirose Shrine,solved
Hirose Shrine,solved
Hirose Shrine (Izunokuni),solved
Hirose Shrine (Izunokuni),solved
Hirose Shrine (Izunokuni),solved
Hirose Shrine (Izunokuni),solved
Hirose Shrine (Izunokuni),solved
Hirose Shrine (Izunokuni),{{ill|UNKNOWN|lt=Hozumi Tadashi|1=UNKNOWN}}
Hirose Shrine (Q11485625),solved
Hirose Shrine (Q11485625),solved
Hiruko Shrine (Q106852693),{{ill|UNKNOWN|lt=Hiruko Ōkami|1=UNKNOWN}}
Hiruko Shrine (Q106852693),solved
Hiruko Shrine (Q106852693),{{ill|UNKNOWN|lt=Susanoo-no-Kami|1=UNKNOWN}}
Hiruko Shrine (Q106852693),solved
Hiruko Shrine (Q106852693),{{ill|UNKNOWN|lt=Washiki Seven Lucky Gods|1=UNKNOWN}}
Hiruko Shrine (Q106852693),{{ill|UNKNOWN|lt=cedar|1=UNKNOWN}}
Hiruko Shrine (Q106852693),{{ill|UNKNOWN|lt=Hiruko Ōkami|1=UNKNOWN}}
Hiruko Shrine (Q106852693),solved
Hiruko Shrine (Q106852693),{{ill|UNKNOWN|lt=Susanoo-no-Kami|1=UNKNOWN}}
Hishikino Shrine,solved
Hishikino Shrine,{{ill|UNKNOWN|lt=enshrined|1=UNKNOWN}}
Hishikino Shrine,solved
Hishikino Shrine,solved
Hishikino Shrine,solved
Hishikino Shrine,{{ill|UNKNOWN|lt=Takehayasusano-no-Mikoto|1=UNKNOWN}}
Hishikino Shrine,{{ill|UNKNOWN|lt=Kagutsuchi-no-Kami|1=UNKNOWN}}
Hishikino Shrine,{{ill|UNKNOWN|lt=Ōmononushi-no-Kami|1=UNKNOWN}}
Hishikino Shrine,{{ill|UNKNOWN|lt=Uka-no-Mitama-no-Mikoto|1=UNKNOWN}}
Hishikino Shrine,{{ill|lt=Konohanasakuyabime|UNKNOWN|lt=Konohanasakuya-hime-no-Mikoto}}
Hishikino Shrine,{{ill|UNKNOWN|lt=Ōyamazumi-no-Kami|1=UNKNOWN}}
Hishikino Shrine,solved
Hishikino Shrine,{{ill|UNKNOWN|lt=Ōwatatsumi-no-Kami|1=UNKNOWN}}
Hitsuji Shrine (Nagoya),solved
Hitsuji Shrine (Nagoya),solved
Hitsuji Shrine (Nagoya),{{ill|UNKNOWN|lt=local historian|1=UNKNOWN}}
Hitsuji Shrine (Nagoya),{{ill|UNKNOWN|lt=Tago Hitsujidayū|1=UNKNOWN}}
Hitsujisaki Shrine,solved
Hitsujisaki Shrine,solved
Hitsujisaki Shrine,solved
Hitsujisaki Shrine,solved
Hitsujisaki Shrine,{{ill|UNKNOWN|lt=Tamura Sankannon|1=UNKNOWN}}
Hitsujisaki Shrine,{{ill|UNKNOWN|lt=Enchin|1=UNKNOWN}}
Hitsujisaki Shrine,solved
Hitsujisaki Shrine,{{ill|UNKNOWN|lt=Shikiuchisharonsha|1=UNKNOWN}}
Hitsujisaki Shrine,{{ill|UNKNOWN|lt=demon woman|1=UNKNOWN}}
"Hitsujisaki Shrine (Mano, Ishinomaki)",solved
"Hitsujisaki Shrine (Mano, Ishinomaki)",solved
"Hitsujisaki Shrine (Mano, Ishinomaki)",solved
"Hitsujisaki Shrine (Mano, Ishinomaki)",{{ill|UNKNOWN|lt=Shikinaisha ronsya|1=UNKNOWN}}
Hitsusa Shrine,solved
Hitsusa Shrine,solved
Hitsusa Shrine,{{ill|UNKNOWN|lt=Takemikazuchi-no-Kami|1=UNKNOWN}}
Hitsusa Shrine,{{ill|UNKNOWN|lt=Ōnamuchi-no-Kami|1=UNKNOWN}}
Hitsusa Shrine,solved
Hitsusa Shrine,{{ill|lt=Shikinaisha candidate shrine|UNKNOWN|lt=Engishiki inner-shrine candidate}}
Hitsusa Shrine,{{ill|UNKNOWN|lt=sōsha|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kunijotateson|1=UNKNOWN}}
Hiyoshi Taisha,solved
Hiyoshi Taisha,{{ill|lt=Sanno Festival (Otsu City)|UNKNOWN|lt=Sanno Festival}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Sanno Gongen|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Sanno Gongen|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Hiyoshishanegiguchidensho|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Shigekuni Shigekuni|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Yamasueno Daisushikami|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Ikube|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Haibutsu Kishaku|1=UNKNOWN}}
Hiyoshi Taisha,solved
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Yamasueno Daishujin|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=god of agriculture|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Ōtoshi|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kotenki|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Nirvana Sutra|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=sermons|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Yamake Yokoki|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kiki Mythology|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=national birth myth|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Yoshigen|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Miwa Myojin|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Gonnegi|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Sagai Ken|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=ancestral spirit worship|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=five elements|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Ikube|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=forced appeal|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=evil monk|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kotenki|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Yamake Yoshoki|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Three Noble Truths|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Honkaku Thought|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Echizen no kami|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Shigetora Nagahara|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Tosho Daigongen|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Shigekuni Kishita|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Meiji government|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Tetsutane Hirata|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Shinbutsu Separation Order|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Shinbutsu Separation Order|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Yoshida Shrine|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Shinto-Buddhist separation riot at Hiyoshi Shrine in the first year of the Meiji era|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Keio|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Hiyoshisha Negiguchi Densho|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Gyōgenji Yukimaru|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Honji|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|lt=Sanno Festival (Otsu City)|UNKNOWN|lt=Sanno Festival}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Miwa-Myojin|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|lt=Tamayorihime|UNKNOWN|lt=Kamo Tamayorihime}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Usa Hachiman|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Amitabha Tathagata|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Iza Shokuson|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Yamasue no Omushikami|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kunitototachijin|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kikkon|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Qiong Qiongzhen|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|lt=Tenninhomison|UNKNOWN|lt=Masayago Katsushoku Nitenninhomison}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=five organs|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=five gods|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=analogy|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=big event|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Inari|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Sarutahiko|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kunijotachison|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kiongikonoson|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kamobetsu Thunder|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|lt=Amaninhomison|UNKNOWN|lt=Shoyago Katsushoku Nitenshinhomison}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Iza Shokuson|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Shigekuni Kishita|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kunijotateson|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Hiyoshi Shane Iguchi Densho|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kamobetsu Raijin|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Aratama|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Aratama|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Jizo|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Aratama|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Inari Shrine|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Kikkon|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Inari Daimyojin|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|lt=Sanno Festival (Otsu City)|UNKNOWN|lt=Sanno Festival}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=torches|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=Sakaki|1=UNKNOWN}}
Hiyoshi Taisha,{{ill|UNKNOWN|lt=purification|1=UNKNOWN}}
Hobata Shrine,solved
Hobata Shrine,{{ill|UNKNOWN|lt=Amaterasu-kōdaijin|1=UNKNOWN}}
Hobata Shrine,solved
Hobata Shrine,{{ill|UNKNOWN|lt=myōjin major|1=UNKNOWN}}
Hobata Shrine,solved
Hobata Shrine,solved
Hobata Shrine,{{ill|UNKNOWN|lt=Amaterasu-kōdaijin|1=UNKNOWN}}
Hokki Shrine,solved
Hokotsuki Shrine,solved
Hokotsuki Shrine,solved
Hokotsuki Shrine,solved
Hokotsuki Shrine,solved
Hokura Shrine,solved
Hokura Shrine,solved
Hokura Shrine,{{ill|UNKNOWN|lt=Shiine-tsuhiko-no-Mikoto|1=UNKNOWN}}
Hokura Shrine,solved
Hokura Shrine,solved
Hokura Shrine,solved
Hokura Shrine,solved
Hokura Shrine,solved
Homi Shrine,solved
Homi Shrine,{{ill|UNKNOWN|lt=Daidai Kagura|1=UNKNOWN}}
Homi Shrine,{{ill|lt=Takao (Minami-Alps)|UNKNOWN|lt=Takao}}
Homi Shrine,solved
Homi Shrine,{{ill|UNKNOWN|lt=sericulture|1=UNKNOWN}}
Homi Shrine,{{ill|UNKNOWN|lt=Momoyama-period|1=UNKNOWN}}
Homi Shrine,{{ill|UNKNOWN|lt=Daidai Kagura|1=UNKNOWN}}
Homi Shrine,{{ill|lt=Homi Shrine (disambiguation)|UNKNOWN|lt=Homi Shrine}}
"Homi Shrine (Asahimachi, Nirasaki)",solved
"Homi Shrine (Asahimachi, Nirasaki)",solved
"Homi Shrine (Asahimachi, Nirasaki)",{{ill|UNKNOWN|lt=satomiya|1=UNKNOWN}}
"Homi Shrine (Asahimachi, Nirasaki)",{{ill|UNKNOWN|lt=Kamanashi River|1=UNKNOWN}}
"Homi Shrine (Asahimachi, Nirasaki)",{{ill|UNKNOWN|lt=Kai Meishōshi|1=UNKNOWN}}
Horowasan Haushiwake Shrine,solved
Horowasan Haushiwake Shrine,solved
Horowasan Haushiwake Shrine,solved
Horowasan Haushiwake Shrine,solved
Horowasan Haushiwake Shrine,{{ill|UNKNOWN|lt=Futsunushi-no-Mikoto|1=UNKNOWN}}
Horowasan Haushiwake Shrine,{{ill|lt=Sarutahiko|UNKNOWN|lt=Sarutahiko-no-Mikoto}}
Horowasan Haushiwake Shrine,{{ill|UNKNOWN|lt=Amatsu-Motome-no-Mikoto|1=UNKNOWN}}
Horowasan Haushiwake Shrine,{{ill|UNKNOWN|lt=Shinbutsu Bunri decree|1=UNKNOWN}}
Hoshi Shrine,solved
Hoshi Shrine,{{ill|UNKNOWN|lt=Sakaniwa Shrine|1=UNKNOWN}}
Hoshi Shrine,{{ill|UNKNOWN|lt=Cowherd Star|1=UNKNOWN}}
Hoshi Shrine,{{ill|UNKNOWN|lt=Vega|1=UNKNOWN}}
Hoshi Shrine,{{ill|UNKNOWN|lt=Shinmei-sha|1=UNKNOWN}}
Hoshi Shrine,{{ill|lt=Konpira Shrine|UNKNOWN|lt=Kotohira-sha}}
Hoshi Shrine,{{ill|UNKNOWN|lt=Inari-sha|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Owari Makiyuki|1=UNKNOWN}}
Hoshinomiya-sha Shrine,solved
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Shiogama|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Imperial Order|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Minamino Village|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Taira no Masakado's head mound|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|lt=Futunushi|UNKNOWN|lt=Keitsusujin}}
Hoshinomiya-sha Shrine,{{ill|lt=Futunushi|UNKNOWN|lt=Keitsusujin}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Tatebazuchi no Mikoto|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=salt production|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Shiotsuchiroo|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Wamyo Ruijusho|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Amaterasu no Okami|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Kunijotachison|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Keirigison|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|lt=Nippon Takeru|UNKNOWN|lt=Nippon Takeru}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Uga Mitama no Mikoto|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Susa-no-o-mikoto|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Amanohinomi-mikoto|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Amaninho-no-mikoto|1=UNKNOWN}}
Hoshinomiya-sha Shrine,{{ill|UNKNOWN|lt=Kasadera Kannon|1=UNKNOWN}}
Hosokawa Shrine,solved
Hosokawa Shrine,solved
Hosokawa Shrine,solved
Hotaka Shrine,solved
Hotaka Shrine,solved
Hotaka Shrine,{{ill|lt=Azumi Hirafu|UNKNOWN|lt=Azumi Renhirafu no Mikoto}}
Hotaka Shrine,{{ill|UNKNOWN|lt=Watatsumi-sanjin|1=UNKNOWN}}
Hotaka Shrine,{{ill|UNKNOWN|lt=Toyotama Bime no Mikoto|1=UNKNOWN}}
Hotaka Shrine,{{ill|UNKNOWN|lt=Hikohihodemi no Mikoto|1=UNKNOWN}}
Hotaka Shrine,{{ill|UNKNOWN|lt=Ubuki Kusabuki Fugyou no Mikoto|1=UNKNOWN}}
Hotaka Shrine,{{ill|UNKNOWN|lt=Azumi clan#Distribution of the Azumi clan|1=UNKNOWN}}
Hotaka Shrine,solved
Hotaka Shrine,{{ill|UNKNOWN|lt=Watatsumijin|1=UNKNOWN}}
Hotaka Shrine,solved
Hotaka Shrine,{{ill|UNKNOWN|lt=Hirao Azumi|1=UNKNOWN}}
Housono Shrine,solved
Housono Shrine,solved
Housono Shrine,{{ill|UNKNOWN|lt=villagers|1=UNKNOWN}}
Hyōsu Shrine,solved
Hyōsu Shrine,solved
Hyōsu Shrine,solved
Hyōsu Shrine,solved
Hyōsu Shrine,{{ill|UNKNOWN|lt=blacksmith deity|1=UNKNOWN}}
Hyōsu Shrine,{{ill|UNKNOWN|lt=Ōkuninushi-no-Mikoto Bunshin Ruishashō|1=UNKNOWN}}
Ibaraki Shrine,solved
Ibaraki Shrine,solved
Ibaraki Shrine,{{ill|lt=Amaterasu|UNKNOWN|lt=Amaterasu Ōmikami}}
Ibaraki Shrine,{{ill|UNKNOWN|lt=Shimashimo District|1=UNKNOWN}}
Ibaraki Shrine,{{ill|UNKNOWN|lt=Engishiki Shikinaisha|1=UNKNOWN}}
Ibaraki Shrine,{{ill|lt=Amaterasu|UNKNOWN|lt=Amaterasu Ōmikami}}
Ibaraki Shrine,{{ill|UNKNOWN|lt=Ebisu Shrine|1=UNKNOWN}}
Ibe Iwakura Shrine,solved
Ibuki Shrine,solved
Ibuki Shrine,solved
Ibuki Shrine,solved
Ibuki Shrine,solved
Ibuki Shrine,{{ill|UNKNOWN|lt=Ifuku clan|1=UNKNOWN}}
Ibuki Shrine,{{ill|UNKNOWN|lt=Yamata no Orochi|1=UNKNOWN}}
Ichihara Shrine,solved
Ichihara Shrine,solved
Ichihara Shrine,solved
Ichinomiya Asama Shrine (Fuefuki),solved
Ichinomiya Asama Shrine (Fuefuki),{{ill|UNKNOWN|lt=Kokuhei Chūsha|1=UNKNOWN}}
Ichinomiya Asama Shrine (Fuefuki),solved
Ichinomiya Asama Shrine (Fuefuki),{{ill|UNKNOWN|lt=Kokuhei Chūsha|1=UNKNOWN}}
Ichinomiya Asama Shrine (Fuefuki),{{ill|UNKNOWN|lt=Kai Provincial Temple|1=UNKNOWN}}
Ichinomiya Asama Shrine (Fuefuki),{{ill|UNKNOWN|lt=Kokuhei Chūsha|1=UNKNOWN}}
Ichinomiya Asama Shrine (Fuefuki),{{ill|UNKNOWN|lt=omiki|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Konohana Sakuyahime no Mikoto|1=UNKNOWN}}
Ichinomiya Sengen Shrine,solved
Ichinomiya Sengen Shrine,solved
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Kohana Sakuyahime no Mikoto|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Qiongine Mikoto|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Hikohohodemi Mikoto|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Negi|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|lt=Ichikawa-go|UNKNOWN|lt=Old Ichikawa-go}}
Ichinomiya Sengen Shrine,{{ill|lt=Yuge Shrine (Ichikawa Misato Town)|UNKNOWN|lt=Yuge Shrine}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Obina Pass|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Satonomiya|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Yamiya|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Kaikoku Shrine and Temple Records|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=1382|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|lt=Shinryō|UNKNOWN|lt=Shinryōchi}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Imperial Prince Yoshizumi|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=banished|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=copper plate roofing|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=tiled roof|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Ikushō|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=kendo Arai|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Misaki Shrine|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Sutaka Shrine|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Hiei Shrine|1=UNKNOWN}}
Ichinomiya Sengen Shrine,{{ill|UNKNOWN|lt=Zuijin|1=UNKNOWN}}
Ichinomiya Shrine (Tokushima),solved
Ichinomiya Shrine (Tokushima),solved
Ichinomiya Shrine (Tokushima),{{ill|UNKNOWN|lt=Yakura-hime Shrine|1=UNKNOWN}}
Ichinomiya Shrine (Tokushima),solved
Ichisuka Shrine,solved
Ichisuka Shrine,solved
Ichisuka Shrine,{{ill|lt=Ame-no-Oshihomimi-no-Mikoto|UNKNOWN|lt=Ame-no-Oshihomimi-no-Mikoto}}
Ichisuka Shrine,{{ill|UNKNOWN|lt=Dai Nihon Jingi Shi|1=UNKNOWN}}
Ichisuka Shrine,{{ill|lt=Ishikawa Castle (Osaka Prefecture)|UNKNOWN|lt=Ishikawa Castle}}
Ichisuka Shrine,{{ill|lt=Itō Hidemori|UNKNOWN|lt=Itō Kaganokami Hidemori}}
Ichisuka Shrine,{{ill|UNKNOWN|lt=Kawachi Meisho Zue|1=UNKNOWN}}
Idate Shrine,solved
Idate Shrine,solved
Idate Shrine,{{ill|UNKNOWN|lt=Kunado-no-Kami|1=UNKNOWN}}
Ifuribe Shrine,{{ill|UNKNOWN|lt=Wakatsuho-no-Mikoto|1=UNKNOWN}}
Ifuribe Shrine,solved
Ifuribe Shrine,solved
Ifuribe Shrine,solved
Ifuribe Shrine,{{ill|UNKNOWN|lt=Wakatsuho-no-Mikoto|1=UNKNOWN}}
Ifuribe Shrine,{{ill|lt=Ichinomiya Kisogawa Gymnasium|UNKNOWN|lt=Kisogawa Gymnasium}}
Igami Shrine,solved
Igami Shrine,{{ill|UNKNOWN|lt=Shinbutsu bunri edict|1=UNKNOWN}}
Igami Shrine,{{ill|UNKNOWN|lt=Shigisan Nodoka Village|1=UNKNOWN}}
Igasa Shrine,solved
Igasa Shrine,solved
Ii Shrine (Q11666643),{{ill|UNKNOWN|lt=Iii-hiko-no-Mikoto|1=UNKNOWN}}
Ii Shrine (Q11666643),solved
Ii Shrine (Q11666643),solved
Ii Shrine (Q11666643),solved
Ii Shrine (Q11666643),solved
Ii Shrine (Q11666643),solved
Ii Shrine (Q11666643),{{ill|lt=Shinsen-heihaku-ryō shinshi|UNKNOWN|lt=shrine receiving offerings of sacred food and heihaku}}
Iibo Nimasu Amaterasu Shrine,solved
Iibo Nimasu Amaterasu Shrine,{{ill|UNKNOWN|lt=Myōjin Taisha|1=UNKNOWN}}
Iibo Nimasu Amaterasu Shrine,solved
Iibo Nimasu Amaterasu Shrine,{{ill|UNKNOWN|lt=Health and Sports Day|1=UNKNOWN}}
Iibo Nimasu Amaterasu Shrine,solved
Iibo Nimasu Amaterasu Shrine,solved
Iibo Nimasu Amaterasu Shrine,{{ill|UNKNOWN|lt=cedar|1=UNKNOWN}}
