page_title,qid,xml_file
Hyōzu Shrine (Q135039565),Q135039565,Hyōzu Shrine (Q135039565).xml
Hyōzu Shrine (Q135039843),Q135039843,Hyōzu Shrine (Q135039843).xml
Hyōzu Shrine (Q135040618),Q135040618,Hyōzu Shrine (Q135040618).xml
Hyōzu Shrine (Q135040685),Q135040685,Hyōzu Shrine (Q135040685).xml
Hyōzu Shrine (Q135040688),Q135040688,Hyōzu Shrine (Q135040688).xml
Hyōzu Shrine (Q135070046),Q135070046,Hyōzu Shrine (Q135070046).xml
Hyōzu Shrine (Q135070359),Q135070359,Hyōzu Shrine (Q135070359).xml
Hyōzu Shrine (Q135195319),Q135195319,Hyōzu Shrine (Q135195319).xml
Hyōzu Shrine (Q135195508),Q135195508,Hyōzu Shrine (Q135195508).xml
Hyōzu Shrine (Q135215048),Q135215048,Hyōzu Shrine (Q135215048).xml
Hyōzu Shrine (Q135270268),Q135270268,Hyōzu Shrine (Q135270268).xml
Ibaraki Shrine,Q11617924,Ibaraki Shrine.xml
Ibe Iwakura Shrine,Q28691797,Ibe Iwakura Shrine.xml
Ibuki Shrine,Q11379321,Ibuki Shrine.xml
Ibuki Shrine (Q135070042),Q135070042,Ibuki Shrine (Q135070042).xml
Ibuki Shrine (Q135195307),Q135195307,Ibuki Shrine (Q135195307).xml
Ibuki Shrine (Q135195308),Q135195308,Ibuki Shrine (Q135195308).xml
Ichi Shrine,Q135193754,Ichi Shrine.xml
Ichiahano Shrine,Q135041183,Ichiahano Shrine.xml
Ichifurino Shrine,Q135040117,Ichifurino Shrine.xml
Ichifuseno Shrine,Q135040550,Ichifuseno Shrine.xml
Ichihara Kitadai-hiko Shrine,Q135194911,Ichihara Kitadai-hiko Shrine.xml
Ichihara Kitadai-hiko Shrine (Q135194922),Q135194922,Ichihara Kitadai-hiko Shrine (Q135194922).xml
Ichihara Shrine,Q123115222,Ichihara Shrine.xml
Ichihara Shrine (Q135193753),Q135193753,Ichihara Shrine (Q135193753).xml
Ichiharano Shrine,Q135040912,Ichiharano Shrine.xml
Ichiharano Shrine (Q135039878),Q135039878,Ichiharano Shrine (Q135039878).xml
Ichihisakino Shrine,Q135039847,Ichihisakino Shrine.xml
Ichiimotono Shrine,Q135039153,Ichiimotono Shrine.xml
Ichikahano Shrine,Q135040469,Ichikahano Shrine.xml
Ichino Shrine,Q135040664,Ichino Shrine.xml
Ichinomiya Asama Shrine (Fuefuki),Q11557476,Ichinomiya Asama Shrine (Fuefuki).xml
Ichinomiya Sengen Shrine,Q11352589,Ichinomiya Sengen Shrine.xml
Ichinomiya Shrine (Tokushima),Q11352598,Ichinomiya Shrine (Tokushima).xml
Ichisuka Shrine,Q11353282,Ichisuka Shrine.xml
Ida Shrine,Q135039254,Ida Shrine.xml
Idate Shrine,Q11380848,Idate Shrine.xml
Ide Shrine,Q135039423,Ide Shrine.xml
Ide Shrine (Q135187179),Q135187179,Ide Shrine (Q135187179).xml
Ide Shrine (Q135190089),Q135190089,Ide Shrine (Q135190089).xml
Ieshima Shrine,Q135070176,Ieshima Shrine.xml
Ifukiikatsuchi- Shrine,Q135039026,Ifukiikatsuchi- Shrine.xml
Ifukino Shrine,Q135040983,Ifukino Shrine.xml
Ifukino Shrine (Q135039792),Q135039792,Ifukino Shrine (Q135039792).xml
Ifukino Shrine (Q135039820),Q135039820,Ifukino Shrine (Q135039820).xml
Ifukino Shrine (Q135040596),Q135040596,Ifukino Shrine (Q135040596).xml
Ifukube Shrine,Q135070065,Ifukube Shrine.xml
Ifukube Shrine (Q135195378),Q135195378,Ifukube Shrine (Q135195378).xml
Ifuno Shrine,Q135039555,Ifuno Shrine.xml
Ifuribe Shrine,Q11379320,Ifuribe Shrine.xml
Igami Shrine,Q119929666,Igami Shrine.xml
Igarashi Shrine,Q135195121,Igarashi Shrine.xml
Igasa Shrine,Q48758379,Igasa Shrine.xml
Igatomega Shrine,Q135069245,Igatomega Shrine.xml
Ihabie Shrine (Takatsuki Town),Q135193670,Ihabie Shrine (Takatsuki Town).xml
Ihafuneno Shrine,Q135039767,Ihafuneno Shrine.xml
Ihahashino Shrine,Q135040042,Ihahashino Shrine.xml
Ihahino Shrine,Q135039737,Ihahino Shrine.xml
Ihaino Shrine,Q135038751,Ihaino Shrine.xml
Ihakami- Shrine,Q135039987,Ihakami- Shrine.xml
Ihakamiichino Shrine,Q135039045,Ihakamiichino Shrine.xml
Ihakura- Shrine,Q135040331,Ihakura- Shrine.xml
Ihakura- Shrine (Q135040060),Q135040060,Ihakura- Shrine (Q135040060).xml
Ihakurahimeno Shrine,Q135040061,Ihakurahimeno Shrine.xml
Ihakurano Shrine,Q135040214,Ihakurano Shrine.xml
Ihakurano Shrine (Q11586510),Q11586510,Ihakurano Shrine (Q11586510).xml
Ihakurawakeno- Shrine,Q135039655,Ihakurawakeno- Shrine.xml
Ihano Shrine,Q135098954,Ihano Shrine.xml
Ihano Shrine (Co-Enshrinement),Q135186692,Ihano Shrine (Co-Enshrinement).xml
Ihano Shrine (Q135040032),Q135040032,Ihano Shrine (Q135040032).xml
Ihano Shrine (Q135041022),Q135041022,Ihano Shrine (Q135041022).xml
Ihanohimeno- Shrine,Q135039653,Ihanohimeno- Shrine.xml
Ihare- Shrine,Q135039641,Ihare- Shrine.xml
Ihare- Shrine (Q135270275),Q135270275,Ihare- Shrine (Q135270275).xml
Ihareyamakuchino Shrine,Q135039028,Ihareyamakuchino Shrine.xml
Iharino Shrine,Q135039769,Iharino Shrine.xml
Iharino Shrine (Q135270294),Q135270294,Iharino Shrine (Q135270294).xml
Ihasakano Shrine,Q135040768,Ihasakano Shrine.xml
Ihasakino Shrine,Q135039312,Ihasakino Shrine.xml
Ihasehikono Shrine,Q135040329,Ihasehikono Shrine.xml
Ihatakino Shrine,Q135039858,Ihatakino Shrine.xml
Ihatano Shrine,Q135040138,Ihatano Shrine.xml
Ihatano Shrine (Q135038797),Q135038797,Ihatano Shrine (Q135038797).xml
Ihatano Shrine (Q135038975),Q135038975,Ihatano Shrine (Q135038975).xml
Ihatano Shrine (Q135039132),Q135039132,Ihatano Shrine (Q135039132).xml
Ihatano Shrine (Q135039295),Q135039295,Ihatano Shrine (Q135039295).xml
Ihatano Shrine (Q135040251),Q135040251,Ihatano Shrine (Q135040251).xml
Ihatano Shrine (Q135270104),Q135270104,Ihatano Shrine (Q135270104).xml
Ihatano Shrine former site,Q135186316,Ihatano Shrine former site.xml
Ihatatamino Shrine,Q135041222,Ihatatamino Shrine.xml
Ihatatewono Shrine,Q135039724,Ihatatewono Shrine.xml
Ihatewakeno- Shrine,Q135039660,Ihatewakeno- Shrine.xml
Ihatewakeno- Shrine (Q135270278),Q135270278,Ihatewakeno- Shrine (Q135270278).xml
Ihatewino Shrine,Q135040036,Ihatewino Shrine.xml
Ihatokono Shrine,Q135039670,Ihatokono Shrine.xml
Ihatono Shrine,Q135039471,Ihatono Shrine.xml
Ihatowakeno Shrine,Q135041204,Ihatowakeno Shrine.xml
Ihatsuchi Shrine,Q135041453,Ihatsuchi Shrine.xml
Ihatsumino Shrine,Q135039353,Ihatsumino Shrine.xml
Ihatsutano- Shrine,Q135039162,Ihatsutano- Shrine.xml
Ihatsutano- Shrine (Q135270122),Q135270122,Ihatsutano- Shrine (Q135270122).xml
Ihawino Shrine,Q135040453,Ihawino Shrine.xml
Ihayano Shrine,Q135041285,Ihayano Shrine.xml
Ihefuseno Shrine,Q135038840,Ihefuseno Shrine.xml
Iheshimano Shrine,Q135041155,Iheshimano Shrine.xml
Ihetsuno Shrine,Q135040255,Ihetsuno Shrine.xml
Ihimichi Shrine,Q135193504,Ihimichi Shrine.xml
Ihimichino Shrine,Q135039797,Ihimichino Shrine.xml
Ihimochino Shrine,Q135040486,Ihimochino Shrine.xml
Ihinono Shrine,Q135039382,Ihinono Shrine.xml
Ihinoyama Shrine (Miyashita‑kita),Q135194378,Ihinoyama Shrine (Miyashita‑kita).xml
Ihinoyama Shrine (Sotoyoshino Tobara),Q135194379,Ihinoyama Shrine (Sotoyoshino Tobara).xml
Ihinoyamano Shrine,Q135040010,Ihinoyamano Shrine.xml
Ihishi Shrine,Q135041092,Ihishi Shrine.xml
Ihita Shrine,Q135186421,Ihita Shrine.xml
Ihitoyo- Shrine,Q135040046,Ihitoyo- Shrine.xml
Ihitoyohimeno Shrine,Q135039982,Ihitoyohimeno Shrine.xml
Ihitoyono Shrine,Q135039989,Ihitoyono Shrine.xml
Ihitsusawano Shrine,Q135039625,Ihitsusawano Shrine.xml
Ihono Shrine,Q135039568,Ihono Shrine.xml
Ihotachino Shrine,Q135038844,Ihotachino Shrine.xml
Ii Shrine (Q11666643),Q11666643,Ii Shrine (Q11666643).xml
Iibo Nimasu Amaterasu Shrine,Q11604472,Iibo Nimasu Amaterasu Shrine.xml
Iida Inari Shrine,Q135192615,Iida Inari Shrine.xml
Iida Inari Shrine (Q135192619),Q135192619,Iida Inari Shrine (Q135192619).xml
Iide Waki Shrine,Q135194443,Iide Waki Shrine.xml
Iidewaki Shrine,Q135069886,Iidewaki Shrine.xml
Iino Shrine,Q135186711,Iino Shrine.xml
Iino Shrine (Q135186724),Q135186724,Iino Shrine (Q135186724).xml
Iizuna Shrine,Q135069605,Iizuna Shrine.xml
Iizuna Shrine (Q17238950),Q17238950,Iizuna Shrine (Q17238950).xml
Ijinno Shrine,Q135041055,Ijinno Shrine.xml
Ika Shrine,Q135070293,Ika Shrine.xml
Ikachi Hachimanguu,Q135069391,Ikachi Hachimanguu.xml
Ikagashi Shrine,Q11378911,Ikagashi Shrine.xml
Ikagosakano Shrine,Q135039851,Ikagosakano Shrine.xml
Ikagu Shrine,Q11381016,Ikagu Shrine.xml
"Ikagusaka Shrine (Furuhashi, Kinomoto Town)",Q135193684,"Ikagusaka Shrine (Furuhashi, Kinomoto Town).xml"
"Ikagusaka Shrine (Kitafusetoyama, Kinomoto Town)",Q135193686,"Ikagusaka Shrine (Kitafusetoyama, Kinomoto Town).xml"
Ikagusaka Shrine (Takatsuki Town),Q135193685,Ikagusaka Shrine (Takatsuki Town).xml
Ikaho Shrine,Q17220841,Ikaho Shrine.xml
Ikahono Shrine,Q135039963,Ikahono Shrine.xml
Ikahono Shrine (Q135270416),Q135270416,Ikahono Shrine (Q135270416).xml
Ikakaharano Shrine,Q135039499,Ikakaharano Shrine.xml
Ikama Shrine,Q111374476,Ikama Shrine.xml
Ikamashi Shrine,Q134926830,Ikamashi Shrine.xml
Ikamu Shrine,Q135040727,Ikamu Shrine.xml
Ikamuhimeno- Shrine,Q135039637,Ikamuhimeno- Shrine.xml
Ikarashi Shrine,Q57931939,Ikarashi Shrine.xml
Ikarashino Shrine,Q135040461,Ikarashino Shrine.xml
Ikaruga Shrine,Q135069248,Ikaruga Shrine.xml
Ikarukano Shrine,Q135039400,Ikarukano Shrine.xml
Ikatakeno Shrine,Q135041094,Ikatakeno Shrine.xml
Ikatsuchino- Shrine,Q135041547,Ikatsuchino- Shrine.xml
Ikatsuchi‑no‑Mikoto Shrine,Q135199854,Ikatsuchi‑no‑Mikoto Shrine.xml
Ikawadani Sōja,Q11379343,Ikawadani Sōja.xml
Ikazuchi Shrine,Q135040155,Ikazuchi Shrine.xml
Ikazuchi Shrine (Q135069913),Q135069913,Ikazuchi Shrine (Q135069913).xml
Ikazuchi Shrine (Q135186163),Q135186163,Ikazuchi Shrine (Q135186163).xml
Ikazuchi Shrine (Q135194588),Q135194588,Ikazuchi Shrine (Q135194588).xml
Ikazuchi Shrine (Q135199864),Q135199864,Ikazuchi Shrine (Q135199864).xml
Ikeda Shrine,Q11379329,Ikeda Shrine.xml
Ikeda Shrine (Q134926975),Q134926975,Ikeda Shrine (Q134926975).xml
Ikenimasu-asagirikihatahime Shrine,Q43594590,Ikenimasu-asagirikihatahime Shrine.xml
Ikeno Shrine,Q135039924,Ikeno Shrine.xml
Iketano Shrine,Q135039219,Iketano Shrine.xml
Iketano Shrine (Q135270127),Q135270127,Iketano Shrine (Q135270127).xml
Iki Shrine,Q135069917,Iki Shrine.xml
Iki Shrine (Q135069792),Q135069792,Iki Shrine (Q135069792).xml
Iki Shrine (Q135069795),Q135069795,Iki Shrine (Q135069795).xml
Iki Shrine (Q135194750),Q135194750,Iki Shrine (Q135194750).xml
Ikino Shrine,Q135040247,Ikino Shrine.xml
Ikisa Shrine,Q135195552,Ikisa Shrine.xml
Ikisa Shrine (Q135070073),Q135070073,Ikisa Shrine (Q135070073).xml
Ikishiro Shrine,Q11409089,Ikishiro Shrine.xml
Iko-no-hayamitama Hime-no Shrine,Q67200466,Iko-no-hayamitama Hime-no Shrine.xml
"Ikohaya Waki no Mikoto Shrine (Ōmiya-machi, Ishinomaki City)",Q135194350,"Ikohaya Waki no Mikoto Shrine (Ōmiya-machi, Ishinomaki City).xml"
Ikohaya Wakimikoto Shrine,Q135194354,Ikohaya Wakimikoto Shrine.xml
Ikohayawake-no-Mikoto Shrine,Q11379181,Ikohayawake-no-Mikoto Shrine.xml
Ikoma Shrine,Q246479,Ikoma Shrine.xml
Ikomayamaguchi Shrine,Q115740129,Ikomayamaguchi Shrine.xml
Ikota Shrine,Q11379327,Ikota Shrine.xml
Ikuhano Shrine,Q135039461,Ikuhano Shrine.xml
Ikuhime Shrine,Q11378800,Ikuhime Shrine.xml
Ikuhimeno Shrine,Q135041277,Ikuhimeno Shrine.xml
Ikuikatsuchi- Shrine,Q135098971,Ikuikatsuchi- Shrine.xml
Ikukunino Shrine,Q135039160,Ikukunino Shrine.xml
Ikumano Shrine,Q135040930,Ikumano Shrine.xml
Ikune Shrine,Q11574575,Ikune Shrine.xml
Ikunono Shrine,Q135040529,Ikunono Shrine.xml
Ikureno Shrine,Q135040458,Ikureno Shrine.xml
Ikushima no Mikannaki-no-matsuru-kami Shrine,Q135019813,Ikushima no Mikannaki-no-matsuru-kami Shrine.xml
Ikuta Myojin Shrine,Q135187150,Ikuta Myojin Shrine.xml
Ikuta Shrine,Q710086,Ikuta Shrine.xml
Ikuta Shrine (Q135187148),Q135187148,Ikuta Shrine (Q135187148).xml
Ikuta Shrine (Q135187152),Q135187152,Ikuta Shrine (Q135187152).xml
Ikutano Shrine,Q135039503,Ikutano Shrine.xml
Ikutono Shrine,Q135040616,Ikutono Shrine.xml
Ikuwauheno Shrine,Q135040589,Ikuwauheno Shrine.xml
Ima Shrine,Q135069193,Ima Shrine.xml
Imajouaosakainejitsukoumitama Shrine,Q135069559,Imajouaosakainejitsukoumitama Shrine.xml
Imaki-Aosaka-Inami-Ikegami Shrine,Q72727923,Imaki-Aosaka-Inami-Ikegami Shrine.xml
Imaki-Aosaka-Inami-Ikegami Shrine (Q72728268),Q72728268,Imaki-Aosaka-Inami-Ikegami Shrine (Q72728268).xml
Imakiawosakainaminoikekamino Shrine,Q135039748,Imakiawosakainaminoikekamino Shrine.xml
Imakiawosakanoinamiaramitamano Shrine,Q135039747,Imakiawosakanoinamiaramitamano Shrine.xml
Imakiawoyasakainamino Shrine,Q135039746,Imakiawoyasakainamino Shrine.xml
Imamiya Shrine (Q135193734),Q135193734,Imamiya Shrine (Q135193734).xml
Imashiro Aozaka Inami Ikegami Shrine (Kamikawa Town),Q135193384,Imashiro Aozaka Inami Ikegami Shrine (Kamikawa Town).xml
"Imashiro Aozaka Inami Ikegami Shrine (Ninbo, Kamisato Town)",Q135193383,"Imashiro Aozaka Inami Ikegami Shrine (Ninbo, Kamisato Town).xml"
Ime Shrine & Hachimangu,Q11379707,Ime Shrine & Hachimangu.xml
Imoino Shrine,Q135040083,Imoino Shrine.xml
Imuheno Shrine,Q135041321,Imuheno Shrine.xml
Imuheno Shrine (Q135270440),Q135270440,Imuheno Shrine (Q135270440).xml
Imunamino Shrine,Q135040267,Imunamino Shrine.xml
Inaba Shrine,Q135186443,Inaba Shrine.xml
Inaba Shrine (Q701414),Q701414,Inaba Shrine (Q701414).xml
Inabe Shrine,Q20043146,Inabe Shrine.xml
Inabu Shrine,Q135069249,Inabu Shrine.xml
Inada Shrine,Q11596799,Inada Shrine.xml
Inafuno Shrine,Q135039344,Inafuno Shrine.xml
Inagi Shrine,Q11596632,Inagi Shrine.xml
Inahano Shrine,Q135039324,Inahano Shrine.xml
Inakami Shrine,Q134893134,Inakami Shrine.xml
Inakami Shrine (Q135193011),Q135193011,Inakami Shrine (Q135193011).xml
Inakino Shrine,Q135039497,Inakino Shrine.xml
Inakino Shrine (Q135270141),Q135270141,Inakino Shrine (Q135270141).xml
Inakuhino Shrine,Q135041534,Inakuhino Shrine.xml
Inamiyano- Shrine,Q135039679,Inamiyano- Shrine.xml
Inamura Shrine,Q17193413,Inamura Shrine.xml
Inamurano Shrine,Q135039762,Inamurano Shrine.xml
Inane Shrine,Q110915761,Inane Shrine.xml
Inanohimeno Shrine,Q135039742,Inanohimeno Shrine.xml
Inano‑Hime Shrine,Q135193351,Inano‑Hime Shrine.xml
Inari Shrine,Q135069560,Inari Shrine.xml
Inari Shrine (Q135039601),Q135039601,Inari Shrine (Q135039601).xml
Inari Shrine (Q135070164),Q135070164,Inari Shrine (Q135070164).xml
Inari Shrine (Q135192593),Q135192593,Inari Shrine (Q135192593).xml
Inari Shrine (Q135193791),Q135193791,Inari Shrine (Q135193791).xml
Inari Shrine? (Motoabo),Q135193380,Inari Shrine? (Motoabo).xml
Inasaki Shrine,Q22117916,Inasaki Shrine.xml
Inasano Shrine,Q135040971,Inasano Shrine.xml
Inasehagino Shrine,Q135040956,Inasehagino Shrine.xml
Inashimo Shrine,Q135193008,Inashimo Shrine.xml
Inashimono Shrine,Q135288774,Inashimono Shrine.xml
Inashironimasu Shrine,Q43594637,Inashironimasu Shrine.xml
Inashirono Shrine,Q135038998,Inashirono Shrine.xml
Inashirono Shrine (Q135040578),Q135040578,Inashirono Shrine (Q135040578).xml
Inatsuhiko Shrine,Q11567184,Inatsuhiko Shrine.xml
Inazume Shrine,Q11596731,Inazume Shrine.xml
Inbe Shrine,Q11490723,Inbe Shrine.xml
Inbe Shrine (Matsue City),Q11490726,Inbe Shrine (Matsue City).xml
Inbe Shrine (Q11490722),Q11490722,Inbe Shrine (Q11490722).xml
Ineno Shrine,Q135040517,Ineno Shrine.xml
Inenohime Shrine,Q135069546,Inenohime Shrine.xml
Ini Shrine,Q135195202,Ini Shrine.xml
Inochihimeno Shrine,Q135040952,Inochihimeno Shrine.xml
Inoda Shrine,Q135069159,Inoda Shrine.xml
Inoda Shrine (Iga Province),Q135069160,Inoda Shrine (Iga Province).xml
Inohanako Shrine,Q134928475,Inohanako Shrine.xml
Inohatano Shrine,Q135040119,Inohatano Shrine.xml
Inoue Hachiman Shrine,Q135070311,Inoue Hachiman Shrine.xml
Inoue-sha,Q135178793,Inoue-sha.xml
Inu Shrine,Q11379315,Inu Shrine.xml
Inuno Shrine,Q135040975,Inuno Shrine.xml
Inunoki Shrine,Q135070043,Inunoki Shrine.xml
Io Shrine,Q11373608,Io Shrine.xml
Ionoi Shrine,Q22117831,Ionoi Shrine.xml
Irokino Shrine,Q135040702,Irokino Shrine.xml
Ironouheno Shrine,Q135039309,Ironouheno Shrine.xml
Irumino Shrine,Q135039559,Irumino Shrine.xml
Irumino Shrine (Q135039607),Q135039607,Irumino Shrine (Q135039607).xml
Irō Shrine,Q11585503,Irō Shrine.xml
Isagawa Awa Shrine,Q135098820,Isagawa Awa Shrine.xml
Isagoda Shrine,Q11553081,Isagoda Shrine.xml
Isagu Shrine,Q11378870,Isagu Shrine.xml
Isahakahano Shrine,Q135040037,Isahakahano Shrine.xml
Isahano Shrine,Q135040992,Isahano Shrine.xml
Isakano Shrine,Q135040968,Isakano Shrine.xml
Isakano Shrine (Q135041052),Q135041052,Isakano Shrine (Q135041052).xml
Isakino Shrine,Q135040696,Isakino Shrine.xml
Isakino Shrine (Q135270270),Q135270270,Isakino Shrine (Q135270270).xml
Isanahikono Shrine,Q135098992,Isanahikono Shrine.xml
Isanakino Shrine,Q135039217,Isanakino Shrine.xml
Isanakino Shrine (Q135039261),Q135039261,Isanakino Shrine (Q135039261).xml
Isanakino Shrine (Q135040073),Q135040073,Isanakino Shrine (Q135040073).xml
Isanamino Shrine,Q135041308,Isanamino Shrine.xml
Isarihayawakeno- Shrine,Q135040003,Isarihayawakeno- Shrine.xml
Isawano Shrine,Q135039301,Isawano Shrine.xml
Ise Amaterasu Mioya Shrine,Q135070347,Ise Amaterasu Mioya Shrine.xml
Ise Mioya Shrine,Q135070346,Ise Mioya Shrine.xml
Ise Shrine,Q135041208,Ise Shrine.xml
Ise-no-Miya (nonexistent),Q135194417,Ise-no-Miya (nonexistent).xml
Iseamaterasumioyano Shrine,Q135041474,Iseamaterasumioyano Shrine.xml
Isekurumano Shrine,Q135041284,Isekurumano Shrine.xml
Isemikoto Shrine,Q11378969,Isemikoto Shrine.xml
Isetaniwa Shrine,Q135186415,Isetaniwa Shrine.xml
Isetano Shrine,Q135038799,Isetano Shrine.xml
Ishi Shrine,Q38276022,Ishi Shrine.xml
Ishida Shrine,Q135194754,Ishida Shrine.xml
Ishida Shrine (Kuse district),Q135068853,Ishida Shrine (Kuse district).xml
Ishida Shrine (Q135068851),Q135068851,Ishida Shrine (Q135068851).xml
Ishida Shrine (Yamashiro Province),Q135068852,Ishida Shrine (Yamashiro Province).xml
Ishidate Shrine,Q135186637,Ishidate Shrine.xml
Ishifu Shrine,Q134893136,Ishifu Shrine.xml
Ishigami Shrine,Q135186693,Ishigami Shrine.xml
Ishigami Shrine (precinct of Yakumo Shrine),Q135194388,Ishigami Shrine (precinct of Yakumo Shrine).xml
Ishigami Shrine (Q135194384),Q135194384,Ishigami Shrine (Q135194384).xml
Ishihenokashiki- Shrine,Q135039795,Ishihenokashiki- Shrine.xml
Ishii Shrine (Echigo Province),Q135070000,Ishii Shrine (Echigo Province).xml
"Ishii Shrine (Hōjō, Kashiwazaki)",Q135195089,"Ishii Shrine (Hōjō, Kashiwazaki).xml"
Ishii Shrine (Mishima District),Q135195087,Ishii Shrine (Mishima District).xml
Ishii Shrine (Nagaoka),Q135195088,Ishii Shrine (Nagaoka).xml
"Ishii Shrine (Nishihonmachi, Kashiwazaki)",Q135195090,"Ishii Shrine (Nishihonmachi, Kashiwazaki).xml"
"Ishii Shrine (Nishiyama, Kashiwazaki)",Q135195086,"Ishii Shrine (Nishiyama, Kashiwazaki).xml"
Ishii Shrine (Q135069999),Q135069999,Ishii Shrine (Q135069999).xml
Ishii Shrine (Santō district),Q135070001,Ishii Shrine (Santō district).xml
Ishikamino Shrine,Q135040013,Ishikamino Shrine.xml
Ishimaki Shrine,Q11586490,Ishimaki Shrine.xml
Ishimiya Shrine,Q135070100,Ishimiya Shrine.xml
Ishino Shrine,Q135038961,Ishino Shrine.xml
Ishino Shrine (Q135039433),Q135039433,Ishino Shrine (Q135039433).xml
Ishino shrine Co-enshrinement,Q135270925,Ishino shrine Co-enshrinement.xml
Ishise-hiko Shrine,Q135194913,Ishise-hiko Shrine.xml
Ishisunyamaguchi Shrine,Q135069128,Ishisunyamaguchi Shrine.xml
"Ishitateo Shrine (Isobe, Minami-ku, Sagamihara)",Q135193270,"Ishitateo Shrine (Isobe, Minami-ku, Sagamihara).xml"
Ishitateo Shrine (Nagura Gongen),Q135193269,Ishitateo Shrine (Nagura Gongen).xml
Ishitateo Shrine (Sanogawa),Q135193268,Ishitateo Shrine (Sanogawa).xml
Ishitokutaka Shrine (Mamezuka Shrine),Q135192938,Ishitokutaka Shrine (Mamezuka Shrine).xml
Ishitsukuri Shrine,Q135190056,Ishitsukuri Shrine.xml
Ishitsukurino Shrine,Q135039480,Ishitsukurino Shrine.xml
Ishitsukurino Shrine (Q135038739),Q135038739,Ishitsukurino Shrine (Q135038739).xml
Ishitsukurino Shrine (Q135039498),Q135039498,Ishitsukurino Shrine (Q135039498).xml
Ishitsukurino Shrine (Q135039545),Q135039545,Ishitsukurino Shrine (Q135039545).xml
Ishitsukurino Shrine (Q135098983),Q135098983,Ishitsukurino Shrine (Q135098983).xml
Ishiura Shrine,Q11586806,Ishiura Shrine.xml
Ishiura Shrine (Q135194813),Q135194813,Ishiura Shrine (Q135194813).xml
Ishiwino Shrine,Q135040470,Ishiwino Shrine.xml
Ishizu Shrine,Q11586788,Ishizu Shrine.xml
Ishizukuri Shrine,Q11585161,Ishizukuri Shrine.xml
Ishizukuri Shrine (Q11676453),Q11676453,Ishizukuri Shrine (Q11676453).xml
Ishizukuri Shrine (Q135187144),Q135187144,Ishizukuri Shrine (Q135187144).xml
Ishizumi Shrine,Q135186636,Ishizumi Shrine.xml
Iso Shrine,Q135039263,Iso Shrine.xml
Isobe inamura Shrine,Q65681696,Isobe inamura Shrine.xml
Isobe Shrine (Gamo),Q135193519,Isobe Shrine (Gamo).xml
Isobe Shrine (Miwakare Park),Q135195212,Isobe Shrine (Miwakare Park).xml
Isobe Shrine (Omihachiman),Q135193521,Isobe Shrine (Omihachiman).xml
Isofuno Shrine,Q135040713,Isofuno Shrine.xml
Isoheno Shrine,Q135040158,Isoheno Shrine.xml
Isoheno Shrine (Q135039404),Q135039404,Isoheno Shrine (Q135039404).xml
Isoheno Shrine (Q135039803),Q135039803,Isoheno Shrine (Q135039803).xml
Isoheno Shrine (Q135039812),Q135039812,Isoheno Shrine (Q135039812).xml
Isoheno Shrine (Q135040373),Q135040373,Isoheno Shrine (Q135040373).xml
Isoheno Shrine (Q135041174),Q135041174,Isoheno Shrine (Q135041174).xml
Isokimi Shrine,Q135040430,Isokimi Shrine.xml
Isonokami Co-enshrinement,Q135270415,Isonokami Co-enshrinement.xml
Isonokamifutsumitama Shrine,Q11584766,Isonokamifutsumitama Shrine.xml
Isonokamino Shrine,Q135039308,Isonokamino Shrine.xml
Isonono Shrine,Q135041435,Isonono Shrine.xml
Isononosakino Shrine,Q135040737,Isononosakino Shrine.xml
Isousatsu Shrine,Q135070171,Isousatsu Shrine.xml
Isozaki Shrine,Q135070181,Isozaki Shrine.xml
Ita Shrine,Q134926816,Ita Shrine.xml
Itahato Shrine,Q11379270,Itahato Shrine.xml
Itakeru Shrine,Q135070151,Itakeru Shrine.xml
Itaki Shrine,Q135070109,Itaki Shrine.xml
Itakino Shrine,Q135040910,Itakino Shrine.xml
Itakino Shrine (Q135270432),Q135270432,Itakino Shrine (Q135270432).xml
Itaretsu Shrine,Q135070032,Itaretsu Shrine.xml
Itaretsuhachiman Shrine,Q135070030,Itaretsuhachiman Shrine.xml
Itata Shrine (Otagi district),Q135068802,Itata Shrine (Otagi district).xml
Itata Shrine former site,Q135179857,Itata Shrine former site.xml
Itatano Shrine,Q135038781,Itatano Shrine.xml
Itate Shrine,Q11380847,Itate Shrine.xml
Itateno Shrine,Q135040498,Itateno Shrine.xml
Itatsura Hachiman Shrine,Q135195272,Itatsura Hachiman Shrine.xml
Itatsura Inari Shrine,Q135195273,Itatsura Inari Shrine.xml
Itatsurano Shrine,Q135040572,Itatsurano Shrine.xml
Itawi Shrine,Q135040755,Itawi Shrine.xml
Itosakino Shrine,Q135040258,Itosakino Shrine.xml
Itowino Shrine,Q135039006,Itowino Shrine.xml
Itsukino Shrine,Q135040526,Itsukino Shrine.xml
Itsukushima Shrine (Q135068808),Q135068808,Itsukushima Shrine (Q135068808).xml
Itsumino Shrine,Q135039180,Itsumino Shrine.xml
Itsumono Shrine,Q135041043,Itsumono Shrine.xml
Itsumono Shrine (Q135039927),Q135039927,Itsumono Shrine (Q135039927).xml
Itsumono Shrine (Q135040491),Q135040491,Itsumono Shrine (Q135040491).xml
Itsumono Shrine (Q135041258),Q135041258,Itsumono Shrine (Q135041258).xml
Itsumono- Shrine,Q135039738,Itsumono- Shrine.xml
Itsumonoihahino Shrine,Q135039741,Itsumonoihahino Shrine.xml
