QID,Page
Q5120731,Inbanuma
Q11408858,Independent Shinto shrine
Q135040517,Ineno Shrine
Q135069546,Inenohime Shrine
Q11490723,Inbe Shrine (Yoshinogawa)
Q135195202,Ini Shrine
Q135040952,Inochihimeno Shrine
Q135069159,Inoda Shrine
Q135069160,Inoda Shrine (Iga Province)
Q135040119,Inohatano Shrine
Q56347601,Inoko Kofun
Q11372756,Inokuchi Ōji Shrine
Q116257052,Inouchi Inarizuka Kofun
Q135070311,Inoue Hachiman Shrine
Q135178793,Inoue-sha
Q11659057,Inshū Shichō Gōki
Q11642584,Intangible Folk Cultural Properties Requiring Documentation
Q11396181,Intercutting relationships
Q11393856,Internal Ranks
Q11379315,Inu Shrine
Q11571294,Inukaibe
Q135040975,Inuno Shrine
Q135070043,Inunoki Shrine
Q1140134,Invasion of Ryukyu
Q11373608,Io Shrine
Q22117831,Ionoi Shrine
Q55536851,Iokibe clan
Q583794,Iomante
Q1672177,Ipet-hemet (month)
Q28693472,Ipetam
Q1672200,Ipip Festival
Q1056232,Ippen
Q135038756,Irino Shrine
Q135040702,Irokino Shrine
Q11649798,Iron arrowheads
Q11649534,Iron swords and iron sword inscriptions
Q135039309,Ironouheno Shrine
Q48745955,Irregular ironware
Q135039559,Irumino Shrine
Q135039607,Irumino Shrine (Q135039607)
Q22117854,Isagawa Shrine
Q11553081,Isagoda Shrine
Q11378870,Isagu Shrine
Q135040037,Isahakahano Shrine
Q135040992,Isahano Shrine
Q135040968,Isakano Shrine
Q135041052,Isakano Shrine (Q135041052)
Q135040696,Isakino Shrine
Q135270270,Isakino Shrine (Q135270270)
Q135098992,Isanahikono Shrine
Q10884977,Izanagi Shrine
Q11379324,"Izanagi Shrine (Yamadahigashi, Suita)"
Q135039217,Isanakino Shrine
Q135039261,Isanakino Shrine (Q135039261)
Q135040073,Isanakino Shrine (Q135040073)
Q135041308,Isanamino Shrine
Q3155126,Isaniwa Shrine
Q135040003,Isarihayawakeno- Shrine
Q3155136,Isasumi Shrine
Q135039301,Isawano Shrine
Q297053,Ise
Q135070347,Ise Amaterasu Mioya Shrine
Q30921824,Ise Calendar
Q4205212,Ise faith
Q687168,Ise Grand Shrine
Q135070346,Ise Mioya Shrine
Q11378974,Ise no Kuni no Miyatsuko
Q135041208,Ise Shrine
Q135194417,Ise-no-Miya (nonexistent)
Q135041474,Iseamaterasumioyano Shrine
Q17193121,Isekisan Shrine
Q128866991,Ise-Kuruma Shrine
Q135186415,Isetaniwa Shrine
Q135038799,Isetano Shrine
Q17193127,Isetsuhiko
Q11378990,Iseyama Kōtai Jingū
Q113498764,Isezuka Kofun
Q130455403,Isezuka Kofun (Chūō)
Q11378976,Isezuka Kofun (Fujioka)
Q11584736,Ishi no Hōden
Q3155268,Ishi-no-ma-zukuri
Q3816159,Ishibutai Kofun
Q334107,Ishida Mitsunari
Q135194754,Ishida Shrine
Q135068853,Ishida Shrine (Kuse district)
Q135068851,Ishida Shrine (Q135068851)
Q135068852,Ishida Shrine (Yamashiro Province)
Q135186637,Ishidate Shrine
Q135186693,Ishigami Shrine
Q11587133,Ishigami Shrine (Ome)
Q135194388,Ishigami Shrine (precinct of Yakumo Shrine)
Q135194384,Ishigami Shrine (Q135194384)
Q135039795,Ishihenokashiki- Shrine
Q11584830,Ishii no Shichifukujin to Taue Odori
Q16277320,Ishii Shrine
Q135070000,Ishii Shrine (Echigo Province)
Q135195089,"Ishii Shrine (Hōjō, Kashiwazaki)"
Q135195088,Ishii Shrine (Nagaoka)
Q135195090,"Ishii Shrine (Nishihonmachi, Kashiwazaki)"
Q135195086,"Ishii Shrine (Nishiyama, Kashiwazaki)"
Q135069999,Ishii Shrine (Q135069999)
Q135070001,Ishii Shrine (Santō district)
Q122332891,Ishika Shrine
Q11585422,Ishikami no Kuni no Miyatsuko
Q135040013,Ishikamino Shrine
Q1305913,Ishikari
Q11586369,Ishikawa Gokoku Shrine
Q873166,Ishikawa Kazumasa
Q11585706,Ishikawa no Iratsume
Q11585189,Ishikiri Tsurugiya Shrine
Q6080112,Ishikori-dome no Mikoto
Q135070100,Ishimiya Shrine
Q135038961,Ishino Shrine
Q135039433,Ishino Shrine (Q135039433)
Q135270925,Ishino shrine Co-enshrinement
Q60986124,Ishinohōden Kofun
Q11584729,Ishinokarato Kofun
Q129837100,Ishinuki Anakannon Yokoanabos
Q130300879,Ishinukinagi Yokoanabo Cluster
Q135194913,Ishise-hiko Shrine
Q135069128,Ishisunyamaguchi Shrine
Q135193270,"Ishitateo Shrine (Isobe, Minami-ku, Sagamihara)"
Q135193268,Ishitateo Shrine (Sanogawa)
Q135192938,Ishitokutaka Shrine (Mamezuka Shrine)
Q135190056,Ishitsukuri Shrine
Q135039480,Ishitsukurino Shrine
Q135038739,Ishitsukurino Shrine (Q135038739)
Q135039498,Ishitsukurino Shrine (Q135039498)
Q135039545,Ishitsukurino Shrine (Q135039545)
Q135098983,Ishitsukurino Shrine (Q135098983)
Q65276071,Ishiumadani Kofun
Q135040470,Ishiwino Shrine
Q104816401,Ishiya Kofun
Q11585523,Ishiyama Kofun
Q1082791,Ishiyama-dera
Q11585601,Ishizaki Hōtō Festival
Q11586788,Ishizu Shrine
Q11587273,Ishizuchi Shrine
Q11585466,Ishizukayama Kofun
Q135187144,Ishizukuri Shrine (Q135187144)
Q135186636,Ishizumi Shrine
Q11587230,Isobe Shrine (disambiguation)
Q135193519,Isobe Shrine (Gamo)
Q11587231,Isobe Shrine (Komatsu City)
Q135195212,Isobe Shrine (Miwakare Park)
Q135193521,Isobe Shrine (Omihachiman)
Q11587232,Isobe Shrine (Toyooka)
Q11588063,Isobe-no-Omita
Q135040713,Isofuno Shrine
Q60990014,Isohama Kofun Cluster
Q135040158,Isoheno Shrine
Q135039404,Isoheno Shrine (Q135039404)
Q135039803,Isoheno Shrine (Q135039803)
Q135039812,Isoheno Shrine (Q135039812)
Q135040373,Isoheno Shrine (Q135040373)
Q135041174,Isoheno Shrine (Q135041174)
Q135040430,Isokimi Shrine
Q11588121,Isoma Rock Shelter Site
Q135270415,Isonokami Co-enshrinement
Q708859,Isonokami Jingū
Q6086140,Isonokami no Maro
Q11584766,Isonokami Futsumitama Shrine
Q135039308,Isonokamino Shrine
Q135041435,Isonono Shrine
Q135040737,Isononosakino Shrine
Q11379396,Isono Shrine
Q10881556,Isotakeru-no-Mikoto
Q135070171,Isousatsu Shrine
Q135070181,Isozaki Shrine
Q11380543,Izusahime Shrine
Q60986380,Isshiki Manabino Museum
Q1351682,Issun-bōshi
Q11585202,Isurugi Gongen
Q11381009,Isurugi Hikojinja
Q6089522,Isuzu River
Q10881557,Isuzuyori-hime
Q97576871,Itachigawa Basin Rock-Cut Tombs
Q135070151,Itakeru Shrine
Q135070109,Itaki Shrine
Q135040910,Itakino Shrine
Q135270432,Itakino Shrine (Q135270432)
Q11379271,Itakiso shrine
Q1675033,Itako
Q135070032,Itaretsu Shrine
Q135070030,Itaretsuhachiman Shrine
Q11259430,Itasuke Kofun
Q135068802,Itata Shrine
Q135068802,Itata Shrine (Otagi district)
Q135179857,Itata Shrine former site
Q135038781,Itatano Shrine
Q11458547,Itatehyōzu Shrine
Q135195273,Itatsura Inari Shrine
Q135040572,Itatsurano Shrine
Q135040755,Itawi Shrine
Q60989877,Ito Tomio
Q61750529,Itoi Otsuka Kofun
Q10885162,Itokoku
Q135040258,Itosakino Shrine
Q104533567,Itouzu Hachiman Shrine
Q135039006,Itowino Shrine
Q48753263,Itsuhayahime-no-Mikoto
Q22117904,Itsukahara Kofun
Q135040526,Itsukino Shrine
Q875301,Itsukushima
Q191763,Itsukushima Shrine
Q11410135,Itsukushima Shrine (Aizuwakamatsu)
Q3155997,Itsukushima shrine (Kushiro)
Q135068808,Itsukushima Shrine (Q135068808)
Q11410141,Itsukushima Shrine (Shinjuku)
Q11410139,Itsukushima Shrine (Sumoto City)
Q11410137,Itsukushima Shrines (disambiguation)
Q135039180,Itsumino Shrine
Q135041043,Itsumono Shrine
Q135039927,Itsumono Shrine (Q135039927)
Q135040491,Itsumono Shrine (Q135040491)
Q135041258,Itsumono Shrine (Q135041258)
Q135039738,Itsumono- Shrine
Q135039741,Itsumonoihahino Shrine
Q135039047,Itsumotakewono Shrine
Q135288594,Itsunahimeno Shrine
Q10881970,Itsuse no Mikoto
Q135040598,Itsushimino Shrine
Q135040503,Itsushinokanoisoheno Shrine
Q135041455,Itsutano Shrine
Q1050457,Itō Chūta
Q174971,Itō Hirobumi
Q11380223,Itō Masatoshi
Q11587134,Iwa Shrine (Kashiwara)
Q65320,Iwa Shrine (Matsumoto)
Q11379658,Iwa-no-Nishi Shrine
Q9010200,Iwa-tsutsu-no'o
Q130282222,Iwabaru Kofun cluster
Q17989005,Iwafune Kofun
Q124496786,Iwafune Shrine
Q11474068,Iwai Onsen
Q85882705,Iwai Shrine (Q85882705)
Q123118312,Iwai Shrine (Izumozaki)
Q135179342,Iwai Shrine (Q135179342)
Q135194258,Iwai Shrine (Q135194258)
Q135070173,Iwaida Shrine
Q135070174,Iwaida Shrine (Q135070174)
Q135068816,Iwakami Shrine
Q20043188,Iwakami Yamazumi Shrine
Q24871378,Iwaki Shrine
Q871375,Iwakiyama Shrine
Q135070229,Iwakumahachimanguu
Q11587880,Iwakura rock
Q135194389,Iwakura Shrine
Q135194693,Iwakura Shrine (within Sasoza Shrine precinct)
Q428200,Iwakura Tomomi
Q174139,Iwami Ginzan Silver Mine
Q21652517,Iwamurada Gion Festival
Q11474349,Iwamuro Onsen
Q8191705,Iwanaga-hime
Q6100611,Iwanari Tomomichi
Q11587925,Iwane Grand Shrine
Q135040746,Iwano Shrine
Q11433446,Iwao Ōwa
Q11475228,Iwase-Senzuka Kofun Cluster
Q11586812,Iwaseoyama Kofun Cluster
Q710098,Iwashimizu Hachimangū
Q135039221,Iwashitsuno Shrine
Q135185797,Iwashizu Shrine (Q135185797)
Q11379248,Iwashizu Shrine
Q135192623,Iwata Shrine
Q135194948,Iwatani‑mon Shrine
Q11587924,Iwatate Shrine (Katano City)
Q11474582,Iwato-yama Kofun
Q135068813,Iwatoochiba Shrine
Q48754475,Iwato Wake Shrine
Q135041343,Iwatowakeyakurahimeno Shrine
Q135270443,Iwatowakeyakurahimeno Shrine (Q135270443)
Q135041149,Iwatsuhimeno Shrine
Q11587884,Iwatsukiwake no Mikoto
Q11586779,Iwatsuta Shrine
Q11474376,Iwaya Kofun
Q11474377,Iwaya Kofun (Komaki)
Q63253688,Iwaya Kofun (Yonago)
Q116946767,Iwaya Myōken-gū
Q11474394,Iwaya Shrine
Q122698572,Iwayajiato Kofun
Q11474389,Iwayayama Kofun
Q11585337,Iwazononiimasu Takumushitama Shrine
Q135039279,Iwoumino Shrine
Q11487478,Iyadan-ji
Q22117940,Iyahiko Shrine
Q135040462,Iyahikono Shrine
Q135040325,Iyahimeno Shrine
Q135040551,Iyakaki Shrine
Q135039329,Iyamano Shrine
Q135040543,Iyano Shrine
Q135070127,Iyasumi Shrine
Q135040560,Iyatono Shrine
Q11378831,Iyo Shinnō
Q11378828,Iyo Shrine
Q135041429,Iyono Shrine
Q135070339,Iyotsubikoinochi Shrine
Q135041437,Iyotsuhikono- Shrine
Q11380620,Iyozuhiko-no-Mikoto Shrine
Q135070048,Iyu Shrine
Q135040609,Iyuno Shrine
Q813858,Izanagi
Q11259192,Izanagi school
Q11380920,Izanagi Shrine (Kanmaki)
Q135194488,Izanagi Shrine (Q135194488)
Q11379323,Izanagi Shrine (Tenri)
Q135186068,Izanagi-no-Miya
Q135070084,Izanami Shrine (Q135070084)
Q135070087,Izanami Shrine (Q135070087)
Q135186069,Izanami-no-Miya
Q11379325,Izawa-jinja
Q10885171,Izawa-no-miya
Q11380589,Izu Shrine
Q135194348,Izu Shrine (Q135194348)
Q11554857,Izudono-gū Shrine
Q48749523,Izuhayao-no-Mikoto
Q11554710,Izumi Inoue Shrine
Q11417846,Izumi Koganezuka Kofun
Q11554895,Izumi Shrine
Q11554898,Izumi Shrine (Maibara)
Q11395856,Izumo clan
Q135068645,Izumo Inoe-no-Shrine
Q104539298,Izumo Iwai Shrine (disambiguation)
Q70280025,Izumo Iwai Shrine (Miyadera)
Q135070097,Izumo Jisai Shrine
Q135195620,Izumo Jisai Shrine Keidaisha Tenjinsha
Q55533077,Izumo no Furune
Q104539297,Izumo no Iwai Shrine (disambiguation)
Q11395858,Izumo no Kuni Fudoki
Q135070013,Izumo Shrine
Q131226834,Izumo Shrine (disambiguation)
Q11395866,Izumo Taisha Matsuyama Shrine
Q38278464,Izumo Taisha Okinawa Branch
Q6102414,Izumo Taishakyo Mission of Hawaii
Q10896675,Izumo-daijingū
Q11395891,Izumo-kyo
Q66085122,Izumo-no-Iwai Shrine (Yorii Town)
Q135038772,Izumo-no-winoheno Shrine
Q696362,Izumo-taisha
Q6102386,Izumo-taishakyo
Q30933323,"Izumoiwai Shrine, Moroyama"
Q135069545,Izumonoinamihi Shrine
Q135068662,Izumotakano Shrine (Otagi district)
Q135038773,Izumotakanono Shrine
Q135099013,Izumowokano Shrine
Q11666654,Izuna Gongen
Q10885126,Izunome
Q11380566,Izusan Gongen
Q611460,Izusan Shrine
Q108933348,Izushi Kokoro no Ōomi no Mikoto
Q3156511,Izushi Shrine
Q967601,Jade Buddha Temple
Q17214029,Jaketsuzan Kofun
Q911985,Jakkō-in
Q906010,January 1 (Lunisolar)
Q839368,January 10 (Lunisolar)
Q839202,January 11 (Lunisolar)
Q839378,January 12 (Lunisolar)
Q839041,January 13 (Lunisolar)
Q839082,January 14 (Lunisolar)
Q838395,January 15 (Lunisolar)
Q839090,January 16 (Lunisolar)
Q838983,January 17 (Lunisolar)
Q839131,January 18 (Lunisolar)
Q838901,January 19 (Lunisolar)
Q906001,January 2 (Lunisolar)
Q838892,January 20 (Lunisolar)
Q839389,January 21 (Lunisolar)
Q839169,January 22 (Lunisolar)
Q839105,January 23 (Lunisolar)
Q839315,January 24 (Lunisolar)
Q839249,January 25 (Lunisolar)
Q838882,January 26 (Lunisolar)
Q839032,January 27 (Lunisolar)
Q839329,January 28 (Lunisolar)
Q839115,January 29 (Lunisolar)
Q839671,January 3 (Lunisolar)
Q838953,January 30 (Lunisolar)
Q835479,January 4 (Lunisolar)
Q835425,January 5 (Lunisolar)
Q839238,January 6 (Lunisolar)
Q839064,January 7 (Lunisolar)
Q839348,January 8 (Lunisolar)
Q838914,January 9 (Lunisolar)
Q17212912,Japan Airlines 1402 Flight Attendant Skirt Voyeurism Incident
Q841337,Japanese archipelago
Q6158131,Japanese Buddhist pantheon
Q2503193,Japanese clans
Q6158445,Japanese creation myth
Q15974353,Japanese festivals
Q14339857,Japanese folklore
Q17213509,Japanese Historical Topography Series
Q17218816,Japanese imperial tombs
Q11507479,Japanese Indigenous Theory
Q11511066,Japanese Lunisolar Calendar
Q701398,Japanese New Year
Q2465311,Japanese pagoda
Q11418249,"Japanese spirit, Chinese learning"
Q1768697,Japanese sword
Q1029751,Japanese units of measurement
Q11643067,Jiao Sacrifices
Q11424487,Jigokudani Onsen (Tateyama)
Q11452837,Jikkō kyō
Q135069376,Jiko Shrine
Q11590444,Jimmu's Eastern Expedition
Q11457718,Jinaimachi
Q24866215,Jinbayama Kofun
Q11591010,Jinchōkan Moriya Historical Museum
Q11590941,Jingō Kamezuka Kofun
Q11589491,Jingū calendar
Q11589497,Jingū Guards
Q11589490,Jingū Library
Q3959472,Jingū Shikinen Sengū
Q11589469,Jingū taima
Q11589476,Jingū-ji (Ginowan)
Q28657616,Jingūjiyama Kofun
Q11589489,Jingūkyō
Q11588676,Jinin
Q11590708,Jinja Kakuroku
Q11590703,Jinjachō
Q11590445,Jinmu boom
Q11588823,Jinmyōchō Kōshō Dodai
Q11589702,Jinne-in
Q1049788,Jinnō Shōtōki
Q3179237,Jinraku-ji
Q1036279,Jisha-bugyō
Q3179279,Jison-in
Q11495049,Jiunji (Nagano Prefecture Shimosuwa Town)
Q11424666,Jizōzuka Kofun
Q121856624,Jizōzuka Kofun (Fuefuki)
Q11424667,Jizōzuka Kofun (Gyōda)
Q11358496,Joenkahofun
Q6223046,John Breen (scholar)
Q135069162,Jouguuko Shrine
Q1392689,Journey on Land
Q116309884,Joyama Tomb No.1 (Katori)
Q135194545,Jufu Shrine
Q11416981,Jugon (Taoism)
Q11416982,Jugon Hakase
Q11416983,Jugonshi
Q839027,July (Lunisolar)
Q839711,July 1 (Lunisolar)
Q839719,July 10 (Lunisolar)
Q839888,July 11 (Lunisolar)
Q839749,July 12 (Lunisolar)
Q839878,July 13 (Lunisolar)
Q839776,July 14 (Lunisolar)
Q839745,July 15 (Lunisolar)
Q839688,July 16 (Lunisolar)
Q839761,July 17 (Lunisolar)
Q839924,July 18 (Lunisolar)
Q839686,July 19 (Lunisolar)
Q839784,July 2 (Lunisolar)
Q839882,July 20 (Lunisolar)
Q839764,July 21 (Lunisolar)
Q839702,July 22 (Lunisolar)
Q839716,July 23 (Lunisolar)
Q839874,July 24 (Lunisolar)
Q839678,July 25 (Lunisolar)
Q839694,July 26 (Lunisolar)
Q839708,July 27 (Lunisolar)
Q839895,July 28 (Lunisolar)
Q840052,July 29 (Lunisolar)
Q839696,July 3 (Lunisolar)
Q840429,July 30 (Lunisolar)
Q839729,July 4 (Lunisolar)
Q839918,July 5 (Lunisolar)
Q839758,July 6 (Lunisolar)
Q839741,July 7 (Lunisolar)
Q839706,July 8 (Lunisolar)
Q839722,July 9 (Lunisolar)
Q4121497,Jumada al-Awwal 1
Q4121498,Jumada al-Awwal 10
Q4121548,Jumada al-Awwal 11
Q4121932,Jumada al-Awwal 12
Q4121256,Jumada al-Awwal 13
Q4121446,Jumada al-Awwal 14
Q4121556,Jumada al-Awwal 15
Q4121241,Jumada al-Awwal 16
Q4121851,Jumada al-Awwal 17
Q4121933,Jumada al-Awwal 18
Q4121768,Jumada al-Awwal 19
Q4121754,Jumada al-Awwal 2
Q4121841,Jumada al-Awwal 20
Q4121962,Jumada al-Awwal 21
Q4121156,Jumada al-Awwal 22
Q4121448,Jumada al-Awwal 23
Q4121575,Jumada al-Awwal 24
Q4121228,Jumada al-Awwal 25
Q4121716,Jumada al-Awwal 26
Q4121318,Jumada al-Awwal 27
Q4121540,Jumada al-Awwal 28
Q4121728,Jumada al-Awwal 29
Q4121719,Jumada al-Awwal 3
Q4121672,Jumada al-Awwal 30
Q4121237,Jumada al-Awwal 4
Q4121428,Jumada al-Awwal 5
Q4121452,Jumada al-Awwal 6
Q4121411,Jumada al-Awwal 7
Q4121583,Jumada al-Awwal 8
Q4121710,Jumada al-Awwal 9
Q4121553,Jumada al-Thani 1
Q4121547,Jumada al-Thani 10
Q4121677,Jumada al-Thani 11
Q4121184,Jumada al-Thani 12
Q4121456,Jumada al-Thani 13
Q4121700,Jumada al-Thani 14
Q4121251,Jumada al-Thani 15
Q4121682,Jumada al-Thani 16
Q4121260,Jumada al-Thani 17
Q4121235,Jumada al-Thani 18
Q4121597,Jumada al-Thani 19
Q4121372,Jumada al-Thani 2
Q4121764,Jumada al-Thani 20
Q4121776,Jumada al-Thani 21
Q4121748,Jumada al-Thani 22
Q4121951,Jumada al-Thani 23
Q4121836,Jumada al-Thani 24
Q4121588,Jumada al-Thani 25
Q4121163,Jumada al-Thani 26
Q4121461,Jumada al-Thani 27
Q4121330,Jumada al-Thani 28
Q4121670,Jumada al-Thani 29
Q4121675,Jumada al-Thani 3
Q4121230,Jumada al-Thani 30
Q4121685,Jumada al-Thani 4
Q4121595,Jumada al-Thani 5
Q4121722,Jumada al-Thani 6
Q4121727,Jumada al-Thani 7
Q4121600,Jumada al-Thani 8
Q4121762,Jumada al-Thani 9
Q11395384,Jun'i
Q839146,June (Lunisolar)
Q839637,June 1 (Lunisolar)
Q839654,June 10 (Lunisolar)
Q839755,June 11 (Lunisolar)
Q839681,June 12 (Lunisolar)
Q839652,June 13 (Lunisolar)
Q839691,June 14 (Lunisolar)
Q839649,June 15 (Lunisolar)
Q839791,June 16 (Lunisolar)
Q839658,June 17 (Lunisolar)
Q839704,June 18 (Lunisolar)
Q839911,June 19 (Lunisolar)
Q839684,June 2 (Lunisolar)
Q839899,June 20 (Lunisolar)
Q839781,June 21 (Lunisolar)
Q839903,June 22 (Lunisolar)
Q839700,June 23 (Lunisolar)
Q839870,June 24 (Lunisolar)
Q839885,June 25 (Lunisolar)
Q839738,June 26 (Lunisolar)
Q839788,June 27 (Lunisolar)
Q839674,June 28 (Lunisolar)
Q839774,June 29 (Lunisolar)
Q839921,June 3 (Lunisolar)
Q839713,June 30 (Lunisolar)
Q839676,June 4 (Lunisolar)
Q839907,June 5 (Lunisolar)
Q839915,June 6 (Lunisolar)
Q839725,June 7 (Lunisolar)
Q839733,June 8 (Lunisolar)
Q839891,June 9 (Lunisolar)
Q11310158,Jungle bath
Q11488720,Junior Eighth Rank
Q11071125,Junior Fifth Rank
Q11071121,Junior First Rank
Q11071127,Junior Fourth Rank
Q11464527,Junior Initial Rank
Q11488719,Junior Ninth Rank
Q11488721,Junior Second Rank
Q11488718,Junior Seventh Rank
Q14624983,Junior Sixth Rank
Q11071123,Junior Third Rank
Q135070278,Junisho Shrine
Q6606286,Junshin
Q389611,Jurōjin
Q11676248,Jusen-ji
Q17214620,Juuni-sho Shrine (Himeji)
Q135070059,Juurokuhashira Shrine
Q135194932,Juzo Shrine
Q912221,Jōdo Shinshū
Q912208,Jōdo-shū
Q3191229,Jōe
Q97311737,Jōfuku-in
Q11495387,Jōgō (buying Ranks)
Q135069162,Jōgūko Shrine
Q52824,Jōmon period
Q11426034,Jōnan-gū
Q11425922,Jōnoyama Kofun
Q17993480,Jōnozuka Kofun
Q55524556,Jōrakuji-Nanatsuzuka Kofun Cluster
Q11358981,Jōshi no Sechie
Q55537165,Jōurugami Kofun
Q117229625,Jōyama Kofun Group
Q124713327,Jōyama Yokoanabo Cluster
Q11404830,Jūgorō-ana Yokoanabo Cluster
Q11404828,Jūgosha Shrine (Okaya City)
Q11404800,Jūnisho Shrine
Q9503981,Jūniten
Q11405183,Jūrō Yokoanabo Cluster
Q104793514,Jūsanpōzuka Site
Q38279193,Jūzen no Mori Kofun
Q123524325,Jūzenji
Q135194908,Jūzō Shrine
Q135070331,Kaasaryou Shrine
Q135194694,Kaba Hachiman Shrine
Q135192598,Kaba Shinmeigu Shrine
Q1664099,Kabane
Q11399769,Kabe Island
Q11498153,Kabu-ryō
Q11651196,Kabura River
Q11622006,Kaburagi Kofun Group
Q17225835,Kabutoyama Kofun (Kumagaya)
Q48750143,Kabutoyama Kofun (Okazaki)
Q63386717,Kabutoyama Kofun (Yasu)
Q28692326,Kabutoyama-dera Temple
Q115931761,Kabutozuka Kofun
Q17990175,Kabutozuka Kofun (Iwaki)
Q115858640,Kabutozuka Kofun (Kyoto)
Q84638447,Kabutozuka Kofun (Sakurai)
Q11388841,Kabutozuka Kofun (Sendai)
Q30925678,Kabutozuka Kofun (Shimotsuke)
Q119218468,Kabutozuka Kofun (Yokohama)
Q17228158,Kabuyama Kofun
Q135040914,Kachihino Shrine
Q135040915,Kachihinotakamori Shrine
Q135040753,Kachimino Shrine
Q11385576,Kachō
Q11398578,Kada Kasuga Shrine
Q135039161,Kaden Shrine
Q11400103,Kadenokōji
Q11400104,Kadenokōji Aritomi
Q11400106,Kadenokōji family
Q135040925,Kadoeno Shrine
Q11677231,Kadosu Manako
Q11654943,Kadotsuke
Q135041301,Kaehimeno Shrine
Q11669621,Kaemon Takashima
Q135186749,Kafu Shrine
Q135186750,Kafu Shrine (Q135186750)
Q135186752,Kafu Shrine (Q135186752)
Q135039395,Kafuno Shrine
Q135040316,Kafutohikono Shrine
Q16766631,Kagami-no-Miya Shrine
Q17226516,Kagami-no-Miya Shrine (Naiku)
Q135185122,Kagami-tsukuri-ita Shrine
Q11667575,Kagawa Gokoku Shrine
Q17226573,Kagawake
Q10924131,Kagi Shrine
Q135198056,Kagi-no-miya (Kumano Hayatama Shrine)
Q11676849,Kagoshima Gokoku Shrine
Q11676490,Kagoshima Gosha
Q704695,Kagoshima Jingū
Q11676982,Kagoshima Shrine (disambiguation)
Q11676983,Kagoshima Shrine (Kagoshima City)
Q11676981,Kagoshima Shrine (Tarumizu City)
Q11676827,Kagoshima Technical High School
Q135040075,Kagoyamano Shrine
Q1640658,Kagu-tsuchi
Q1348260,Kagura
Q135070148,Kaguraokahachimanguu
Q135070150,Kaguraokahachimanguu (Q135070150)
Q135099012,Kagutsuchino Shrine
Q135040472,Kahaahino Shrine
Q135039330,Kahaahino Shrine (Q135039330)
Q135040508,Kahachitatanuhino Shrine
Q135041093,Kahaheno Shrine
Q135195104,Kahahino Shrine
Q135038974,Kahakamikashihono Shrine
Q135041293,Kahakamino Shrine
Q135040923,Kahakamino Shrine (Q135040923)
Q135039798,Kahakareno Shrine
Q135270298,Kahakareno Shrine (Q135270298)
Q135039810,Kahaketano Shrine
Q135039016,Kahamatano Shrine
Q135039133,Kahamatano Shrine (Q135039133)
Q135039358,Kahamatano Shrine (Q135039358)
Q135039378,Kahano Shrine
Q135039553,Kaharano Shrine
Q135270314,Kaharano Shrine (Q135270314)
Q135039266,Kaharano- Shrine
Q135270137,Kaharano- Shrine (Q135270137)
Q135039494,Kahashimano Shrine
Q135039530,Kahashimano Shrine (Q135039530)
Q135194278,"Kahashukuneno Shrine (Gyokoda, Shibukawa City)"
Q135039964,Kahasukuneno Shrine
Q135039796,Kahatano Shrine
Q135039476,Kahawano Shrine
Q135098813,Kahawinotsuki Shrine
Q135039687,Kahinano Shrine
Q135040099,Kahiruno Shrine
Q135040128,Kahiruno Shrine (Q135040128)
Q135040133,Kahirutanokuchino Shrine
Q135069972,Kahisaya Shrine
Q11577925,Kai Chōshizuka Kofun
Q11515320,Kai Fudoki Hill
Q11577872,Kai no Kuni no Miyatsuko
Q1721396,Kaibara Ekken
Q11559106,Kaido Shrine
Q11559099,Kaijin Shrine
Q134888898,Kaijin Shrine (Kinokawa)
Q11577877,Kaina Shrine
Q135193244,Kaina Shrine (Q135193244)
Q11558784,Kainan Shrine
Q10855049,Kaisei School
Q11491385,Kaitenyama Kofun
Q11538831,Kajiwara clan
Q136731845,Kajiwara Shrine
Q11538863,Kajiyama Kofun
Q135039007,Kakamitsukuriitano Shrine
Q126604634,Kakegi Kofun
Q11677198,Kakeyu Onsen
Q11625568,Kakise Kagura
Q135039192,Kakitano Shrine
Q135041179,Kakitano Shrine (Q135041179)
Q704695,Kagoshima Shrine
Q135040363,Kakumino Shrine
Q135039588,Kakuruno Shrine
Q135041189,Kakuyano Shrine
Q11399837,Kalpina
Q135195503,Kama Shrine
Q11597744,Kamado Shrine
Q135040473,Kamaharano Shrine
Q11650874,Kamakura Buddhism
Q710351,Kamakura-gū
Q97576952,Kamakura-style cave tombs
Q24866261,Kamao Kofun
Q135041396,Kamarano Shrine
Q48759963,Kamatsuka Kofun
Q11597743,Kamayama Shrine
Q135186188,Kamazoku‑Miden Shrine
Q135195148,Kambara Shrine
Q11370710,Kamegamori-Chinjumori Kofun
Q11370954,Kameido Sengen Shrine
Q135194760,Kamejima Shrine (reference)
Q11371013,Kamenokoyama Kofun
Q11370833,Kameyama Hachimangu Shrine
Q11370879,Kameyama Shrine
Q135069232,Kameyama Shrine (Q135069232)
Q11370808,Kamezuka Kofun
Q524158,Kami
Q48764287,Kami Asagi
Q119380336,Kami Ōne
Q11359978,Kami-Ishizu Misanzai Kofun
Q11381860,Kami-Kamikawa Sumiyoshi Shrine
Q17226402,Kami-no-Mii Shrine
Q11359605,Kami-Yu Onsen
Q135187347,Kamichikama Shrine
Q327584,Kamidana
Q60987962,Kamienyajizōyama Kofun
Q55523209,Kamienyatsukiyama Kofun
Q17990214,Kamifuna Tsuka Kofun
