Page Title,Wikidata QID
Category:Brands,Q6450098
Category:Brassica,Q8309635
Category:Brewed Alcoholic Beverages,Q105836267
Category:Brewing,Q20051194
Category:Bridges by Honors,Q10077868
Category:Bridges by river,Q8311352
"Category:Bridges in Adachi, Tokyo",Q18739782
Category:Bridges in Japan,Q7157609
Category:Bridges in Japan by city,Q9671977
Category:Bridges in Japan by prefecture,Q9671980
Category:Bridges in Japan by river,Q9671969
Category:Bridges in Mie prefecture,Q9542274
"Category:Bridges in Sumida, Tokyo",Q9607266
"Category:Bridges in Taito, Tokyo",Q18722832
Category:Bridges in Tokyo,Q7344014
Category:Bridges of Kinki Region,Q18740039
Category:Bridges over the Sumida River,Q18742159
Category:Brine spring,Q106640582
Category:British Japanologists,Q8313137
Category:British expatriates in Japan,Q6619862
Category:British orientalists,Q7064553
Category:British philologists,Q8315549
Category:British rule in Singapore,Q8315773
Category:British social scientists,Q7065355
Category:Broadcast Transmitters in Miyagi Prefecture,Q9626220
Category:Broadcast Transmitters in the Tōhoku Region,Q9693116
Category:Broadcast Transmitters of Japan,Q9670813
Category:Broadcast Transmitters of Japan by Prefecture,Q9670830
Category:Broadcast Transmitters of Japan by Region,Q9670818
Category:Broadcasting History of Japan,Q18725647
Category:Broadcasting associations,Q25208425
Category:Broadcasting in Japan,Q8562342
Category:Broadcasting in Japan by Region,Q9670789
Category:Broadcasting in Kantō Region,Q9942885
Category:Broadcasting in Kantō-Kōshin'etsu Region,Q18741820
Category:Broadcasting in Kinki Region,Q10043067
Category:Broadcasting in the Tohoku region,Q9693111
Category:Bronze Age writing systems,Q6859708
Category:Buddha statues,Q7138072
Category:Buddha-nature,Q22893712
Category:Buddhism,Q1983832
Category:Buddhism and Shinto,Q66852157
Category:Buddhism and society,Q20936619
Category:Buddhism and sports,Q86778849
Category:Buddhism and women,Q8317351
Category:Buddhism by century,Q8353938
Category:Buddhism by country,Q6940900
Category:Buddhism in Asia,Q8317367
Category:Buddhism in China,Q8317391
Category:Buddhism in China templates,Q9474331
Category:Buddhism in Hangzhou,Q10251888
Category:Buddhism in Japan,Q8913868
Category:Buddhism in Japan templates,Q55588140
Category:Buddhism in Korea,Q8317402
Category:Buddhism in the Asuka period,Q28696704
Category:Buddhism in the Azuchi–Momoyama period,Q28696643
Category:Buddhism in the Edo period,Q28696600
Category:Buddhism in the Heian period,Q28696645
Category:Buddhism in the Kamakura period,Q28696644
Category:Buddhism in the Kofun period,Q86778898
Category:Buddhism in the Meiji era,Q28696633
Category:Buddhism in the Muromachi period,Q28696647
Category:Buddhism in the Nara period,Q28696702
Category:Buddhism sidebar templates,Q105268720
Category:Buddhism stubs,Q8317453
Category:Buddhist archaeological sites,Q9268866
Category:Buddhist archaeological sites in Japan,Q9665789
Category:Buddhist architecture,Q7642199
Category:Buddhist art,Q9521795
Category:Buddhist asceticism,Q32076514
Category:Buddhist ascetics,Q86310657
Category:Buddhist belief and doctrine,Q24910797
Category:Buddhist caves,Q13665487
Category:Buddhist cemeteries,Q86778926
Category:Buddhist clergy by type,Q86310676
Category:Buddhist clergy of Asuka-period Japan,Q28984409
Category:Buddhist clergy of Edo-period Japan,Q10108338
Category:Buddhist clergy of Heian-period Japan,Q9643277
Category:Buddhist clergy of Nara-period Japan,Q17796253
Category:Buddhist communities,Q6973416
Category:Buddhist cosmology,Q7025564
Category:Buddhist cuisine,Q8317447
Category:Buddhist culture,Q15148318
Category:Buddhist deities,Q6806767
Category:Buddhist devotion,Q86778931
Category:Buddhist dynasties of China,Q86310697
Category:Buddhist enumerations,Q25893786
Category:Buddhist enumerations of 1000,Q65650326
Category:Buddhist enumerations of 12,Q31040327
Category:Buddhist enumerations of 20,Q105822601
Category:Buddhist enumerations of 24,Q67040909
Category:Buddhist enumerations of 28,Q67042944
Category:Buddhist enumerations of 3,Q31040278
Category:Buddhist enumerations of 33,Q67044018
Category:Buddhist enumerations of 4,Q31040282
Category:Buddhist enumerations of 6,Q31040313
Category:Buddhist enumerations of 8,Q31040320
Category:Buddhist eschatology,Q8317450
Category:Buddhist festivals,Q8317469
Category:Buddhist folklore,Q86778990
Category:Buddhist goddesses,Q67556334
Category:Buddhist gods,Q6215973
Category:Buddhist grottoes in China,Q13251286
Category:Buddhist holidays,Q6828925
Category:Buddhist holy sites,Q7139347
Category:Buddhist iconography,Q60984722
Category:Buddhist legendary creatures,Q65718799
Category:Buddhist literature,Q7151086
Category:Buddhist martial arts,Q86779000
Category:Buddhist meditation,Q6953215
Category:Buddhist miracles,Q86779010
Category:Buddhist monasticism,Q8317507
Category:Buddhist monks,Q5892491
Category:Buddhist monks by century,Q30711829
Category:Buddhist monks by nationality,Q6969981
Category:Buddhist mysticism,Q86779016
Category:Buddhist mythology,Q6343867
Category:Buddhist mythology stubs,Q86779019
Category:Buddhist new religious movements,Q9521765
Category:Buddhist nunneries,Q8317509
Category:Buddhist nuns,Q7138076
Category:Buddhist nuns by century,Q86310714
Category:Buddhist orders,Q8317519
Category:Buddhist organizations based in Taiwan,Q9583277
Category:Buddhist organizations by country,Q25325557
Category:Buddhist paintings,Q20148295
Category:Buddhist philosophical concepts,Q7163660
Category:Buddhist philosophy,Q6425815
Category:Buddhist pilgrimage sites,Q65716676
Category:Buddhist pilgrimage sites in China,Q65717162
Category:Buddhist pilgrimage sites in Japan,Q65717161
Category:Buddhist pilgrimages,Q7434726
Category:Buddhist poetry,Q86779042
Category:Buddhist practices,Q7139102
Category:Buddhist relics,Q10058945
Category:Buddhist religious objects,Q82975591
Category:Buddhist ritual implements,Q8317529
Category:Buddhist rituals,Q30856209
Category:Buddhist saints,Q9521652
Category:Buddhist schools in Japan,Q9665763
Category:Buddhist sites in China,Q55975254
Category:Buddhist symbols,Q8317559
Category:Buddhist temple disambiguation pages,Q9594602
Category:Buddhist temple stubs,Q9955105
Category:Buddhist temples,Q6587240
Category:Buddhist temples by century,Q15310972
Category:Buddhist temples by country,Q6587231
Category:Buddhist temples by deity,Q97387164
Category:Buddhist temples by location,Q77533723
Category:Buddhist temples by tradition,Q8317552
Category:Buddhist temples in Aichi Prefecture,Q8317549
Category:Buddhist temples in Chiba Prefecture,Q8317568
Category:Buddhist temples in Ehime Prefecture,Q8317570
Category:Buddhist temples in Fukui Prefecture,Q8317571
Category:Buddhist temples in Fukuoka Prefecture,Q8317577
Category:Buddhist temples in Gifu Prefecture,Q8317581
Category:Buddhist temples in Hangzhou,Q30699047
Category:Buddhist temples in Himeji,Q9620396
Category:Buddhist temples in Hiroshima Prefecture,Q8317586
Category:Buddhist temples in Hyōgo Prefecture,Q9535246
Category:Buddhist temples in Ishikawa Prefecture,Q8317589
Category:Buddhist temples in Japan,Q6587091
Category:Buddhist temples in Japan by populated place,Q18725635
Category:Buddhist temples in Japan by prefecture,Q9629683
Category:Buddhist temples in Kagawa Prefecture,Q8317594
"Category:Buddhist temples in Kamakura, Kanagawa",Q8317597
Category:Buddhist temples in Kanagawa Prefecture,Q8317599
Category:Buddhist temples in Kyoto,Q8317611
Category:Buddhist temples in Kyoto Prefecture,Q8913903
Category:Buddhist temples in Kōchi Prefecture,Q8317606
Category:Buddhist temples in Mie Prefecture,Q8317607
Category:Buddhist temples in Nagano Prefecture,Q8317616
Category:Buddhist temples in Nara Prefecture,Q8317629
"Category:Buddhist temples in Nara, Nara",Q8913900
Category:Buddhist temples in Okayama Prefecture,Q8317628
Category:Buddhist temples in Okinawa Prefecture,Q8317633
Category:Buddhist temples in Osaka,Q9614817
Category:Buddhist temples in Osaka Prefecture,Q8317636
Category:Buddhist temples in Saitama Prefecture,Q8317642
Category:Buddhist temples in Shanghai,Q8317650
Category:Buddhist temples in Shiga Prefecture,Q8317654
Category:Buddhist temples in Shimane Prefecture,Q9639647
Category:Buddhist temples in Shizuoka Prefecture,Q8317655
Category:Buddhist temples in Tochigi Prefecture,Q8317661
Category:Buddhist temples in Tokushima Prefecture,Q9648917
Category:Buddhist temples in Tokyo,Q7481100
Category:Buddhist temples in Tottori Prefecture,Q11222069
Category:Buddhist temples in Wakayama Prefecture,Q8317675
Category:Buddhist temples in Yamagata Prefecture,Q8317670
Category:Buddhist temples in Yamaguchi Prefecture,Q8317671
Category:Buddhist temples in Yamanashi Prefecture,Q8317679
Category:Buddhist temples in Zhejiang,Q8317674
Category:Buddhist terminology,Q7164953
Category:Buddhist text stubs,Q86779115
Category:Buddhist texts,Q8317726
Category:Buddhist texts by country,Q106765298
Category:Buddhist titles,Q7642303
Category:Buddhist universities and colleges in Japan,Q9665756
Category:Buddhist vegetarianism,Q13248598
Category:Buddhistischer Wallfahrtsort,Q39332225
Category:Buddhistisches Wallfahrtswesen,Q19339730
Category:Buddhists by century,Q16786283
Category:Buddhists by denomination,Q8317692
Category:Buddhists by nationality,Q6853073
Category:Building,Q8963787
Category:Building and structure articles needing translation from Japanese Wikipedia,Q131485618
Category:Building and structure stubs,Q7477848
Category:Building and structure types by country,Q6756712
Category:Building engineering,Q6777802
Category:Building materials,Q7152635
Category:Building stone,Q8318017
Category:Building technology,Q6968083
Category:Buildings Named After People,Q9537380
Category:Buildings Occupied by Allied Forces in Japan,Q9588948
Category:Buildings and structures,Q1458429
Category:Buildings and structures by century of completion,Q7420255
Category:Buildings and structures by construction material,Q8318063
Category:Buildings and structures by country and city,Q6753553
Category:Buildings and structures by first-level administrative country subdivision,Q124014285
Category:Buildings and structures by location,Q6694791
Category:Buildings and structures by millennium of completion,Q21595095
Category:Buildings and structures by organization,Q8318036
Category:Buildings and structures by shape,Q8318068
Category:Buildings and structures by type,Q7159696
Category:Buildings and structures by type and century of completion,Q96278789
Category:Buildings and structures by year of completion,Q7637137
Category:Buildings and structures completed in 1164,Q51885500
Category:Buildings and structures completed in 1346,Q9775121
Category:Buildings and structures completed in 1581,Q8318250
Category:Buildings and structures completed in 1609,Q8318283
Category:Buildings and structures completed in 1868,Q8318612
Category:Buildings and structures completed in 1871,Q8318615
Category:Buildings and structures completed in 1880,Q8318627
Category:Buildings and structures completed in 1898,Q8318652
Category:Buildings and structures completed in 1915,Q8318677
Category:Buildings and structures completed in 1980,Q8318771
Category:Buildings and structures completed in the 10th century,Q8318823
Category:Buildings and structures completed in the 12th century BC,Q20721694
Category:Buildings and structures completed in the 15th century,Q9527326
Category:Buildings and structures completed in the 17th century,Q9288962
Category:Buildings and structures completed in the 18th century,Q8318837
Category:Buildings and structures completed in the 1st millennium,Q21715075
Category:Buildings and structures completed in the 20th century,Q8318843
Category:Buildings and structures completed in the 21st century,Q8318836
Category:Buildings and structures completed in the 2nd millennium,Q21595089
Category:Buildings and structures completed in the 3rd century,Q8318840
Category:Buildings and structures completed in the 5th century,Q8318844
Category:Buildings and structures completed in the 6th century,Q8318848
Category:Buildings and structures completed in the 7th century,Q8318853
Category:Buildings and structures completed in the 8th century,Q8318856
Category:Buildings and structures completed in the 9th century,Q8318845
Category:Buildings and structures demolished in 1945,Q8318917
Category:Buildings and structures demolished in 1995,Q8318967
Category:Buildings and structures destroyed during World War II,Q8318994
"Category:Buildings and structures in Adachi, Tokyo",Q8650626
Category:Buildings and structures in Aichi Prefecture,Q8319053
Category:Buildings and structures in Akita (city),Q10236654
Category:Buildings and structures in Akita Prefecture,Q8319059
Category:Buildings and structures in Aomori (city),Q8030129
Category:Buildings and structures in Aomori Prefecture,Q8319190
Category:Buildings and structures in Asahikawa,Q9682790
Category:Buildings and structures in Asia,Q7160496
Category:Buildings and structures in Asia by country,Q23891349
Category:Buildings and structures in Bunkyō,Q8650464
Category:Buildings and structures in Chiayi,Q9621636
Category:Buildings and structures in Chiba (city),Q8320096
Category:Buildings and structures in Chiba Prefecture,Q8320100
Category:Buildings and structures in China,Q8167496
Category:Buildings and structures in China by city,Q8320128
"Category:Buildings and structures in Chiyoda, Tokyo",Q8650791
"Category:Buildings and structures in Chūō, Tokyo",Q8650764
"Category:Buildings and structures in Chūō-ku, Sapporo",Q18726175
"Category:Buildings and structures in Dazaifu, Fukuoka",Q20944439
"Category:Buildings and structures in Edogawa, Tokyo",Q8650679
Category:Buildings and structures in Egypt,Q7582776
Category:Buildings and structures in Ehime Prefecture,Q8320713
"Category:Buildings and structures in Fujisawa, Kanagawa",Q20936621
Category:Buildings and structures in Fukui (city),Q10222378
Category:Buildings and structures in Fukui Prefecture,Q8320969
Category:Buildings and structures in Fukuoka,Q8320968
Category:Buildings and structures in Fukuoka Prefecture,Q8320971
Category:Buildings and structures in Fukushima Prefecture,Q8320978
Category:Buildings and structures in Gamagōri,Q27674031
Category:Buildings and structures in Gifu,Q9636074
Category:Buildings and structures in Gifu Prefecture,Q8321067
Category:Buildings and structures in Gunma Prefecture,Q10016469
Category:Buildings and structures in Hachiōji,Q9570545
Category:Buildings and structures in Hakodate,Q9576151
"Category:Buildings and structures in Hakone, Kanagawa",Q25695049
Category:Buildings and structures in Hamamatsu,Q10131691
Category:Buildings and structures in Hangzhou,Q8321314
"Category:Buildings and structures in Hatsukaichi, Hiroshima",Q21059284
Category:Buildings and structures in Himeji,Q9021720
Category:Buildings and structures in Hiroshima,Q8321469
Category:Buildings and structures in Hiroshima Prefecture,Q8321473
Category:Buildings and structures in Hokkaido,Q8321487
Category:Buildings and structures in Honolulu,Q8321501
Category:Buildings and structures in Hyōgo Prefecture,Q8321569
Category:Buildings and structures in Ibaraki Prefecture,Q8321570
"Category:Buildings and structures in Ichinomiya, Aichi",Q9539317
Category:Buildings and structures in Indonesia by type,Q30647799
"Category:Buildings and structures in Inuyama, Aichi",Q18727630
Category:Buildings and structures in Ishikawa Prefecture,Q8321640
Category:Buildings and structures in Itabashi,Q8650735
Category:Buildings and structures in Iwate Prefecture,Q8321655
Category:Buildings and structures in Japan,Q7160543
Category:Buildings and structures in Japan by city,Q8321704
Category:Buildings and structures in Japan by prefecture,Q6412115
Category:Buildings and structures in Japan by type,Q9019153
Category:Buildings and structures in Japan destroyed during World War II,Q49779916
Category:Buildings and structures in Kagawa Prefecture,Q8321795
Category:Buildings and structures in Kagoshima,Q18743964
Category:Buildings and structures in Kagoshima Prefecture,Q8321799
"Category:Buildings and structures in Kamakura, Kanagawa",Q18741280
Category:Buildings and structures in Kanagawa Prefecture,Q8321828
"Category:Buildings and structures in Kanazawa, Ishikawa",Q9021749
"Category:Buildings and structures in Kariya, Aichi",Q18722390
Category:Buildings and structures in Katsushika,Q8650217
"Category:Buildings and structures in Kawaguchi, Saitama",Q20936622
"Category:Buildings and structures in Kawasaki, Kanagawa",Q9640575
Category:Buildings and structures in Kitakyushu,Q8321946
Category:Buildings and structures in Kiyosu,Q21057925
Category:Buildings and structures in Kobe,Q8321975
Category:Buildings and structures in Komaki,Q9631371
"Category:Buildings and structures in Koto, Tokyo",Q8650244
Category:Buildings and structures in Kumagaya,Q28091494
Category:Buildings and structures in Kumamoto,Q10161081
Category:Buildings and structures in Kumamoto Prefecture,Q8322006
Category:Buildings and structures in Kyoto,Q8322033
Category:Buildings and structures in Kyoto Prefecture,Q8322025
Category:Buildings and structures in Kōchi Prefecture,Q8322031
"Category:Buildings and structures in Kōfu, Yamanashi",Q10190030
Category:Buildings and structures in Matsue,Q10050162
Category:Buildings and structures in Matsuyama,Q10046960
Category:Buildings and structures in Meguro,Q8650410
Category:Buildings and structures in Mie Prefecture,Q8322793
"Category:Buildings and structures in Minato, Tokyo",Q8650437
Category:Buildings and structures in Miyagi Prefecture,Q8322851
Category:Buildings and structures in Miyazaki Prefecture,Q8322853
Category:Buildings and structures in Nagano (city),Q18741628
Category:Buildings and structures in Nagano Prefecture,Q8323045
"Category:Buildings and structures in Nagaoka, Niigata",Q18741370
Category:Buildings and structures in Nagasaki,Q10048135
Category:Buildings and structures in Nagasaki Prefecture,Q10048224
Category:Buildings and structures in Nagoya,Q8323060
Category:Buildings and structures in Naha,Q18740468
Category:Buildings and structures in Nara Prefecture,Q8323099
"Category:Buildings and structures in Nara, Nara",Q9618350
"Category:Buildings and structures in Narita, Chiba",Q18725198
Category:Buildings and structures in Nerima,Q8650328
Category:Buildings and structures in Niigata (city),Q9659652
Category:Buildings and structures in Niigata Prefecture,Q8323230
Category:Buildings and structures in Obihiro,Q21058047
Category:Buildings and structures in Odawara,Q20936625
Category:Buildings and structures in Okayama,Q9636897
Category:Buildings and structures in Okayama Prefecture,Q8323417
"Category:Buildings and structures in Okazaki, Aichi",Q18724583
Category:Buildings and structures in Okinawa Prefecture,Q8323431
Category:Buildings and structures in Osaka,Q8323502
Category:Buildings and structures in Osaka Prefecture,Q8323497
Category:Buildings and structures in Otaru,Q9631151
Category:Buildings and structures in Pingtung County,Q16790141
Category:Buildings and structures in Saga Prefecture,Q8324275
Category:Buildings and structures in Sagamihara,Q10199975
Category:Buildings and structures in Saitama Prefecture,Q8324296
Category:Buildings and structures in Sapporo,Q8324441
Category:Buildings and structures in Sendai,Q9562869
Category:Buildings and structures in Seoul,Q8324573
"Category:Buildings and structures in Seto, Aichi",Q28696486
Category:Buildings and structures in Shanghai,Q8324612
Category:Buildings and structures in Shibuya,Q8650595
Category:Buildings and structures in Shiga Prefecture,Q8324625
Category:Buildings and structures in Shimane Prefecture,Q8324633
Category:Buildings and structures in Shimonoseki,Q9543786
Category:Buildings and structures in Shinjuku,Q8324630
Category:Buildings and structures in Shizuoka (city),Q14479754
Category:Buildings and structures in Shizuoka Prefecture,Q8324636
Category:Buildings and structures in Singapore by type,Q29648407
Category:Buildings and structures in Suginami,Q8650524
Category:Buildings and structures in Tainan,Q16791324
Category:Buildings and structures in Taitō,Q8650354
Category:Buildings and structures in Taiwan by city,Q16791345
Category:Buildings and structures in Tokyo by ward,Q8649932
Category:Buildings and structures in Tottori (city),Q18743741
Category:Buildings and structures in Tottori Prefecture,Q8325261
Category:Buildings and structures in Toyama Prefecture,Q8325285
Category:Buildings and structures in Toyohashi,Q18739388
"Category:Buildings and structures in Urasoe, Okinawa",Q21058828
Category:Buildings and structures in Wakayama (city),Q9597011
Category:Buildings and structures in Wakayama Prefecture,Q8325646
Category:Buildings and structures in Yamagata Prefecture,Q8325990
Category:Buildings and structures in Yamaguchi (city),Q9632945
Category:Buildings and structures in Yamaguchi Prefecture,Q8325988
Category:Buildings and structures in Yamanashi Prefecture,Q8325987
Category:Buildings and structures in Yokohama,Q10081841
"Category:Buildings and structures in Yokosuka, Kanagawa",Q18726919
Category:Buildings and structures in Zhejiang,Q8326082
Category:Buildings and structures in Ōita Prefecture,Q9610138
"Category:Buildings and structures in Ōta, Tokyo",Q8650708
Category:Buildings and structures in Ōtsu,Q9613214
Category:Buildings and structures infobox templates,Q6330410
Category:Buildings and structures of Korea under Japanese rule,Q9680487
Category:Buildings and structures stub templates,Q65708529
Category:Buildings in Abashiri,Q21058024
"Category:Buildings in Abeno-ku, Osaka",Q28047089
"Category:Buildings in Ageo, Saitama",Q27674015
Category:Buildings in Aichi prefecture by municipality,Q27674224
Category:Buildings in Aikawa Town,Q115946265
"Category:Buildings in Aira, Kagoshima",Q27674187
Category:Buildings in Akashi,Q21058033
"Category:Buildings in Akiruno, Tokyo",Q21058673
Category:Buildings in Akita prefecture by municipality,Q28696261
Category:Buildings in Amagasaki,Q9632345
Category:Buildings in Anamizu Town,Q27901014
Category:Buildings in Aomori prefecture by municipality,Q28696256
Category:Buildings in Awa City,Q27674126
Category:Buildings in Azumino,Q27673906
Category:Buildings in Chiba prefecture by municipality,Q28696266
"Category:Buildings in Chichibu, Saitama",Q32659405
Category:Buildings in Chigasaki City,Q18738043
"Category:Buildings in Chigasaki, Kanagawa",Q18738043
Category:Buildings in Chihayaakasaka Village,Q27829589
"Category:Buildings in Chino, Nagano",Q28696534
"Category:Buildings in Chiryu, Aichi",Q29900682
"Category:Buildings in Choshi, Chiba",Q21059050
"Category:Buildings in Chuo Ward, Kumamoto City",Q28467762
"Category:Buildings in Chuo-ku, Fukuoka",Q28467737
"Category:Buildings in Chuo-ku, Kobe",Q27069630
"Category:Buildings in Chuo-ku, Niigata",Q28046990
"Category:Buildings in Chuo-ku, Osaka",Q18723674
"Category:Buildings in Chuo-ku, Saitama",Q28695448
"Category:Buildings in Daisen, Akita",Q27900951
"Category:Buildings in Daito, Osaka",Q27829592
Category:Buildings in Echizen Town,Q27901022
Category:Buildings in Echizen city,Q27673908
Category:Buildings in Ehime prefecture by municipality,Q27674209
Category:Buildings in Ena,Q21058735
Category:Buildings in Fuefuki City,Q27901026
Category:Buildings in Fujieda,Q27674035
"Category:Buildings in Fujiidera, Osaka",Q28696468
"Category:Buildings in Fujikawaguchiko, Yamanashi",Q110884382
"Category:Buildings in Fujimi, Saitama",Q27673987
"Category:Buildings in Fujimino, Saitama",Q27673986
Category:Buildings in Fujinomiya,Q27673847
"Category:Buildings in Fujioka, Gunma",Q32660335
Category:Buildings in Fujisato Town,Q61008888
"Category:Buildings in Fujiyoshida, Yamanashi",Q32657492
"Category:Buildings in Fukuchiyama, Kyoto",Q27674087
Category:Buildings in Fukui prefecture by municipality,Q27674229
Category:Buildings in Fukuroi City,Q29900669
Category:Buildings in Fukushima City,Q10231184
Category:Buildings in Fukushima Prefecture by Municipality,Q28696262
Category:Buildings in Fukushima prefecture by municipality,Q28696262
"Category:Buildings in Fukushima-ku, Osaka",Q24869800
Category:Buildings in Fukuyama,Q18728169
"Category:Buildings in Funabashi, Chiba",Q18737851
"Category:Buildings in Fushimi-ku, Kyoto",Q28091508
Category:Buildings in Gero,Q27673896
Category:Buildings in Gifu Prefecture by Municipality,Q27674226
"Category:Buildings in Ginowan, Okinawa",Q21057920
"Category:Buildings in Gobo, Wakayama",Q28696125
Category:Buildings in Gojo,Q21080574
"Category:Buildings in Gose, Nara",Q28696243
Category:Buildings in Gotemba,Q28696505
Category:Buildings in Gujo,Q27673897
"Category:Buildings in Habikino, Osaka",Q27674058
Category:Buildings in Hachinohe,Q9570337
"Category:Buildings in Hakata-ku, Fukuoka",Q28696057
"Category:Buildings in Hakusan, Ishikawa",Q27673910
"Category:Buildings in Hamada, Shimane",Q21059278
"Category:Buildings in Hamura, Tokyo",Q32659533
"Category:Buildings in Hanamaki, Iwate",Q21059274
Category:Buildings in Hanno City,Q21059296
"Category:Buildings in Hanno, Saitama",Q21059296
Category:Buildings in Hashima,Q27673892
"Category:Buildings in Hashimoto, Wakayama",Q28696130
"Category:Buildings in Heguri, Nara",Q28696250
"Category:Buildings in Hekinan, Aichi",Q28696490
Category:Buildings in Hida,Q27673891
"Category:Buildings in Higashi-ku, Fukuoka",Q28467739
"Category:Buildings in Higashi-ku, Sapporo",Q28108762
"Category:Buildings in Higashikurume, Tokyo",Q32659545
"Category:Buildings in Higashimatsuyama, Saitama",Q27673990
"Category:Buildings in Higashinada-ku, Kobe",Q28467768
"Category:Buildings in Higashinari-ku, Osaka",Q28199214
"Category:Buildings in Higashiomi, Shiga",Q18726552
"Category:Buildings in Higashiosaka, Osaka",Q21059408
Category:Buildings in Higashiyama Ward,Q28091512
"Category:Buildings in Higashiyama-ku, Kyoto",Q28091512
"Category:Buildings in Higashiyamato, Tokyo",Q21059405
"Category:Buildings in Hikone, Shiga",Q27674090
"Category:Buildings in Hirado, Nagasaki",Q21059421
Category:Buildings in Hirakata,Q18726637
"Category:Buildings in Hirano-ku, Osaka",Q28199212
"Category:Buildings in Hiratsuka, Kanagawa",Q21059424
"Category:Buildings in Hirokawa Town, Wakayama Prefecture",Q28696131
"Category:Buildings in Hirosaki, Aomori",Q18725005
Category:Buildings in Hiroshima Prefecture by Municipality,Q27674213
"Category:Buildings in Hitachi, Ibaraki",Q18725890
Category:Buildings in Hokkaido by municipality,Q28696255
"Category:Buildings in Hokuto, Yamanashi",Q27901029
"Category:Buildings in Hyogo-ku, Kobe",Q27499756
Category:Buildings in Ibaraki Prefecture by Municipality,Q28696263
"Category:Buildings in Ibaraki, Osaka",Q18738171
"Category:Buildings in Ichihara, Chiba",Q21058053
"Category:Buildings in Ichikawa, Chiba",Q18724769
"Category:Buildings in Ide, Kyoto",Q123819173
Category:Buildings in Iiyama,Q27673903
"Category:Buildings in Iizuka, Fukuoka",Q32658372
"Category:Buildings in Ikeda, Osaka",Q27674073
"Category:Buildings in Iki, Nagasaki",Q27674180
"Category:Buildings in Imabari, Ehime",Q9562350
"Category:Buildings in Imari, Saga",Q27992969
"Category:Buildings in Imizu, Toyama",Q21058904
"Category:Buildings in Ina, Nagano",Q28696530
Category:Buildings in Inami Town,Q28696076
Category:Buildings in Ine,Q28696470
"Category:Buildings in Iruma, Saitama",Q27674013
"Category:Buildings in Ise, Mie",Q18721906
Category:Buildings in Isesaki,Q28694926
"Category:Buildings in Ishigaki, Okinawa",Q10204969
Category:Buildings in Ishii Town,Q27829767
Category:Buildings in Ishikawa Prefecture by Municipality,Q27674230
"Category:Buildings in Ishinomaki, Miyagi",Q21058912
Category:Buildings in Itoshima City,Q32660229
"Category:Buildings in Itoshima, Fukuoka",Q32660229
"Category:Buildings in Iwade, Wakayama",Q27499729
"Category:Buildings in Iwaki, Fukushima",Q9434041
"Category:Buildings in Iwata, Shizuoka",Q27674037
Category:Buildings in Iwate prefecture by municipality,Q28696257
"Category:Buildings in Iwatsuki-ku, Saitama",Q28046997
"Category:Buildings in Izumi, Osaka",Q27674070
"Category:Buildings in Izumisano, Osaka",Q27674071
"Category:Buildings in Izumo, Shimane",Q27674188
Category:Buildings in Izunokuni,Q28696501
Category:Buildings in Japan by year of completion,Q66233497
Category:Buildings in Japan completed in 1906,Q67300588
Category:Buildings in Japan completed in 1919,Q67295555
Category:Buildings in Japan completed in 1925,Q67294312
Category:Buildings in Japan completed in 1926,Q67294189
Category:Buildings in Japan completed in 1930,Q67195925
Category:Buildings in Japan completed in 1937,Q67195685
Category:Buildings in Japan completed in 1940,Q67194532
Category:Buildings in Japan completed in 1954,Q67168588
Category:Buildings in Japan completed in 1957,Q67168552
Category:Buildings in Japan completed in 1980,Q66765166
Category:Buildings in Japan completed in 1986,Q66765155
Category:Buildings in Japan completed in 1988,Q66765148
Category:Buildings in Japan completed in 1990,Q66371612
Category:Buildings in Japan completed in 1991,Q66371565
Category:Buildings in Japan completed in 1994,Q66371417
Category:Buildings in Japan completed in 2005,Q66310076
Category:Buildings in Japan completed in 2010,Q66280068
Category:Buildings in Japan completed in 2013,Q66279647
Category:Buildings in Japan completed in 2014,Q66279502
Category:Buildings in Japan completed in 2015,Q66279293
Category:Buildings in Japan completed in 2020,Q86321207
"Category:Buildings in Jonan-ku, Fukuoka",Q28467741
"Category:Buildings in Joto-ku, Osaka",Q28199225
"Category:Buildings in Kaga, Ishikawa",Q27674045
Category:Buildings in Kahoku Town,Q27900958
"Category:Buildings in Kainan, Wakayama",Q27499728
Category:Buildings in Kaiyo Town,Q27674125
Category:Buildings in Kaizu,Q29900664
Category:Buildings in Kakamigahara,Q9591957
Category:Buildings in Kakegawa,Q18725267
Category:Buildings in Kakuda City,Q27900945
"Category:Buildings in Kameoka, Kyoto",Q27829711
"Category:Buildings in Kameyama, Mie",Q27829732
"Category:Buildings in Kamigyo-ku, Kyoto",Q28091515
Category:Buildings in Kamitonda Town,Q28696121
"Category:Buildings in Kan'onji, Kagawa",Q27829764
Category:Buildings in Kanagawa Ward,Q27069652
"Category:Buildings in Kanagawa-ku, Yokohama",Q27069652
"Category:Buildings in Kanan, Osaka",Q27829616
Category:Buildings in Kanesaki Town,Q61011708
"Category:Buildings in Kanzaki, Saga",Q21057896
Category:Buildings in Karatsu,Q21057873
Category:Buildings in Kasai,Q29900696
"Category:Buildings in Kashihara, Nara",Q28696238
"Category:Buildings in Kashiwa, Chiba",Q27674022
"Category:Buildings in Kashiwara, Osaka",Q27674069
"Category:Buildings in Kato, Hyogo",Q27900749
"Category:Buildings in Katori, Chiba",Q27900995
"Category:Buildings in Katsuragi, Nara",Q28696240
