Q16	Canada
Q3530484	Tokunoshima
Q3541617	Tsubaki Grand Shrine
Q3541658	Tsuma Shrine
Q3541675	Tsuno Shrine
Q3571342	Yaizu Shrine
Q3594036	Ōmiya Hachiman Shrine
Q3610939	Singapore English
Q3610994	Matsuo-taisha Station
Q3622126	conceptual system
Q3624078	sovereign state
Q3791906	Takase Shrine
Q3910936	simple present
Q3919906	Category:Literary works
Q3936326	Embassy of Japan, Moscow
Q3952369	Shinto sects and schools
Q3959372	shen
Q3959472	Jingū Shikinen Sengū
Q4025884	concrete number
Q4114391	Sytin Military Encyclopedia
Q4161006	Mino dialect
Q4161013	Hida dialect
Q4173137	Jewish Encyclopedia of Brockhaus and Efron
Q4189293	rank
Q4212085	kanazukai
Q4218095	2:1
Q4346747	Ban Nobutomo
Q4350771	Japan 2005 Census
Q4391019	WikiProject Categories
Q4398224	Japan–Russia border
Q4398229	Russian State
Q4407806	Sannō Shintō
Q4499760	Japan National Route 169
Q4532135	Encyclopedic Lexicon
Q4532138	Granat Encyclopedic Dictionary
Q4567134	Caribbean English
Q4656150	Wikimedia project policies and guidelines page
Q4696584	Aichi Gokoku Shrine
Q4709243	Albania–Japan relations
Q4724117	Algeria–Japan relations
Q4981905	Indonesia–Japan relations
Q4989342	Help:Category
Q5034876	Cape Irizaki
Q5035799	capitalization in English
Q5121687	circulation element
Q5256018	demographics of the Empire of Japan
Q5329170	Anglo-Frisian
Q5367188	transfer of sovereignty over Okinawa
Q5368745	official history
Q5368920	Astragalus sinicus
Q5369754	Embassy of Japan, London
Q5374198	economy of the Empire of Japan
Q5374249	relative frequency
Q5378197	English Braille
Q5378671	English subjunctive
Q5460604	Wikipedia:List of articles all languages should have
Q5463833	The National Terminology Database for Irish
Q5607395	Grenada–Japan relations
Q5611262	Group on Earth Observations
Q5642451	Category:Names
Q5674013	Hart's Rules
Q5943188	Hungary–Japan relations
Q6031707	Fukuhara-kyō
Q6079748	Iseshi Station
Q6089533	Isuzugawa Station
Q6122670	Māori
Q6141299	Category:Sacred texts
Q6144345	Southern American English
Q6148868	Template:Disambiguation
Q6158155	Consulate-General of Japan, Houston
Q6159216	Japan–European Union relations
Q6159227	Japan–Latin America relations
Q6159231	Japan–Malaysia relations
Q6159244	Japan–Saudi Arabia relations
Q6159249	Japan–South Korea relations
Q6159254	Japan–Trinidad and Tobago relations
Q6173448	Wikipedia:Vital articles/Level/4
Q6334572	Category:Deaths in Japan
Q6377645	Category:Lighthouses in Finland
Q6389422	Kenkyūsha’s New Japanese-English Dictionary
Q6416401	Category:Titles
Q6439308	Template:Category link
Q6455346	Kōzakihana
Q6498663	fire department
Q6501380	Chinese people
Q6511158	Category:Hierarchy
Q6526777	Category:Gifu Prefecture
Q6545942	light-on-dark color scheme
Q6581072	female
Q6581097	male
Q6585753	Portal:Japan
Q6587101	Category:Shinto shrines
Q6597144	Template:En icon
Q6628770	Finland–Japan relations
Q6671777	structure
Q6796749	Category:Empire of Japan
Q6840573	Category:English-language films
Q6899744	Japan–Mongolia relations
Q6958481	Nagao Shrine
Q6994491	Category:Japanese people
Q7007362	Awashima Shrine
Q7033019	Nigerian English
Q7108964	Cable-hachimangū-sanjō Station
Q7112310	outline of Japan
Q7112524	Category:People from Gifu Prefecture
Q7140310	Category:Films shot in Japan
Q7200373	place–manner–time
Q7240943	present continuous
Q7269768	Quebec English
Q7445004	Security Treaty Between the United States and Japan
Q7463305	Category:Births in Japan
Q7470559	Category:Shinto
Q7473516	Tokyo
Q7484128	Category:English-language music
Q7496289	Shiga district
Q7553491	Soekami district
Q7637174	Sumiyoshitaisha Station
Q7639029	Template:Category link without namespace
Q7848226	Trustpilot
Q7878210	Ujiyamada Station
Q7882536	non-denominational
Q7884923	Unified English Braille
Q7886981	ASEAN Regional Forum
Q7888721	stress-timed language
Q7923975	Category:English language
Q7978954	Category:Burials in Japan
Q7981952	Q7981952
Q8056784	YouTube API
Q8081467	Category:Births in Gifu prefecture
Q8083538	Template:Japan topics
Q8104190	Category:Wikipedia categories named after literary texts
Q8191796	Mizuhanome
Q8423370	Wikimedia France
Q8487081	WikiProject Books
Q8491372	WikiProject Disambiguation
Q8503406	WikiProject Countries
Q8503454	WikiProject Asia
Q8504015	WikiProject Japan
Q8533525	Category:Images of signs
Q8607401	Category:Maps of Japan
Q8737310	Category:Shinto kami
Q8744456	Category:Signage
Q8944860	flag of Gifu prefecture
Q9072262	Category:People:Japan (people who live or lived in Japan)
Q9073584	increase
Q9102357	Template:Gifu
Q9149515	Embassy of Japan,  Warsaw
Q9232453	Category:Religious texts
Q9517826	Category:Ise Shrine
Q9540901	Category:Shikinaisha in Mikawa Province
Q9543188	Category:Shikinaisha in Kazusa Province
Q9543387	Category:Shikinaisha in Kōzuke Province
Q9543692	Category:Shikinaisha in Shimōsa Province
Q9543731	Category:Shikinaisha in Shimotsuke Province
Q9551091	Category:Shikinaisha in Tango Province
Q9551134	Category:Shikinaisha in Tanba Province
Q9563634	Category:Shikinaisha in Iyo Province
Q9563778	Category:Shikinaisha in Ise Province
Q9564254	Category:Shikinaisha in Izu Province
Q9564390	Category:Shikinaisha in Iga Province
Q9564903	Category:Shikinaisha in Hōki Province
Q9564980	Category:Shikinaisha in Tajima Province
Q9565883	Category:Shikinaisha in Sado Province
Q9567719	Category:Shikinaisha in Shinano Province
Q9568451	Category:Shikinaisha in Bitchū Province
Q9568470	Category:Shikinaisha in Bizen Province
Q9568487	Category:Shikinaisha in Bingo Province
Q9575983	Category:Shikinaisha in Dewa Province
Q9576036	Category:Shikinaisha in Izumo Province
Q9578530	Category:Shikinaisha in Kaga Province
Q9595758	Category:Enumerations of 22
Q9596712	Category:Shikinaisha in Suo Province
Q9598066	Category:Shikinaisha in Izumi Province
Q9600351	Category:Shikinaisha in Inaba Province
Q9600851	Category:State Shinto
Q9602616	Category:Shikinaisha in Tosa Province
Q9607557	Category:Shikinaisha in Iki Island
Q9610759	Category:Shikinaisha in Yamato Province
Q9616530	Category:Shikinaisha in Ōsumi Province
Q9623234	Category:Shikinaisha in Awa Province (Chiba)
Q9623369	Category:Shikinaisha in Aki Province
Q9625679	Category:Shikinaisha in the Imperial Palace
Q9629863	Category:Shikinaisha in Tsushima
Q9632445	Category:Shikinaisha in Owari Province
Q9633685	Category:Shikinaisha in Yamashiro Province
Q9636324	Category:Maps of Gifu prefecture
Q9642276	Category:Shikinaisha in Hitachi Province
Q9649851	Category:Shikinaisha in Shima Province
Q9655939	Category:Shikinaisha in Settsu Province
Q9656021	Category:Shikinaisha in Harima Province
Q9661284	Category:Shikinaisha in Hyūga Province
Q10013748	Category:Categories
Q10090667	Category:Shikinaisha in Musashi Province
Q10119327	Category:Shikinaisha in Kawachi Province
Q10138763	Category:Shikinaisha in Awaji Province
Q10190364	Category:Shikinaisha in Kai Province
Q10200159	Category:Shikinaisha in Sagami Province
Q10209549	Category:Shikinaisha in Iwami Province
Q10248848	Category:Shikinaisha in Chikuzen Province
Q10248992	Category:Shikinaisha in Chikugo Province
Q10253555	Category:Shikinaisha in Kii Province
Q10302194	manually coded English
Q10343950	Higashiyama
Q10372494	Civil Code of Japan
Q10444949	Shinbutsu Reijō Junpai no Michi
Q10855289	Koma Shrine
Q10856962	anthroponym
Q10863233	Imao Domain
Q10863261	Iwamura Domain
Q10863356	Gujō Domain
Q10863458	Naegi Domain
Q10863469	Nomura Domain
Q10863796	Ichinomiya Nukisaki Shrine
Q10867478	Uesugi Shrine
Q10876391	Wikipedia language edition
Q10884977	Izanagi Jingū
Q10885872	Sumiyoshi district
Q10925104	Shijōnawate Shrine
Q10928586	Ikasuri no Kami
Q10935105	Ōyamakui
Q10936701	Ōmononushi
Q10981345	Otagi district
Q11027445	Portal:Shinto
Q11059454	Ichikishimahime
Q11059754	Futsunomitama
Q11071121	Junior First Rank
Q11071123	Junior Third Rank
Q11071125	Junior Fifth Rank
Q11071127	Junior Fourth Rank
Q11073095	Ikisu Shrine
Q11088805	Kasuga no Kami
Q11109963	Portal:English
Q11123258	Senior First Rank
Q11123261	Senior Third Rank
Q11123277	Senior Second Rank
Q11123280	Senior Fifth Rank
Q11123338	Senior Fourth Rank
Q11129340	Keta Shrine
Q11129346	Kehi Jingū
Q11173679	Chōkaisan Ōmonoimi Shrine
Q11183785	Znak
Q11185210	118
Q11239221	Matsue Gokoku Shrine
Q11253490	Sorihashi Bridge
Q11259219	Enoshima Shrine
Q11266439	Wikimedia template
Q11268869	Japanese long vowels
Q11275441	Hajikami Shrine
Q11309938	Japan
Q11353282	Ichisuka Shrine
Q11354355	Sandai Kyakushiki
Q11354664	Miwa Shrine
Q11355073	Miyake Shrine
Q11355207	Mitsumine Shrine
Q11357857	Mie Gokoku Shrine
Q11358379	Kamiichinomiya Ōawa Shrine
Q11358693	Kōsaka Shrine
Q11360119	Kamikoso Shrine
Q11361262	Shimotate Matsubara Shrine
Q11361528	Shimoshiotsu Shrine
Q11364246	Nakayama Shrine
Q11364695	Nakashima Shrine
Q11364920	Nakagawa Shrine
Q11368919	Kukumiohiko Shrine
Q11368920	Kukuhi Shrine
Q11368944	Kusanagi Shrine
Q11369065	Osamu Kubota
Q11369376	Kuga Shrine
Q11369609	Kume no Miagata Shrine
Q11369798	Oka Shrine
Q11371148	Kotonomama Hachimangū
Q11371572	Nisho Yamada Shrine
Q11372582	Gosha & Suwa Shrine
Q11373321	Iinoya-gū
Q11373608	Io Shrine
Q11373756	Igusa Hachimangū
Q11376337	Nikabe Shrine
Q11376765	Imadegawa Street
Q11376859	Imamiya Ebisu Shrine
Q11378870	Isagu Shrine
Q11378911	Ikagashi Shrine
Q11378912	Ikanashi Shrine
Q11378969	Isemikoto Shrine
Q11378990	Iseyama Koutai-jingu
Q11379183	Ikonahime no Mikoto Shrine
Q11379249	Iwatsuhime Shrine
Q11379270	Itahato Shrine
Q11379271	Itakiso Shrine
Q11379315	Inu Shrine
Q11379320	Ifuribe Shrine
Q11379321	Ibuki Shrine
Q11379323	Izanagi Shrine
Q11379365	Izanagi Shrine
Q11379396	Isono Shrine
Q11379658	Iwanonishi Shrine
Q11379707	Ime Shrine & Hachimangu
Q11380543	Izusahime Shrine
Q11380847	Itate Shrine
Q11380848	Idate Shrine
Q11380920	Izanagi Shrine
Q11381009	Isurugihiko Shrine
Q11381016	Ikagu Shrine
Q11381529	Tomobayashiuji Shrine
Q11381803	Otaue Shinto Service
Q11381815	Sumiyoshi-taisha Jindaiki
Q11381858	Sumiyoshi Shrine
Q11381863	Sumiyoshi Shrine
Q11381874	Sumiyoshi Matsuri
Q11381878	Sumiyoshi Angū
Q11381890	Sumiyoshitoriimae Station
Q11381946	Japan Resident Registry
Q11382602	Sakuta Shrine
Q11382603	Sakunado Shrine
Q11383014	Saeno Shrine
Q11383015	Sabi Shrine
Q11383089	Sawaragi Shrine
Q11383230	Sahimeyama Shrine
Q11385140	Samatado Shrine
Q11385469	Reisai
Q11385699	Horowasan Haushiwake Shrine
Q11387080	Yamato no ōkuni tama no kami
Q11387089	Shidori Shrine
Q11387216	Takeminakata & Minomikotohikokamiwake Shrine
Q11387225	Takeda Suga Shrine
Q11387775	moto-Ise
Q11390679	Yatagarasu Shrine
Q11390855	Yao Shrine
Q11390907	Siege of Hachiman
Q11390939	Hachiman shrine
Q11391120	Yagokorōoichihiko Shrine
Q11391709	Hasshinden
Q11392062	Kuchi Shrine
Q11392186	Public Offices Election Act
Q11392468	Mukoyama Shrine
Q11392795	Hyōzu Taisha
Q11392796	Hyōzu Shrine
Q11393652	Himeji Gokoku Shrine
Q11393653	Hyogo Kobe Gokoku Shrine
Q11393842	Utsutsu Shrine
Q11394400	Uchi Shrine
Q11395081	Fuji Omuro Sengen Shrine
Q11395685	Izumi Shrine
Q11395802	Dewa Shrine
Q11396303	printed book
Q11397050	Sakito Shrine
Q11397359	Sakitama Shrine
Q11397865	Sakitori Shrine
Q11398475	Kasado Shrine
Q11398477	Kasami Shrine
Q11398661	Kamo Shrine
Q11398694	Kabasan Saenazumi Shrine
Q11398697	Kabasan Shrine
Q11398800	Kashikuri Shrine
Q11399719	Kaka Shrine
Q11399920	chokushi
Q11400187	Katsura Shrine
Q11401286	Kitaguchi Hongū Fuji Sengen Shrine
Q11403863	Kitabatake Shrine
Q11403959	Kitadate Shrine
Q11404253	Kitano
Q11404273	Grand Kitano Tea Ceremony
Q11404276	Kitano Tenjinsha
Q11405029	Tōchi no Miagata Nimasu Shrine
Q11406714	Chiba Gokoku Shrine
Q11409089	Ikishiro Shrine
Q11410984	Koshiō Shrine
Q11413504	Yoshida
Q11414032	Yoshida Shrine
Q11414497	Yoshino Jingū
Q11415986	Mukō Shrine
Q11417045	Ajima Shrine
Q11418296	Kanko Shrine
Q11418537	Karasaki Shrine
Q11418605	Karasawayama Shrine
Q11420029	Yohashira Shrine
Q11421390	Kokuzō Shrine
Q11423916	Embassy of Japan, Bangkok
Q11425171	Sakamoto
Q11425559	Sakahogi Shrine
Q11425667	Ikasuri Shrine
Q11425829	Tarumi Shrine
Q11426120	Kiyama Shrine
Q11426287	Kinowa Shrine
Q11427995	Tsutsumine Shrine
Q11428033	Hōtoku Ninomiya Shrine
Q11428793	Shioyuhiko Shrine
Q11429413	Sunomata Shrine
Q11429659	Mefu Shrine
Q11430603	Takuhi Reshi Shrine
Q11430613	Takuzudama Shrine
Q11430618	Taki Shrine
Q11430652	Oonimasumishiritsuhiko Shrine
Q11430665	Take Shrine
Q11430676	Tagi Shrine
Q11430844	Taji Shrine
Q11430889	Tajihayahime Shrine
Q11430893	Tai Shrine
Q11431075	Taka-no-miya
Q11431090	Taga Shrine
Q11431309	Yagi Shrine
Q11432213	Ooi Shrine
Q11432214	Oi Shrine (Kyoto)
Q11432216	Oi Shrine (Shimada)
Q11432381	Ōyosami Shrine
Q11432652	Daibu Hachimangū
Q11433065	Ōsaki Shrine
Q11433429	Yamato-Okunitama Shrine
Q11433665	Okunitama Shrine
Q11433670	Ōkunitama Shrine
Q11434413	Ōmiyame Shrine
Q11434509	Ōtomi Shrine
Q11434556	Oyatsuhime Shrine
Q11434677	Ooyama Shrine
Q11434713	Ōyama Afuri Shrine
Q11435100	Ōshima & Okitsushima Shrine
Q11435126	Ōkawakami Birafu Shrine
Q11435192	Ōkawa Shrine
Q11435419	Ōgata Shrine
Q11435424	Ōmiwa Shrine
Q11435950	Ōsugi Shrine
Q11436767	Ōke Shrine
Q11436783	Oominakami Shrine
Q11437230	Ōarai Isosaki Shrine
Q11437361	Otsu Shrine
Q11437478	Daikai Shrine
Q11437955	Ōta Shrine
Q11438245	Ōishi Shrine
Q11438318	Takeokami Shrine
Q11438336	Oomiwa Shrine
Q11438337	Oo Shrine
Q11438780	Ōtokoro Shrine
Q11438782	Omushi Shrine (Yosano)
Q11438783	Ōmushi Shrine (Echizen)
Q11439679	Ōnominato Shrine
Q11439718	Oono Shrine
Q11441628	Osaka Gokoku Shrine
Q11441891	Tairyō Shrine
Q11441957	Ōtakayama Shrine
Q11442221	Amasashinowake Shrine
Q11442354	Amawake Toyohime Shrine
Q11442508	Ame-Futotama-no-Mikoto Shrine
Q11442597	Ameno Shirahano Shrine
Q11442907	Amaterasu Ōmikami Takakura Shrine & Iwato Shrine
Q11443184	Amanoiwatate Shrine
Q11443243	Tenjin River
Q11443949	Taiheizan-Miyoshi Shrine
Q11444481	Futonorito Shrine
Q11444944	Nagu Shrine
Q11446997	Myōgi Shrine
Q11447213	Tsumashina Shrine
Q11447235	Anesaki Shrine
Q11447922	Kobimine Shrine
Q11448984	Enomiya Shrine
Q11449116	Uzukamikoto Shrine
Q11449252	Unaguhime Shrine
Q11449442	Umorihiko Shrine
Q11449531	Uwase Shrine
Q11449611	Uge Shrine
Q11450252	Ani Shrine
Q11451153	Afuku Kahaku Shrine
Q11451877	Munakata Shrine
Q11451878	Munakata Shrine
Q11451946	Soganimasu Sogatsuhiko Shrine
Q11452023	Sō Shrine
Q11452075	kanjin
Q11452125	East Asian government position
Q11452649	Hodosan Shrine
Q11453994	Miyagi Gokoku Shrine
Q11455054	Miyauragū
Q11455616	Sukunakawata Shrine
Q11455657	Shukuin Tongū
Q11456842	Toyama Gokoku Shrine
Q11457413	Sagae Hachinangū
Q11457434	Samuta Shrine
Q11458547	Itatehyōzu Shrine
Q11458557	Imizu Shrine
Q11459557	Ozeki Shrine
Q11459659	Fujisan Shimomiya Omuro Sengen Shrine
Q11460493	Ogawatsuki Shrine
Q11460773	Komikado Shrine
Q11460785	Ōbe Shrine
Q11462117	Ogura Shrine
Q11462126	Otsuki-taisha
Q11462132	Otsuki Shrine
Q11463293	Obori Shrine
Q11463552	Komushi Shrine
Q11465296	Owari Ōkunitama Shrine
Q11465762	Miyake Shrine (Matsubara)
Q11468583	Yamagata Gokoku Shrine
Q11469919	Yamanashi Gokoku Shrine
Q11469988	Yamatsuteru Shrine
Q11470037	Sannō Faith
Q11470816	Yamashina Shrine
Q11471462	Gifu Prefectural Archives
Q11471571	Gifu 1st district
Q11471573	Gifu 2nd district
Q11471575	Gifu 3rd district
Q11471576	Gifu 4th district
Q11471577	Gifu 5th district
Q11471583	Gifu Prefectural Assembly
Q11471858	Gifu at-large district
Q11473738	Okada Kamo Shrine
Q11474068	Iwai Onsen
Q11477020	Shimaana Shrine
Q11477816	Kawawa Shrine
Q11479874	Kojino Shrine
Q11479957	Tatsumi Shrine
Q11480773	Fudaten Shrine
Q11481110	Morooka Kumano Shrine
Q11481301	Tokoyokihime Shrine
Q11481867	Hatahisa Shrine
Q11482330	Hiratsuka Hachimangū
Q11483250	Hirahama-hachimangū
Q11483495	Heguri Nimasukishi Shrine
Q11483501	Heguri district
Q11484399	Hiromine Shrine
Q11485625	Hirose Shrine
Q11485642	Hirose district
Q11486118	Watarai Kunimi Shrine
Q11486120	Watarai Ōkunitama Hime Shrine
Q11486644	Tatsushima Meoyanomikoto Shrine
Q11486674	Takemimakuri Shrine
Q11486985	Shikijō district
Q11487078	Yuge Shrine
Q11487344	Kōbundō
Q11487792	Mito Shrine, Higashiosaka
Q11488721	Junior Second Rank
Q11488762	Mikami Shrine
Q11488771	Mii Shrine
Q11488772	Mii Shrine
Q11488774	Mii Shrine
Q11488802	Mito Shrine
Q11488875	Misaka Shrine
Q11489014	Mikata Shrine
Q11489249	Miho Jinja
Q11489340	Mino Agatanushi Shrine
Q11490717	Iminomiya Shrine
Q11490800	Shinobugaoka Shrine
Q11490808	Shijiki Shrine
Q11490845	Shiwa Inari Shrine
Q11491171	Shikaumi Shrine
Q11492258	Onji Shrine
Q11492453	Ena Shrine
Q11493040	Ogami Shrine, Kishiwada
Q11493042	Okami Shrine
Q11493043	Oi Shrine
Q11495515	Narumi Shrine
Q11496939	Tamukeyama Hachiman Shrine
Q11497169	Tenaga Shrine
Q11498399	Iya Shrine
Q11498617	Make Shrine
Q11499217	Minume Shrine
Q11499487	Aekuni Shrine
Q11499585	Keiman Shrine
Q11500716	Hii Shrine
Q11500718	Hida Shrine
Q11501518	Niiname-no-Matsuri
Q11502106	Niikawa Shrine (Toyama)
Q11503581	Niigata Gokoku Shrine
Q11505052	Hiyoshi Tōshō-gū
Q11505112	Himukai-daijingū
Q11505275	Hioka Shrine
Q11505566	Japan–Singapore relations
Q11505781	head of state of Japan
Q11505877	local assemblyperson of Japan
Q11507109	Three Great Tenjin Shrines
Q11508656	100 Fine Bridges of Japan
Q11509530	Hie Shrine
Q11509543	Hine Shrine
Q11509681	Himure Hachimangū
Q11510248	Hioki Shrine (Nagoya)
Q11510250	Hioki Shrine
Q11510296	Japan–Portugal relations
Q11510443	Japan–Spain relations
Q11510526	Kusabe Shrine
Q11510876	Asakura Shrine
Q11511196	Hayasuihime Shrine
Q11513508	Kasuga
Q11513596	Five storied pagoda of Kasuga Taisha
Q11513658	Sacred tree of Kasuga
Q11513659	Kasuga Shrine (Kitakyushu)
Q11513681	Kasuga-sai
Q11513690	Kasuga Wakamiya On-Matsuri Festival
Q11516023	Tsukiyomi-no-miya
Q11516161	Tsukinami-no-Matsuri
Q11516217	Tsukiyomi Shrine
Q11516720	Arima Shrine
Q11516854	Aruka Shrine
Q11517328	Asakura Shrine
Q11517384	Asayama Shrine
Q11517708	Asadatehiko Shrine
Q11518370	Konoshima Nimasu Amateru Mitama Shrine
Q11521781	Sugihara Shrine
Q11523053	Murakuni Masumida Shrine
Q11523074	Muraya-ni-masu-Mifutsuhime Shrine
Q11523148	Murayama Shrine
Q11523149	Murayama Shrine
Q11523682	Kinomiya Shrine
Q11523697	Kiburi Shrine
Q11524717	Tokyo Daijingu
Q11526330	Kannon-ji Temple, Kitano-tenmangu
Q11526498	Higashiōji Street
Q11526673	Azumayanuma Shrine
Q11529677	Matsuo shrine
Q11532402	Matsusaka Shrine
Q11533249	Hayashi Shrine
Q11535866	Kurihara Shrine (Takayama)
Q11536498	ge and shi
Q11537864	Sakurai Shrine
Q11537980	Sakurayama Hachimangū
Q11541842	Enomoto Shrine
Q11542024	Tsukimoto Shrine
Q11543413	Yokota Shrine
Q11544302	Tachibana Shrine
Q11544725	Kushida Shrine, Imizu
Q11544726	Kushida Shrine (Matsusaka)
Q11545333	Todorokihimenomikoto Shrine
Q11545988	Muko district
Q11547467	Hinumanai Shrine
Q11547502	Hitsusa Shrine
Q11548072	Keta-hongū
Q11548073	Keta Shrine
Q11548384	Minakuchi Shrine
Q11548449	Mio Shrine
Q11548558	Mito Shrine
Q11548625	Mito Tōshō-gū
Q11549109	Mizuwakasu Shrine
Q11549203	Mizutani Shrine
Q11549548	Hikami Anego Shrine
Q11553074	Sasaki Shrine
Q11553081	Isagoda Shrine
Q11553360	Kawamata Shrine
Q11553387	Kawachi Kunitama Shrine
Q11554446	Nunakuma Shrine
Q11554710	Izumi Inoue Shrine
Q11554908	Izumianashi Shrine
Q11555072	Hokki Shrine
Q11555428	Hakunu Shrine
Q11555561	Hahaki Shrine
Q11555577	Hanifu Shrine
Q11555598	Hajikami Shrine
Q11556984	Azai Shrine (Ichinomiya)
Q11558526	Fushima Shrine (Iyo Province)
Q11559097	Kai Shrine
Q11559098	Watatsumi Shrine (Kobe)
Q11560019	Fukagawa Shrine
Q11560040	Fukashi Shrine
Q11560278	Fukami Shrine
Q11561593	Shibukawa Shrine
Q11562965	Unzen Onsen Shrine
Q11563607	Yudonosan Shrine
Q11563671	Yusen Shrine
Q11563773	Yu Shrine
Q11564491	Mizokui Shrine
Q11564971	Shiga Gokoku Shrine
Q11565409	Nuribe Shrine
Q11566232	Hamada Gokoku Shrine
Q11566292	Takihara-no-miya
Q11566947	Honoo-Honome Shrine
Q11567184	Inatsuhiko Shrine
Q11568887	Kumano Taisha
Q11569065	Atsuhitakahiko Shrine
Q11569496	Niwa Shrine
Q11569554	Katano Shrine
Q11569609	Katayamahiko Shrine
Q11570247	Gozu Tennō
Q11570305	Mure Shrine
Q11570647	Monoimina no Mikoto Shrine
Q11570699	Mononobe Shrine
Q11571746	Sayama Shrine
Q11571758	Sano Shrine (Nomi)
Q11572114	Sanage Shrine
Q11572141	Sarutahiko Shrine
Q11572397	Tamatsukuriyu Shrine
Q11572627	Tamashiki Shrine
Q11572702	Tamatsushima Shrine
Q11572730	Tamanooya Shrine
Q11572731	Tamanooya Shrine
Q11572773	Tamawakasu-no-Mikoto Shrine
Q11574285	Amakashi-ni-imasu Shrine
Q11574477	Ikukunitama Shrine
Q11574513	Ikushima Tarushima Shrine
Q11574575	Ikune Shrine
Q11576656	Tashima Shrine
Q11576978	Tamura Shrine
Q11576984	Tamura-no-dai
Q11577626	Yurahime Shrine
Q11577650	Yuzusame Shrine
Q11578102	Onouto Shrine
Q11578590	Unebiyamaguchi Shrine
Q11579592	Hakusan Shrine
Q11579597	Hakusan Shrine
Q11579831	Okera-sai
Q11580592	Shiratori Shrine (Toyama)
Q11580599	Shiratori Shrine
Q11581011	Kōtai Jingū
Q11581127	Tsutsumi Shrine
Q11581207	Yaku Shrine
Q11581351	Morioka Hachimangū
Q11581944	Ainame Festival
Q11582899	Manai Shrine
Q11583922	Yahagi Shrine, Yao
Q11584115	Yagawa Shrine
Q11584205	Yata ni Imasu Kushitamahiko Shrine
Q11584639	Chiryū Shrine
Q11584766	Isonokamifutsumitama Shrine
Q11585161	Ishizukuri Shrine
Q11585189	Ishikiri Tsurugiya Shrine
Q11585337	Iwazononiimasu Takumushitama Shrine
Q11586369	Ishikawa Gokoku Shrine
Q11586490	Ishimaki Shrine
Q11586510	Ihakurano Shrine
Q11586814	Iwashimizu-sai
Q11587134	Iwa Shrine
Q11587231	Isobe Shrine
Q11587232	Isobe Shrine
Q11587235	Iwatsutsukowake Shrine
Q11587853	Iwai Shrine
Q11588442	Gion shrine
Q11588450	Gion-zukuri
Q11588751	shinzō
Q11588802	Kanbara Shrine
Q11589488	Jingu Museum
Q11589490	Jingū Bunko
Q11589654	Kōzaki Shrine
Q11590317	Shinmei Shrine
Q11590334	Kamuhatori Shrine
Q11590647	Kanda Shrine
Q11590703	Jinja-cho
Q11590885	Kandani Shrine
Q11591025	shinkai
Q11591046	Kamitakatsuki Shrine
Q11591085	Saishu (Ise Shrine)
Q11591715	Fukui Shrine
Q11593728	Fukushima Gokoku Shrine
Q11595542	Akita Gokoku Shrine
Q11595950	Shinaga Shrine
Q11596454	Inasa Shrine
Q11596691	Inage Shrine
Q11596799	Inada Shrine
Q11597109	Hotaka Shrine
Q11597137	Tsugawa Shrine
Q11597229	Anashi-Nimasu Hyōzu Shrine
Q11597743	Kamayama Shrine
Q11597744	Kamado Shrine
Q11599927	Kasamatsu Prefecture
Q11602290	Second Shō Dynasty
Q11602724	Tomi Shrine
Q11602727	Toba Shrine
Q11602831	Chikuma Prefecture
Q11602835	Chikuma Shrine (Maibara)
Q11602876	Tsukubasan Shrine
Q11602932	Chikushi Shrine
Q11603300	Yakyū Inari Shrine
Q11603763	Shinokura Shrine
Q11603933	Komori Katte Shrine
Q11604472	Iibo Nimasu Amaterasu Shrine
Q11604560	Awai Shrine
Q11604651	Awaga Shrine
Q11604966	Kii district
Q11605050	Kishū Kaidō
Q11605710	Shibi Shrine
Q11605711	Shibi Shrine
Q11605965	Hosokawa Shrine
Q11606619	Yūki Shrine
Q11606829	Statistics Japan
Q11607305	Ayatokunaka Shrine
Q11608132	Agatanushi Shrine (Minokamo)
Q11608231	Orihata Shrine
Q11608777	Migukurumitama Shrine
Q11608847	Miwa Shrine (Higashisue, Setouchi)
Q11608848	Miwa Shrine
Q11608850	Miwa Shrine, Fuefuki
Q11608851	Miwa Shrine
Q11609908	Gunma Gokoku Shrine
Q11610064	Hakui Shrine
Q11610638	Oio Shrine
Q11610732	Miminashi Yamaguchi Shrine
Q11611103	Hijiri Shrine
Q11612065	Noki Shrine
Q11612128	Wakiko-hachimangū
Q11612891	Sakatoke Shrine
Q11613316	Yodo Shrine
Q11613317	Yodohime Shrine
Q11613492	Furufu Shrine
Q11613979	Funai Shrine
Q11615718	Hananagashimo Shrine
Q11616108	Kusano Shrine
Q11616123	Namura Shrine
Q11616187	Nyakuichi Ōji Shrine
Q11616546	Waguri Shrine
Q11616586	Wakae Shrine
Q11616983	Aga Shrine
Q11617261	Akanabe Shrine
Q11617516	Ibaraki Gokoku Shrine
Q11617924	Ibaraki Shrine
Q11618229	Kusanagi Shrine
Q11618386	Arai Shrine (Nantan)
Q11618425	Araki Shrine
Q11619171	Sugawara Tenmangū
Q11619342	Sugō Isobe Shrine
Q11619344	Sugo Shrine
Q11620885	Katsuragi Hitokotonushi Shrine
Q11620952	Katsuragi Futakami Shrine
Q11620954	Katsuraki ni Imasu Honoikaduchi Shrine
Q11620955	Katsuragi Mitoshi Shrine
Q11621139	Ashiinaba Shrine
Q11623214	Fujiwara no Yamakage
Q11623368	Fujiwara no Nagate
