page_title,qid
Hayashi Shrine (Q135069969),Q135069969
"Hayashi Shrine (Tonami, Hayashi)",Q135194942
"Hayashi Shrine (Tonami, Ransei)",Q135194943
Hayashino Shrine,Q135040352
Hayashino Shrine (Q135039280),Q135039280
Hayashino Shrine former site,Q135186207
Hayashino- Shrine,Q135039642
Hayashino- Shrine former site,Q135192774
Hayasuihime Shrine,Q11511196
Hayatamano Shrine,Q135040766
Hayatamawakenomikoto Shrine,Q134893135
Hayatsumushino Shrine,Q135040922
Hayatsumushiwakeno Shrine,Q135040900
Hazu Shrine,Q60988165
Heda Shrine,Q92443788
Heitano Shrine,Q135040239
Hekireki Shrine,Q135070147
Hekireki Shrine (Q135198763),Q135198763
Henakino Shrine,Q135040505
Hetsuhimeno Shrine,Q135040336
Hibara Shrine,Q135103456
Hibayamakume Shrine okumiya,Q135070111
Hibita Shrine,Q11547364
Hibita Shrine (Q11547458),Q11547458
Hichino Shrine,Q135039250
Hichino Shrine (Q135039296),Q135039296
Hichino Shrine (Q135040646),Q135040646
Hichino shrine Co-Enshrinement,Q135186326
Hida Shrine,Q11500718
Hie and Ōmizubetsu Shrines,Q135069684
Hie Shrine (Q135039877),Q135039877
Hie Shrine (Q135193786),Q135193786
Hie Shrine / Ōmizubetsu Shrine,Q135193780
Hie-sha and Kifune-sha,Q135187101
Hieda Shrine,Q135193277
Hieta Shrine,Q11596288
Hietano Shrine,Q135039725
Hietanono Shrine,Q135040501
Hifuchino Shrine,Q135041073
Higanotome Shrine,Q85881759
Higashi Hachiōji Shrine,Q135190265
Higashi Misono Hachiman Shrine,Q135190282
Higashikamo Shrine,Q135198154
Higashikirishima Shrine,Q135070353
Higashiotani Himemikoto Shrine,Q135069122
Higashiotanihimemikoto Shrine,Q135069120
Hihameno- Shrine,Q135041341
Hihameno- Shrine (Q135270442),Q135270442
Hiharano Shrine,Q135040558
Hihayo Tenjin Shrine,Q131925942
Hihikino Shrine,Q135039251
Hihitano Shrine,Q135039721
Hihitano Shrine (Q135270290),Q135270290
Hii Shrine,Q11500716
"Hiji Shrine (Iwanai Village, Taki District)",Q135186319
Hijiri Shrine (Q11611103),Q11611103
Hikawa Nyotai Shrine,Q11549599
Hikawa Shrine (Q135069537),Q135069537
Hikawa Shrine (Q135194738),Q135194738
Hikawa Shrine (Q135194744),Q135194744
Hikawami Shrine,Q11488772
Hikimiya Shrine,Q135070325
Hikitachikarano- Shrine,Q135039675
Hikitachikarano- Shrine (Q135270421),Q135270421
Hikitaheno Shrine,Q135040483
Hikitari Shrine,Q135069658
Hikitarino Shrine,Q135039828
Hikite Chikara no Mikoto Shrine,Q11487151
Hikiterikio Shrine,Q135069466
Hikona Shrine (Shinmei Shrine Keidai-sha),Q135194737
Hikonano Shrine,Q135040237
Hikone Shrine,Q135193628
Hikosasukino Shrine,Q135041245
Hikosawakeno Shrine,Q135040979
Hikowakamikono Shrine,Q135039558
Hikowakamikono Shrine (Q135270317),Q135270317
Himatsurino Shrine,Q135040017
Hime Shrine (Nanto City),Q43594869
Himechino Shrine,Q135041002
Himefuno Shrine,Q135039475
Himefuno Shrine (Q135040594),Q135040594
Himefuno Shrine (Q135040601),Q135040601
Himefuno Shrine (Q135040651),Q135040651
Himekami Shrine,Q135041477
Himekosono Shrine (Q135270123),Q135270123
Himemiya Shrine,Q134926963
Himemiya Shrine Co-Enshrinement,Q135288649
Himenuno Shrine,Q135040739
Himesaka Kanachiana Shrine,Q107297935
Himesaka Shrine,Q135070336
Himesakano Shrine,Q135041422
Himetano Shrine,Q135039836
Himetsukino Shrine,Q135040773
Himukai Shrine,Q135405803
Hinaga Shrine,Q135190198
Hinaga Shrine (Q135190199),Q135190199
Hinakano Shrine,Q135039574
Hinama-ji Hime-no-Mikoto Shrine,Q133940165
Hinamori Shrine,Q11547446
Hinamori Shrine (Q135193937),Q135193937
Hinamorino Shrine,Q135039903
Hinano Shrine,Q135041084
Hinatano Shrine,Q111269921
Hinateno Shrine,Q135039819
Hino Shrine,Q135069906
Hino Shrine (Q135194531),Q135194531
Hinode Shrine,Q135070061
"Hinode Shrine (Hatayama, Tantō Town)",Q135195362
"Hinode Shrine (Minamio, Tantō Town)",Q135195363
Hinode Shrine (Tajima Province),Q135070062
Hinomisaki Shrine (branch shrine outside the precincts of Hongū Shrine),Q135195732
Hinomisaki Shrine (branch shrine outside the precincts of Hongū Shrine) (Q135195747),Q135195747
Hinono Shrine,Q135040724
Hioikehime Shrine,Q135195235
Hioka Shrine,Q11505275
Hioki Shrine,Q135069771
Hioki Shrine (Etchū Province),Q135069979
Hioki Shrine (Higashichikuma District),Q135194168
Hioki Shrine (Nagano City),Q135194175
Hioki Shrine (Nagoya),Q11510248
Hioki Shrine (Niikawa district),Q135069980
Hioki Shrine (Q11510250),Q11510250
Hioki Shrine (Sarashina district),Q135069775
Hioki Shrine (Shinano Province),Q135069774
Hiokino Shrine,Q135040394
Hiokino Shrine (Q135039920),Q135039920
Hiokino Shrine (Q135040077),Q135040077
Hiokino Shrine (Q135040268),Q135040268
Hiokino Shrine (Q135040655),Q135040655
Hiokino Shrine (Q135195018),Q135195018
Hiokino Shrine (Q135195019),Q135195019
Hiranai Shrine,Q135070074
Hirano Shrine (Q135193654),Q135193654
Hirano Shrine (Q135195333),Q135195333
Hirawiteno Shrine,Q135040151
Hirawoka Shrine,Q135040242
Hirawoka Shrine former site,Q135194746
Hiritano Shrine,Q135039800
Hirohata Hachimangū,Q135197922
Hirohata Shrine,Q135186748
Hirosahano Shrine,Q135039570
Hirose Shrine,Q134925373
Hirose Shrine (Izunokuni),Q111776816
Hirose Shrine (Q11485625),Q11485625
Hiroseno Shrine,Q135039671
Hiroseno Shrine (Q135270419),Q135270419
Hirota Shrine,Q135194909
Hiruko Shrine (Q106852693),Q106852693
Hiruko Shrine (Q135195317),Q135195317
Hisai Shrine,Q135069529
Hisakino- Shrine,Q135098962
Hisamamechi Shrine,Q135069216
Hisamamechi Shrine (Ise Province),Q135069219
Hisarida Shrine,Q135070025
Hisashiinatakihime Shrine,Q135069955
Hisatsuchino Shrine,Q135039341
Hisatsuchino Shrine (Q135039352),Q135039352
Hisazuchi Shrine,Q135186614
Hisazuchi Sugawara Shrine,Q135186613
Hishikino Shrine,Q135039252
Hishirono Shrine,Q135041045
Hisono Shrine,Q135039575
Hitakamino Shrine,Q135040011
Hitano Shrine,Q135040933
Hitano Shrine (Q135039516),Q135039516
Hiteno Shrine,Q135040638
Hitsuji Shrine (Nagoya),Q22120105
HItsujisaki Shrine,Q11660144
Hitsujisaki Shrine,Q11660145
Hitsukurano Shrine,Q135039307
Hitsusa Shrine,Q11547502
Hitsushino Shrine,Q135039529
Hitsushino Shrine (Q135270149),Q135270149
Hitsushisakino Shrine,Q135040001
Hiyakurakuno Shrine,Q135041120
Hiyakurakuno Shrine (Q135270437),Q135270437
Hiyausuno Shrine,Q135040607
Hiyoshi Shrine,Q135195095
Hiyoshi Shrine (Q135040087),Q135040087
Hiyoshi Shrine (Q135069253),Q135069253
Hiyoshi Shrine (Q135069666),Q135069666
Hiyoshi Shrine (Q135193659),Q135193659
Hiyoshi Shrine (Q135193733),Q135193733
Hiyoshi Shrine (Q135193779),Q135193779
Hiyoshi Shrine (Q135194819),Q135194819
Hiyoshi Shrine (Q135194886),Q135194886
Hiyoshi Taisha,Q656451
Hokensuwajuugotokoro Shrine,Q135069497
Hokki Shrine,Q11555072
Hokotsuki Shrine,Q59282636
Hokotsukino Shrine,Q135039710
Hokotsukino Shrine (Q135270289),Q135270289
Homi Shrine,Q11597095
"Homi Shrine (Asahimachi, Nirasaki)",Q11597096
Homino Shrine,Q135039702
Homino Shrine (Q135270285),Q135270285
Homusuhino- Shrine,Q135039674
Honamano Shrine,Q135040624
Honoikatsuchino Shrine (Q135021838),Q135021838
Honoikatsuchino Shrine (Q135038966),Q135038966
Honokano Shrine,Q135041081
Horisakano Shrine Co-Enshrinement,Q135039320
"Horiyaku Rokusho Shrine (Yoritomiya, sessha)",Q135190254
Horowasan Haushiwake Shrine,Q11385699
Hoshi Shrine,Q11512981
Hoshikahano Shrine,Q135039441
Hoshinomiya-sha Shrine,Q11512854
Hosoe Shrine,Q135069403
Hosoe Shrine (Q135190243),Q135190243
Hosorokino Shrine,Q135040248
Hosorokino Shrine (Q135270265),Q135270265
Hotaka Shrine,Q11597109
Hotsu Village Enshrinement Theory,Q135186321
Hotsuda Village Enshrinement Theory,Q135186322
Hotsumino Shrine,Q135039426
Hotsumino Shrine former site,Q135186775
Hotsusakeno- Shrine,Q135039661
Hotsusakeno- Shrine (Q135270276),Q135270276
Hoyamano Shrine,Q135040156
Hozumi Shrine (Q135186767),Q135186767
Hozumi Shrine (Q135186774),Q135186774
Hyojo Shrine,Q135194439
Hyōsu Shrine,Q28684010
Hyōzu Shrine,Q135041491
Hyōzu Shrine (Q135039565),Q135039565
Hyōzu Shrine (Q135039843),Q135039843
Hyōzu Shrine (Q135040618),Q135040618
Hyōzu Shrine (Q135040685),Q135040685
Hyōzu Shrine (Q135040688),Q135040688
Hyōzu Shrine (Q135070046),Q135070046
Hyōzu Shrine (Q135070359),Q135070359
Hyōzu Shrine (Q135195319),Q135195319
Hyōzu Shrine (Q135195508),Q135195508
Hyōzu Shrine (Q135215048),Q135215048
Hyōzu Shrine (Q135270268),Q135270268
Ibe Iwakura Shrine,Q28691797
Ibuki Shrine,Q11379321
Ibuki Shrine (Q135070042),Q135070042
Ibuki Shrine (Q135195307),Q135195307
Ibuki Shrine (Q135195308),Q135195308
Ichi Shrine,Q135193754
Ichiahano Shrine,Q135041183
Ichifurino Shrine,Q135040117
Ichifuseno Shrine,Q135040550
Ichihara Kitadai-hiko Shrine,Q135194911
Ichihara Kitadai-hiko Shrine (Q135194922),Q135194922
Ichihara Shrine,Q123115222
Ichihara Shrine (Q135193753),Q135193753
Ichiharano Shrine,Q135040912
Ichiharano Shrine (Q135039878),Q135039878
Ichihisakino Shrine,Q135039847
Ichikahano Shrine,Q135040469
Ichino Shrine,Q135040664
Ichinomiya Asama Shrine (Fuefuki),Q11557476
Ichinomiya Sengen Shrine,Q11352589
Ichinomiya Shrine (Tokushima),Q11352598
Ida Shrine,Q135039254
Idate Shrine,Q11380848
Ide Shrine,Q135039423
Ide Shrine (Q135187179),Q135187179
Ide Shrine (Q135190089),Q135190089
Ieshima Shrine,Q135070176
Ifukino Shrine,Q135040983
Ifukino Shrine (Q135039792),Q135039792
Ifukino Shrine (Q135039820),Q135039820
Ifukino Shrine (Q135040596),Q135040596
Ifukube Shrine,Q135070065
Ifukube Shrine (Q135195378),Q135195378
Ifuno Shrine,Q135039555
Ifuribe Shrine,Q11379320
Igarashi Shrine,Q135195121
Igasa Shrine,Q48758379
Igatomega Shrine,Q135069245
Ihabie Shrine (Takatsuki Town),Q135193670
Ihafuneno Shrine,Q135039767
Ihahashino Shrine,Q135040042
Ihahino Shrine,Q135039737
Ihaino Shrine,Q135038751
Ihakami- Shrine,Q135039987
Ihakura- Shrine,Q135040331
Ihakura- Shrine (Q135040060),Q135040060
Ihakurahimeno Shrine,Q135040061
Ihakurano Shrine,Q135040214
Ihakurano Shrine (Q11586510),Q11586510
Ihakurawakeno- Shrine,Q135039655
Ihano Shrine,Q135098954
Ihano Shrine (Co-Enshrinement),Q135186692
Ihano Shrine (Q135040032),Q135040032
Ihano Shrine (Q135041022),Q135041022
Ihanohimeno- Shrine,Q135039653
Ihare- Shrine,Q135039641
Ihare- Shrine (Q135270275),Q135270275
Iharino Shrine,Q135039769
Iharino Shrine (Q135270294),Q135270294
Ihasakano Shrine,Q135040768
Ihasakino Shrine,Q135039312
Ihasehikono Shrine,Q135040329
Ihatakino Shrine,Q135039858
Ihatano Shrine,Q135040138
Ihatano Shrine (Q135038797),Q135038797
Ihatano Shrine (Q135038975),Q135038975
Ihatano Shrine (Q135039132),Q135039132
Ihatano Shrine (Q135039295),Q135039295
Ihatano Shrine (Q135040251),Q135040251
Ihatano Shrine (Q135270104),Q135270104
Ihatano Shrine former site,Q135186316
Ihatatamino Shrine,Q135041222
Ihatatewono Shrine,Q135039724
Ihatewakeno- Shrine,Q135039660
Ihatewakeno- Shrine (Q135270278),Q135270278
Ihatewino Shrine,Q135040036
Ihatokono Shrine,Q135039670
Ihatono Shrine,Q135039471
Ihatowakeno Shrine,Q135041204
Ihatsuchi Shrine,Q135041453
Ihatsumino Shrine,Q135039353
Ihatsutano- Shrine (Q135270122),Q135270122
Ihawino Shrine,Q135040453
Ihayano Shrine,Q135041285
Iheshimano Shrine,Q135041155
Ihetsuno Shrine,Q135040255
Ihimichi Shrine,Q135193504
Ihimichino Shrine,Q135039797
Ihimochino Shrine,Q135040486
Ihinono Shrine,Q135039382
Ihinoyama Shrine (Miyashita‑kita),Q135194378
Ihinoyama Shrine (Sotoyoshino Tobara),Q135194379
Ihinoyamano Shrine,Q135040010
Ihishi Shrine,Q135041092
Ihita Shrine,Q135186421
Ihitoyo- Shrine,Q135040046
Ihitoyohimeno Shrine,Q135039982
Ihitoyono Shrine,Q135039989
Ihitsusawano Shrine,Q135039625
Ihono Shrine,Q135039568
Ii Shrine (Q11666643),Q11666643
Iibo Nimasu Amaterasu Shrine,Q11604472
Iida Inari Shrine,Q135192615
Iida Inari Shrine (Q135192619),Q135192619
Iide Waki Shrine,Q135194443
Iidewaki Shrine,Q135069886
Iino Shrine,Q135186711
Iino Shrine (Q135186724),Q135186724
Iizuna Shrine,Q135069605
Iizuna Shrine (Q17238950),Q17238950
Ijinno Shrine,Q135041055
Ika Shrine,Q135070293
Ikachi Hachimanguu,Q135069391
Ikagashi Shrine,Q11378911
Ikagosakano Shrine,Q135039851
Ikagu Shrine,Q11381016
"Ikagusaka Shrine (Furuhashi, Kinomoto Town)",Q135193684
"Ikagusaka Shrine (Kitafusetoyama, Kinomoto Town)",Q135193686
Ikagusaka Shrine (Takatsuki Town),Q135193685
Ikaho Shrine,Q17220841
Ikahono Shrine,Q135039963
Ikahono Shrine (Q135270416),Q135270416
Ikakaharano Shrine,Q135039499
Ikama Shrine,Q111374476
Ikamashi Shrine,Q134926830
Ikamu Shrine,Q135040727
Ikamuhimeno- Shrine,Q135039637
Ikarashi Shrine,Q57931939
Ikarashino Shrine,Q135040461
Ikaruga Shrine,Q135069248
Ikarukano Shrine,Q135039400
Ikatakeno Shrine,Q135041094
Ikatsuchino- Shrine,Q135041547
Ikatsuchi‑no‑Mikoto Shrine,Q135199854
Ikawadani Sōja,Q11379343
Ikazuchi Shrine,Q135040155
Ikazuchi Shrine (Q135069913),Q135069913
Ikazuchi Shrine (Q135186163),Q135186163
Ikazuchi Shrine (Q135194588),Q135194588
Ikazuchi Shrine (Q135199864),Q135199864
Ikeda Shrine,Q11379329
Ikeda Shrine (Q134926975),Q134926975
Ikeno Shrine,Q135039924
Iketano Shrine (Q135270127),Q135270127
Iki Shrine,Q135069917
Iki Shrine (Q135069792),Q135069792
Iki Shrine (Q135069795),Q135069795
Iki Shrine (Q135194750),Q135194750
Ikino Shrine,Q135040247
Ikisa Shrine,Q135195552
Ikisa Shrine (Q135070073),Q135070073
Ikishiro Shrine,Q11409089
Iko-no-hayamitama Hime-no Shrine,Q67200466
"Ikohaya Waki no Mikoto Shrine (Ōmiya-machi, Ishinomaki City)",Q135194350
Ikohaya Wakimikoto Shrine,Q135194354
Ikohayawake-no-Mikoto Shrine,Q11379181
Ikota Shrine,Q11379327
Ikuhano Shrine,Q135039461
Ikuhime Shrine,Q11378800
Ikuhimeno Shrine,Q135041277
Ikuikatsuchi- Shrine,Q135098971
Ikumano Shrine,Q135040930
Ikunono Shrine,Q135040529
Ikureno Shrine,Q135040458
Ikushima no Mikannaki-no-matsuru-kami Shrine,Q135019813
Ikuta Myojin Shrine,Q135187150
Ikuta Shrine (Q135187148),Q135187148
Ikuta Shrine (Q135187152),Q135187152
Ikutano Shrine,Q135039503
Ikutono Shrine,Q135040616
Ikuwauheno Shrine,Q135040589
Ima Shrine,Q135069193
Imajouaosakainejitsukoumitama Shrine,Q135069559
Imaki-Aosaka-Inami-Ikegami Shrine,Q72727923
Imaki-Aosaka-Inami-Ikegami Shrine (Q72728268),Q72728268
Imakiawosakainaminoikekamino Shrine,Q135039748
Imakiawosakanoinamiaramitamano Shrine,Q135039747
Imakiawoyasakainamino Shrine,Q135039746
Imamiya Shrine (Q135193734),Q135193734
Imashiro Aozaka Inami Ikegami Shrine (Kamikawa Town),Q135193384
"Imashiro Aozaka Inami Ikegami Shrine (Ninbo, Kamisato Town)",Q135193383
Ime Shrine & Hachimangu,Q11379707
Imoino Shrine,Q135040083
Imuheno Shrine,Q135041321
Imuheno Shrine (Q135270440),Q135270440
Imunamino Shrine,Q135040267
Inaba Shrine,Q135186443
Inaba Shrine (Q701414),Q701414
Inabe Shrine,Q20043146
Inabu Shrine,Q135069249
Inada Shrine,Q11596799
Inafuno Shrine,Q135039344
Inagi Shrine,Q11596632
Inahano Shrine,Q135039324
Inakami Shrine,Q134893134
Inakami Shrine (Q135193011),Q135193011
Inakino Shrine,Q135039497
Inakino Shrine (Q135270141),Q135270141
Inakuhino Shrine,Q135041534
Inamiyano- Shrine,Q135039679
Inamura Shrine,Q17193413
Inamurano Shrine,Q135039762
Inane Shrine,Q110915761
Inanohimeno Shrine,Q135039742
Inano‑Hime Shrine,Q135193351
Inari Shrine,Q135069560
Inari Shrine (Q135039601),Q135039601
Inari Shrine (Q135070164),Q135070164
Inari Shrine (Q135192593),Q135192593
Inari Shrine (Q135193791),Q135193791
Inari Shrine? (Motoabo),Q135193380
Inasaki Shrine,Q22117916
Inasano Shrine,Q135040971
Inasehagino Shrine,Q135040956
Inashimo Shrine,Q135193008
Inashimono Shrine,Q135288774
Inashirono Shrine (Q135040578),Q135040578
Inazume Shrine,Q11596731
Inbe Shrine,Q11490723
Inbe Shrine (Matsue City),Q11490726
Inbe Shrine (Q11490722),Q11490722
Ineno Shrine,Q135040517
Inenohime Shrine,Q135069546
Ini Shrine,Q135195202
Inochihimeno Shrine,Q135040952
Inoda Shrine,Q135069159
Inoda Shrine (Iga Province),Q135069160
Inohanako Shrine,Q134928475
Inohatano Shrine,Q135040119
Inoue Hachiman Shrine,Q135070311
Inoue-sha,Q135178793
Inu Shrine,Q11379315
Inuno Shrine,Q135040975
Inunoki Shrine,Q135070043
Ionoi Shrine,Q22117831
Irokino Shrine,Q135040702
Ironouheno Shrine,Q135039309
Irumino Shrine,Q135039559
Irumino Shrine (Q135039607),Q135039607
Irō Shrine,Q11585503
Isagoda Shrine,Q11553081
Isahakahano Shrine,Q135040037
Isahano Shrine,Q135040992
Isakano Shrine,Q135040968
Isakano Shrine (Q135041052),Q135041052
Isakino Shrine,Q135040696
Isakino Shrine (Q135270270),Q135270270
Isanahikono Shrine,Q135098992
Isanakino Shrine (Q135039261),Q135039261
Isanakino Shrine (Q135040073),Q135040073
Isanamino Shrine,Q135041308
Isarihayawakeno- Shrine,Q135040003
Isawano Shrine,Q135039301
Ise Amaterasu Mioya Shrine,Q135070347
Ise Mioya Shrine,Q135070346
Ise Shrine,Q135041208
Ise-no-Miya (nonexistent),Q135194417
Iseamaterasumioyano Shrine,Q135041474
Isekurumano Shrine,Q135041284
Isemikoto Shrine,Q11378969
Isetaniwa Shrine,Q135186415
Ishi Shrine,Q38276022
Ishida Shrine,Q135194754
Ishida Shrine (Kuse district),Q135068853
Ishida Shrine (Q135068851),Q135068851
Ishida Shrine (Yamashiro Province),Q135068852
Ishidate Shrine,Q135186637
Ishifu Shrine,Q134893136
Ishigami Shrine,Q135186693
Ishigami Shrine (precinct of Yakumo Shrine),Q135194388
Ishigami Shrine (Q135194384),Q135194384
Ishihenokashiki- Shrine,Q135039795
Ishii Shrine (Echigo Province),Q135070000
"Ishii Shrine (Hōjō, Kashiwazaki)",Q135195089
Ishii Shrine (Mishima District),Q135195087
Ishii Shrine (Nagaoka),Q135195088
"Ishii Shrine (Nishihonmachi, Kashiwazaki)",Q135195090
"Ishii Shrine (Nishiyama, Kashiwazaki)",Q135195086
Ishii Shrine (Q135069999),Q135069999
Ishii Shrine (Santō district),Q135070001
Ishikamino Shrine,Q135040013
Ishimaki Shrine,Q11586490
Ishimiya Shrine,Q135070100
Ishino Shrine (Q135039433),Q135039433
Ishino shrine Co-enshrinement,Q135270925
Ishise-hiko Shrine,Q135194913
Ishisunyamaguchi Shrine,Q135069128
"Ishitateo Shrine (Isobe, Minami-ku, Sagamihara)",Q135193270
Ishitateo Shrine (Nagura Gongen),Q135193269
Ishitateo Shrine (Sanogawa),Q135193268
Ishitokutaka Shrine (Mamezuka Shrine),Q135192938
Ishitsukuri Shrine,Q135190056
Ishitsukurino Shrine,Q135039480
Ishitsukurino Shrine (Q135038739),Q135038739
Ishitsukurino Shrine (Q135039498),Q135039498
Ishitsukurino Shrine (Q135039545),Q135039545
Ishitsukurino Shrine (Q135098983),Q135098983
Ishiura Shrine,Q11586806
Ishiura Shrine (Q135194813),Q135194813
Ishiwino Shrine,Q135040470
Ishizu Shrine,Q11586788
Ishizukuri Shrine,Q11585161
Ishizukuri Shrine (Q11676453),Q11676453
Ishizukuri Shrine (Q135187144),Q135187144
Ishizumi Shrine,Q135186636
Iso Shrine,Q135039263
Isobe inamura Shrine,Q65681696
Isobe Shrine (Gamo),Q135193519
Isobe Shrine (Miwakare Park),Q135195212
Isobe Shrine (Omihachiman),Q135193521
Isofuno Shrine,Q135040713
Isoheno Shrine,Q135040158
Isoheno Shrine (Q135039404),Q135039404
Isoheno Shrine (Q135039803),Q135039803
Isoheno Shrine (Q135039812),Q135039812
Isoheno Shrine (Q135040373),Q135040373
Isoheno Shrine (Q135041174),Q135041174
Isokimi Shrine,Q135040430
Isonokami Co-enshrinement,Q135270415
Isonokamifutsumitama Shrine,Q11584766
Isonokamino Shrine,Q135039308
Isonono Shrine,Q135041435
Isononosakino Shrine,Q135040737
Isousatsu Shrine,Q135070171
Isozaki Shrine,Q135070181
Ita Shrine,Q134926816
Itahato Shrine,Q11379270
Itakeru Shrine,Q135070151
Itaki Shrine,Q135070109
Itakino Shrine,Q135040910
Itakino Shrine (Q135270432),Q135270432
Itaretsu Shrine,Q135070032
Itaretsuhachiman Shrine,Q135070030
Itata Shrine (Otagi district),Q135068802
Itata Shrine former site,Q135179857
Itate Shrine,Q11380847
Itateno Shrine,Q135040498
Itatsura Hachiman Shrine,Q135195272
Itatsura Inari Shrine,Q135195273
Itatsurano Shrine,Q135040572
Itawi Shrine,Q135040755
Itosakino Shrine,Q135040258
Itsukino Shrine,Q135040526
Itsukushima Shrine (Q135068808),Q135068808
Itsumono Shrine,Q135041043
Itsumono Shrine (Q135039927),Q135039927
Itsumono Shrine (Q135040491),Q135040491
Itsumono Shrine (Q135041258),Q135041258
Itsumono- Shrine,Q135039738
Itsumonoihahino Shrine,Q135039741
Itsunahimeno Shrine,Q135288594
Itsushimino Shrine,Q135040598
Itsushinokanoisoheno Shrine,Q135040503
Itsutano Shrine,Q135041455
Iwafune Shrine,Q124496786
"Iwafune Shrine, Konan",Q65259139
Iwahashi Shrine,Q11587896
Iwai Onsen,Q11474068
Iwai Shrine,Q11587853
Iwai Shrine (Q135179342),Q135179342
Iwai Shrine (Q135194258),Q135194258
Iwai Shrine (Q85882705),Q85882705
Iwaida Shrine,Q135070173
Iwaida Shrine (Q135070174),Q135070174
Iwakami Shrine,Q135068816
Iwakami Yamazumi Shrine,Q20043188
Iwaki Shrine,Q24871378
Iwakumahachimanguu,Q135070229
Iwakura Shrine,Q135194389
Iwakura Shrine (within Sasoza Shrine precinct),Q135194693
Iwano Shrine,Q135040746
Iwashizu Shrine,Q135185797
Iwashizu Shrine (Q11379248),Q11379248
Iwata Shrine,Q135192623
Iwatani‑mon Shrine,Q135194948
Iwato Shrine,Q11585184
Iwato Wake Shrine,Q48754475
Iwatoochiba Shrine,Q135068813
Iwatowakeyakurahimeno Shrine,Q135041343
Iwatowakeyakurahimeno Shrine (Q135270443),Q135270443
Iwatsuhime Shrine,Q11379249
Iwatsuhimeno Shrine,Q135041149
Iwatsutsukowake Shrine,Q11587235
Iwaya Shrine,Q11474394
Iwoumino Shrine,Q135039279
Iya Shrine,Q11498399
Iyahikono Shrine,Q135040462
Iyahimeno Shrine,Q135040325
Iyakaki Shrine,Q135040551
Iyamano Shrine,Q135039329
Iyano Shrine,Q135040543
Iyasumi Shrine,Q135070127
Iyatono Shrine,Q135040560
Iyono Shrine,Q135041429
Iyotsubikoinochi Shrine,Q135070339
Iyotsuhikono- Shrine,Q135041437
Iyu Shrine,Q135070048
Iyu Shrine (Q135195324),Q135195324
Iyuno Shrine,Q135040609
Izanagi Shrine (Q10884977),Q10884977
Izanagi Shrine (Q11379322),Q11379322
Izanagi Shrine (Q11379324),Q11379324
Izanagi Shrine (Q135194488),Q135194488
Izanagi Shrine (Saidera),Q135185758
Izanagi Shrine (Yamada Higashi),Q135185757
Izanagi-no-Miya,Q135186068
Izanami Shrine,Q43594845
Izanami Shrine (Q135070084),Q135070084
Izanami Shrine (Q135070087),Q135070087
"Izanami Shrine, Mima",Q43594855
Izanami-no-Miya,Q135186069
Izu Shrine (Q135194348),Q135194348
Izuhara Hachimangū Shrine,Q11410120
Izumi Shrine (Q11395685),Q11395685
Izumi Shrine (Q11554897),Q11554897
Izumo Inoe-no-Shrine,Q135068645
Izumo Jisai Shrine,Q135070097
Izumo Jisai Shrine Keidaisha Tenjinsha,Q135195620
Izumo Shrine,Q135070013
"Izumoiwai Shrine, Moroyama",Q30933323
Izumonoinamihi Shrine,Q135069545
Izumotakano Shrine (Otagi district),Q135068662
Izumowokano Shrine,Q135099013
"Izumo‑no‑Ihahi Shrine (Itai, Kumagaya City)",Q135193350
"Izumo‑no‑Ihahi Shrine (Yorii Town, Ōsato District)",Q135193349
Izusahime Shrine,Q11380543
Izusan Shrine (protector of the eight provinces),Q135192962
Jiko Shrine,Q135069376
Jogu Shrine,Q11481363
Jufu Shrine,Q135194545
Junisho Shrine,Q135070278
Jurokuhashira Shrine,Q135195359
Juuni Shrine,Q11404815
Juurokuhashira Shrine,Q135070059
Juzo Shrine,Q135194932
Jōgūko Shrine,Q135069162
Jūzō Shrine,Q135194908
Kaasaryou Shrine,Q135070331
Kaba Hachiman Shrine,Q135194694
Kaba Shinmeigu Shrine,Q135192598
Kabatakamo Shrine,Q128867071
Kachihino Shrine,Q135040914
Kachihinotakamori Shrine,Q135040915
Kachimino Shrine,Q135040753
Kadoeno Shrine,Q135040925
Kaehime Shrine,Q11677210
Kaehimeno Shrine,Q135041301
Kafu Shrine,Q135186749
Kafu Shrine (Q135186750),Q135186750
Kafu Shrine (Q135186752),Q135186752
Kafuno Shrine,Q135039395
Kafutohikono Shrine,Q135040316
Kagami-tsukuri-ita Shrine,Q135185122
Kagamitsukuri Ita Shrine,Q54153278
Kagi-no-miya (Kumano Hayatama Shrine),Q135198056
Kagoshima Jingū,Q704695
Kagoyamano Shrine,Q135040075
Kaguraokahachimanguu,Q135070148
Kaguraokahachimanguu (Q135070150),Q135070150
Kagutsuchino Shrine,Q135099012
Kahaahino Shrine,Q135040472
Kahaahino Shrine (Q135039330),Q135039330
Kahachitatanuhino Shrine,Q135040508
Kahaheno Shrine,Q135041093
Kahahino Shrine,Q135195104
Kahakamino Shrine,Q135041293
Kahakamino Shrine (Q135040923),Q135040923
Kahakareno Shrine,Q135039798
Kahakareno Shrine (Q135270298),Q135270298
Kahaketano Shrine,Q135039810
Kahamatano Shrine (Q135039133),Q135039133
Kahamatano Shrine (Q135039358),Q135039358
Kahano Shrine,Q135039378
Kaharano Shrine,Q135039553
Kaharano Shrine (Q135270314),Q135270314
Kaharano- Shrine,Q135039266
Kaharano- Shrine (Q135270137),Q135270137
